# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
37376 18.25 2.19238849476732e-05 2.1924581788478e-05 2.19236150664315e-05
37888 18.5 2.02692343676915e-05 2.02706394238979e-05 2.02690982663862e-05
38400 18.75 2.00716106530524e-05 2.00725703126652e-05 2.007243244884e-05
38912 19 2.08791191172392e-05 2.08787863222099e-05 2.08782867055822e-05
39424 19.25 2.21519221449683e-05 2.21519413402274e-05 2.21516452251506e-05
39936 19.5 2.32726238120196e-05 2.32720684305615e-05 2.32714758441987e-05
40448 19.75 2.3488001603063e-05 2.34897470547017e-05 2.34867204725376e-05
40960 20 2.33186547889366e-05 2.33202452033053e-05 2.33163545796889e-05
41472 20.25 2.23571238613878e-05 2.23566667612701e-05 2.23569438816256e-05
41984 20.5 2.17590087015819e-05 2.17682558575404e-05 2.17595842166653e-05
42496 20.75 2.1138405411231e-05 2.11411167077718e-05 2.11396527883686e-05
43008 21 2.1485217944701e-05 2.14906354011954e-05 2.1487117383826e-05
43520 21.25 2.06447802062885e-05 2.06496843834214e-05 2.0649006154188e-05
44032 21.5 1.90372399279804e-05 1.90351191300679e-05 1.90415534802076e-05
44544 21.75 2.23956422366705e-05 2.23774983542863e-05 2.23937455942892e-05
45056 22 2.25530499901593e-05 2.25375582713593e-05 2.25580627111919e-05
45568 22.25 2.10291481700409e-05 2.10312256848916e-05 2.10335500525658e-05
46080 22.5 2.30160007192571e-05 2.30157009058958e-05 2.301859159422e-05
46592 22.75 2.34560706294714e-05 2.3455673063231e-05 2.3458101539283e-05
47104 23 2.345418477853e-05 2.33905415451657e-05 2.34035187654899e-05
47616 23.25 2.37405922104399e-05 2.36040748409873e-05 2.36978146185154e-05
48128 23.5 2.31070533137504e-05 2.29521766353517e-05 2.30383528525591e-05
48640 23.75 2.31086906251822e-05 2.30334838461482e-05 2.30831663644059e-05
49152 24 2.20683786624926e-05 2.20784493838671e-05 2.20732035187363e-05
49664 24.25 2.18782288941559e-05 2.19110215237037e-05 2.18789236558934e-05
50176 24.5 2.39248165059443e-05 2.39264371092784e-05 2.39278024116847e-05
50688 24.75 2.57423667856727e-05 2.57089355297326e-05 2.56761735671485e-05
51200 25 2.70521495323536e-05 2.70101493777459e-05 2.70104644320525e-05
51712 25.25 2.69429273732572e-05 2.6917587648841e-05 2.69625806126311e-05
52224 25.5 2.6692073594071e-05 2.64940491485826e-05 2.66347079945636e-05
52736 25.75 2.42856214965788e-05 2.40772984615712e-05 2.4242960256389e-05
53248 26 2.52388966168599e-05 2.52048617247037e-05 2.52205300394968e-05
53760 26.25 2.85352782199992e-05 2.84549138015863e-05 2.84729731125117e-05
54272 26.5 3.00497550680459e-05 3.00396228374808e-05 3.00125699139367e-05
54784 26.75 3.14869067419049e-05 3.14502136714036e-05 3.14547281508862e-05
55296 27 3.17521670646806e-05 3.1694972473987e-05 3.17130801311835e-05
55808 27.25 3.2516036281527e-05 3.24246259404775e-05 3.24844018853854e-05
56320 27.5 3.08757074267097e-05 3.07876033036123e-05 3.08518188538507e-05
56832 27.75 2.8671911318599e-05 2.86873591021303e-05 2.86665787991989e-05
57344 28 2.97565055790076e-05 2.97662156703747e-05 2.98044254346173e-05
57856 28.25 3.05130489844288e-05 3.05108572105455e-05 3.05143958035754e-05
58368 28.5 3.19368048832001e-05 3.19158663172874e-05 3.19225095541127e-05
58880 28.75 3.19472764686204e-05 3.191386779204e-05 3.19143251248558e-05
59392 29 3.15934647531509e-05 3.153936662576e-05 3.15475968796213e-05
59904 29.25 3.06126521538949e-05 3.04980218186968e-05 3.05667639073356e-05
60416 29.5 2.96125351089684e-05 2.95297711752147e-05 2.9607364426534e-05
60928 29.75 2.8224065020408e-05 2.81633557114771e-05 2.82571523903885e-05
61440 30 2.67946644315975e-05 2.6836250440093e-05 2.6803474899683e-05
61952 30.25 2.80162509057745e-05 2.79958317676088e-05 2.80408914801597e-05
62464 30.5 3.08701094956866e-05 3.08573132069243e-05 3.08755342787317e-05
62976 30.75 3.30633177311347e-05 3.3048387309934e-05 3.30277611499484e-05
