# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.25 0.66983842271085
1024 0.5 0.669770810264847
1536 0.75 0.669660135135864
2048 1 0.669508276773431
2560 1.25 0.669317474268911
3072 1.5 0.66909078069867
3584 1.75 0.668832370113109
4096 2 0.668547441959668
4608 2.25 0.668241768120424
5120 2.5 0.667921176791136
5632 2.75 0.667591276275215
6144 3 0.667257509829995
6656 3.25 0.666925343692625
7168 3.5 0.666600306922733
7680 3.75 0.666287780510825
8192 4 0.665992638572197
8704 4.25 0.665718971908284
9216 4.5 0.665470064462584
9728 4.75 0.665248593845202
10240 5 0.665056853493194
10752 5.25 0.66489678942469
11264 5.5 0.664769809799569
11776 5.75 0.664676521117632
12288 6 0.66461661144446
12800 6.25 0.66458898957038
13312 6.5 0.664592092993279
13824 6.75 0.664624152167093
14336 7 0.66468323986916
14848 7.25 0.664767111526068
15360 7.5 0.664873023487918
15872 7.75 0.664997767810248
16384 8 0.665138037098157
16896 8.25 0.665290990462031
17408 8.5 0.665454659710168
17920 8.75 0.665627782987458
18432 9 0.665808955738397
18944 9.25 0.665995649456309
19456 9.5 0.666184186126294
19968 9.75 0.666371314289323
20480 10 0.666556536394358
20992 10.25 0.666742974506297
21504 10.5 0.666935262084049
22016 10.75 0.667135833853113
22528 11 0.667343097945774
23040 11.25 0.667553334070449
23552 11.5 0.667764167547634
24064 11.75 0.667975976045966
24576 12 0.668190487258084
25088 12.25 0.668409049202745
25600 12.5 0.668632339650165
26112 12.75 0.668860518699279
26624 13 0.669092723792743
27136 13.25 0.669327002694768
27648 13.5 0.669561750951682
28160 13.75 0.669797105116288
28672 14 0.670034320906858
29184 14.25 0.670274184315588
29696 14.5 0.670516888951248
30208 14.75 0.670763043294769
30720 15 0.671013426401776
31232 15.25 0.67126752738486
31744 15.5 0.671523484599375
32256 15.75 0.671780016013107
32768 16 0.672037687951672
33280 16.25 0.67229794243569
33792 16.5 0.672561642247989
34304 16.75 0.672828904317599
34816 17 0.67309944636908
35328 17.25 0.673372435535609
35840 17.5 0.673646652358048
36352 17.75 0.673921556183489
36864 18 0.674197915908007
37376 18.25 0.674476968366036
37888 18.5 0.674759252714176
38400 18.75 0.675044451872497
38912 19 0.675331761311108
39424 19.25 0.675620033912027
39936 19.5 0.675908269328764
40448 19.75 0.676196732929359
40960 20 0.676487316551572
41472 20.25 0.676782143732784
41984 20.5 0.677081883836527
42496 20.75 0.677385907948994
43008 21 0.677694129966738
43520 21.25 0.678008398686988
44032 21.5 0.678331987582528
44544 21.75 0.678667690722929
45056 22 0.679016128354038
45568 22.25 0.679375544856311
46080 22.5 0.679743058228448
46592 22.75 0.68011600000288
47104 23 0.680492100972323
47616 23.25 0.680868847208557
48128 23.5 0.681243302046993
48640 23.75 0.681612841737358
49152 24 0.681976088304102
49664 24.25 0.682333415671189
50176 24.5 0.682686958971902
50688 24.75 0.683039958802713
51200 25 0.683395298752517
51712 25.25 0.68375399947057
52224 25.5 0.684114951942364
52736 25.75 0.684476110217834
53248 26 0.684835912855269
53760 26.25 0.685193702634872
54272 26.5 0.685549181612333
54784 26.75 0.685901901632401
55296 27 0.686251599602529
55808 27.25 0.686599127937149
56320 27.5 0.686946737002019
56832 27.75 0.687296770816282
57344 28 0.687649645483696
57856 28.25 0.68800328786956
58368 28.5 0.688354888307989
58880 28.75 0.688703093091775
59392 29 0.68904822805505
59904 29.25 0.689390675034107
60416 29.5 0.689729736193301
60928 29.75 0.690064371974663
61440 30 0.690394683832731
61952 30.25 0.690722287835244
62464 30.5 0.691049230692317
62976 30.75 0.691376556518296
63488 31 0.691703659703619
64000 31.25 0.692028812756933
64512 31.5 0.692350531163411
65024 31.75 0.692668810504201
