# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
34816 17 -3.34272591557401e-05 -3.34295538794478e-05 -3.34271354235466e-05
35328 17.25 -3.12606411084213e-05 -3.12629184703676e-05 -3.12605357719223e-05
35840 17.5 -3.22512254041026e-05 -3.22512263640442e-05 -3.22490172439926e-05
36352 17.75 -3.09104446528435e-05 -3.0908105004683e-05 -3.09091798080786e-05
36864 18 -3.1506941590014e-05 -3.14639300172496e-05 -3.14692027991743e-05
37376 18.25 -3.17688701216386e-05 -3.17125529244764e-05 -3.17221835981992e-05
37888 18.5 -2.77399504810584e-05 -2.76738931289452e-05 -2.77438741326982e-05
38400 18.75 -2.77267215635732e-05 -2.77501413708542e-05 -2.77283008448656e-05
38912 19 -2.66307746954403e-05 -2.66416034483491e-05 -2.66290233092012e-05
39424 19.25 -3.00669224020793e-05 -3.00649233380188e-05 -3.00797444626674e-05
39936 19.5 -3.02959129090776e-05 -3.02963821176462e-05 -3.02994555447468e-05
40448 19.75 -2.64815800395204e-05 -2.64816843054054e-05 -2.64817283970207e-05
40960 20 -2.51995705608681e-05 -2.51998534403752e-05 -2.51998115190598e-05
41472 20.25 -2.69036349733399e-05 -2.69912347783035e-05 -2.69180382022734e-05
41984 20.5 -2.56741385838567e-05 -2.56742212394897e-05 -2.56745202198424e-05
42496 20.75 -2.55558376174966e-05 -2.53701970867476e-05 -2.55051421283138e-05
43008 21 -2.49504440141961e-05 -2.50563768607589e-05 -2.49353777397204e-05
43520 21.25 -2.44326294979978e-05 -2.47605694614308e-05 -2.45091035436513e-05
44032 21.5 -2.48353095284933e-05 -2.48409745783872e-05 -2.4913299252575e-05
44544 21.75 -2.53423257022844e-05 -2.54464893799343e-05 -2.53957689844373e-05
45056 22 -2.58817835761904e-05 -2.59451903399105e-05 -2.59505961354394e-05
45568 22.25 -2.38871464970626e-05 -2.42687299067033e-05 -2.39664448438923e-05
46080 22.5 -2.51651683014088e-05 -2.50587485373852e-05 -2.52732262255799e-05
46592 22.75 -2.39926811998751e-05 -2.38094219815957e-05 -2.40681345982636e-05
47104 23 -2.14672420813472e-05 -2.1691559579472e-05 -2.16034673465855e-05
47616 23.25 -2.14594260818817e-05 -2.11023834077455e-05 -2.16023339449973e-05
48128 23.5 -2.17802030018129e-05 -2.17129403954235e-05 -2.19300479728784e-05
48640 23.75 -2.25198927922595e-05 -2.29716422911576e-05 -2.27164943684396e-05
49152 24 -2.51148793314661e-05 -2.49237683296341e-05 -2.52183175838211e-05
49664 24.25 -2.22472608458985e-05 -2.17009629211336e-05 -2.22605596966767e-05
50176 24.5 -1.68342814525019e-05 -1.67094735574194e-05 -1.67588516460301e-05
50688 24.75 -1.74582663569874e-05 -1.72772111807448e-05 -1.74543458177664e-05
51200 25 -1.91910615534225e-05 -1.91635432349284e-05 -1.91935735253084e-05
51712 25.25 -1.82825544935744e-05 -1.8589710315163e-05 -1.82847975109526e-05
52224 25.5 -2.01375819626399e-05 -2.01438415136392e-05 -2.01397283430472e-05
52736 25.75 -2.16750874415388e-05 -2.17008992016656e-05 -2.16745145444883e-05
53248 26 -2.01355086487387e-05 -2.01721123349342e-05 -2.0146710366331e-05
53760 26.25 -1.95958038207799e-05 -1.96105860121607e-05 -1.95980977087622e-05
54272 26.5 -1.83843733096726e-05 -1.84338386006394e-05 -1.84113809171528e-05
54784 26.75 -1.68518760677534e-05 -1.68443998367768e-05 -1.68344922812483e-05
55296 27 -1.72389569290908e-05 -1.7179178750417e-05 -1.72015477340877e-05
55808 27.25 -1.75284693900819e-05 -1.74568141287738e-05 -1.74797413702103e-05
56320 27.5 -1.75839201182128e-05 -1.74978484790417e-05 -1.75262344518525e-05
56832 27.75 -1.80435186672822e-05 -1.81580307181282e-05 -1.80903086294395e-05
57344 28 -1.84302126298742e-05 -1.85551793172258e-05 -1.84827891180541e-05
57856 28.25 -1.86395994128711e-05 -1.8753878521265e-05 -1.86878903682294e-05
58368 28.5 -1.88034430257551e-05 -1.88918436864981e-05 -1.88341735854947e-05
58880 28.75 -1.8869210285053e-05 -1.89293935799775e-05 -1.88774406359749e-05
59392 29 -1.85725883486251e-05 -1.86050221237645e-05 -1.8563011767347e-05
59904 29.25 -1.758429383401e-05 -1.75805208906743e-05 -1.75622267192548e-05
60416 29.5 -1.57521026075273e-05 -1.57049817639334e-05 -1.57263542365825e-05
60928 29.75 -1.97723072342102e-05 -1.96368547850999e-05 -1.97370532855686e-05
61440 30 -2.1907850609564e-05 -2.18743536467983e-05 -2.19475907117463e-05
61952 30.25 -2.13299027914578e-05 -2.13021243088209e-05 -2.13522081770665e-05
