# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
55808 27.25 0.0010956091607772
56320 27.5 0.00109320815197634
56832 27.75 0.00109080816961834
57344 28 0.0010884083411521
57856 28.25 0.00108600870761021
58368 28.5 0.00108360941462719
58880 28.75 0.0010812099304855
59392 29 0.0010788092413957
59904 29.25 0.00107640673682693
60416 29.5 0.00107400272097628
60928 29.75 0.00107159812994422
61440 30 0.00106919384829027
61952 30.25 0.0010667904925694
62464 30.5 0.00106438868961105
62976 30.75 0.00106198940388695
63488 31 0.00105959404990411
64000 31.25 0.00105720432962781
64512 31.5 0.00105482184459258
65024 31.75 0.00105244763151039
65536 32 0.00105008227091131
66048 32.25 0.00104772646744683
66560 32.5 0.00104538141640696
67072 32.75 0.00104304848710892
67584 33 0.00104072859917841
68096 33.25 0.00103842195675327
68608 33.5 0.00103612840097205
69120 33.75 0.00103384790240043
69632 34 0.00103158059903557
70144 34.25 0.00102932633574824
70656 34.5 0.00102708423295656
71168 34.75 0.00102485283347891
71680 35 0.00102263079272077
72192 35.25 0.0010204174086742
72704 35.5 0.00101821232286554
73216 35.75 0.00101601463324575
73728 36 0.00101382245065464
74240 36.25 0.00101163348515155
74752 36.5 0.00100944598783127
75264 36.75 0.0010072589458871
75776 37 0.00100507143425232
76288 37.25 0.00100288208512172
76800 37.5 0.00100068934469159
77312 37.75 0.000998492093173714
77824 38 0.000996289813571226
78336 38.25 0.000994082177195401
78848 38.5 0.000991868625913205
79360 38.75 0.000989648363433161
79872 39 0.000987420680741057
80384 39.25 0.000985185367864136
80896 39.5 0.000982943014072314
81408 39.75 0.000980694890767876
81920 40 0.000978442411936563
82432 40.25 0.000976186810373213
82944 40.5 0.000973929099027565
83456 40.75 0.000971670377029751
83968 41 0.000969412124375634
84480 41.25 0.000967156091090685
84992 41.5 0.000964903932970602
85504 41.75 0.000962657114049534
86016 42 0.000960417195914489
86528 42.25 0.000958185980675589
87040 42.5 0.000955965048870422
87552 42.75 0.000953755367386459
88064 43 0.000951557620617989
88576 43.25 0.00094937287468563
89088 43.5 0.000947202702636046
89600 43.75 0.000945048672357683
90112 44 0.000942911865278132
90624 44.25 0.000940792845303482
91136 44.5 0.00093869194810891
91648 44.75 0.000936609670319994
92160 45 0.000934546905580059
92672 45.25 0.000932504666504559
93184 45.5 0.000930483431162534
93696 45.75 0.000928483004917178
94208 46 0.000926503289318187
94720 46.25 0.000924545017904141
95232 46.5 0.000922609378593959
95744 46.75 0.000920696908411104
96256 47 0.000918807264195915
96768 47.25 0.000916940183858428
97280 47.5 0.000915096254466034
97792 47.75 0.00091327648662042
98304 48 0.000911481428850078
98816 48.25 0.000909711094389836
99328 48.5 0.000907965457006408
99840 48.75 0.000906244879075831
100352 49 0.000904549931542189
100864 49.25 0.000902881074092032
101376 49.5 0.000901238660181121
101888 49.75 0.000899623053217263
102400 50 0.000898034429483801
102912 50.25 0.000896472554876176
103424 50.5 0.000894937042089209
103936 50.75 0.000893427851220037
104448 51 0.000891945343697715
104960 51.25 0.000890489809498279
105472 51.5 0.000889061059475807
105984 51.75 0.000887658476378781
106496 52 0.000886281355683887
107008 52.25 0.000884929203319744
107520 52.5 0.000883601764284657
108032 52.75 0.000882298728169969
108544 53 0.000881019380437468
109056 53.25 0.000879762294614193
109568 53.5 0.000878525922415832
110080 53.75 0.000877309257723926
110592 54 0.000876111622361011
111104 54.25 0.00087493231518229
111616 54.5 0.000873770555297614
112128 54.75 0.000872625661827869
112640 55 0.000871497232291745
