# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 3.75 517.756814195861 544.502343601664 28.8656029701233 26.0740170478821 25.5764100551605 0 3.29303097724915 45 295250.248009841 295250.248009841 7698360 7698360 212699.101554453 212699.101554453 5545920 5545920 395.841786621001 814492.512072775 11338.6477972582 803153.864275517 1306 2679227 37499 2641728 0 0 0 0 28.7520592212677 1718182533.16173 9851
8192 4 516.228463770087 542.619108059302 30.6862120628357 27.8946261405945 27.3090753555298 0 3.43977117538452 48 294378.70787771 294378.70787771 8211584 8211584 212071.241614207 212071.241614207 5915648 5915648 416.329015333711 885814.303438863 11473.6249545879 874340.678484276 1488 3323530 38938 3284592 0 0 0 0 30.5655484199524 1718182534.98234 10490
8704 4.25 514.759292420229 540.88441734051 32.5142159461975 29.7226300239563 29.0612895488739 0 3.45753931999207 51 293540.914547866 293540.914547866 8724808 8724808 211467.692964385 211467.692964385 6285376 6285376 437.310219288315 962867.613563096 11618.8401904821 951248.773372613 1514 3324915 40323 3284592 0 0 0 0 32.3861966133118 1718182536.81034 11129
9216 4.5 511.29915894981 538.980760147421 34.4755809307098 31.6839950084686 30.9654524326324 0 3.54079914093018 54 291567.777280953 291567.777280953 9238032 9238032 210046.239377995 210046.239377995 6655104 6655104 447.846852575635 950051.829107275 11843.4410656961 938208.388041579 1612 3343933 41773 3302160 0 0 0 0 34.3405981063843 1718182538.7717 11768
9728 4.75 512.030667041419 537.539951849756 36.1880230903625 33.3964371681213 32.6339302062988 0 3.55870008468628 57 291984.918957406 291984.918957406 9751256 9751256 210346.749404322 210346.749404322 7024832 7024832 459.751630951102 941214.005688892 12099.2898617866 929114.715827105 1638 3345367 43207 3302160 0 0 0 0 36.0456182956696 1718182540.48415 12407
10240 5 510.463306601289 536.103517619581 38.0536699295044 35.2620840072632 34.408016204834 0 3.70905947685242 60 291091.133407933 291091.133407933 10264480 10264480 209702.863803424 209702.863803424 7394560 7394560 476.732057199735 1003292.2148498 12194.2464527453 991097.968397055 1820 3989676 44652 3945024 0 0 0 0 37.903511762619 1718182542.34979 13046
10752 5.25 510.819411736069 534.864808991096 39.790962934494 36.9993770122528 36.0688931941986 0 3.72592902183533 63 291294.201965369 291294.201965369 10777704 10777704 209849.15495817 209849.15495817 7764288 7764288 494.885944789902 1072220.90891915 12320.2957493108 1059900.61316984 1846 3991087 46063 3945024 0 0 0 0 39.6328222751617 1718182544.08709 13685
11264 5.5 509.724185667172 533.632635706095 41.6361229419708 38.8445370197296 37.8619482517242 0 3.80800414085388 66 290669.650516499 290669.650516499 11290928 11290928 209399.226353725 209399.226353725 8134016 8134016 504.481153169835 1060099.31398766 12542.0797617895 1047557.23422587 1944 4010131 47539 3962592 0 0 0 0 41.470719575882 1718182545.93225 14324
11776 5.75 509.774770764972 532.548727854465 43.3977539539337 40.6061680316925 39.5764763355255 0 3.82519268989563 69 290698.496612314 290698.496612314 11804152 11804152 209420.007161546 209420.007161546 8503744 8503744 514.487612867803 1049748.9061449 12767.9809927874 1036980.92515211 1970 4011591 48999 3962592 0 0 0 0 43.225163936615 1718182547.69388 14963
12288 6 509.621812683446 531.562138317316 45.1759569644928 42.3843710422516 41.2675673961639 0 3.97044515609741 72 290611.272436276 290611.272436276 12317376 12317376 209357.170622028 209357.170622028 8873472 8873472 529.629906080495 1106311.67246944 12860.7957628677 1093450.87670657 2152 4655915 50459 4605456 0 0 0 0 44.9958875179291 1718182549.47208 15602
12800 6.25 510.146136909504 530.687009633868 46.8965950012207 44.1050090789795 42.9128258228302 0 3.98821496963501 75 290910.267743604 290910.267743604 12830600 12830600 209572.567674752 209572.567674752 9243200 9243200 545.714348058269 1169023.55318727 12968.6228510039 1156054.93033627 2178 4657328 51872 4605456 0 0 0 0 46.7082846164703 1718182551.19272 16241
13312 6.5 506.005658750483 529.597726068448 49.0361280441284 46.2445421218872 44.980162858963 0 4.10683917999268 78 288549.164673953 288549.164673953 13343824 13343824 207871.622442776 207871.622442776 9612928 9612928 551.286783273712 1150711.06060534 13103.6627716598 1137607.39783368 2276 4676375 53351 4623024 0 0 0 0 48.8404605388641 1718182553.33225 16880
13824 6.75 504.728525971664 528.570479623491 50.9362790584564 48.1446931362152 46.8104538917542 0 4.13015341758728 81 287820.881125868 287820.881125868 13857048 13857048 207346.964944946 207346.964944946 9982656 9982656 556.979490683743 1133742.41782009 13233.4739825247 1120508.94383756 2302 4677831 54807 4623024 0 0 0 0 50.7339060306549 1718182555.2324 17519
14336 7 504.389227017288 527.678091208179 52.7530019283295 49.9614160060883 48.5279388427734 0 4.28587365150452 84 287627.396274134 287627.396274134 14370272 14370272 207207.577918497 207207.577918497 10352384 10352384 568.512221323173 1181082.00965318 13273.6479584705 1167808.36169471 2484 5322166 56278 5265888 0 0 0 0 52.5429124832153 1718182557.04912 18158
14848 7.25 505.363679220633 526.917025071192 54.4375610351562 51.645975112915 50.1386015415192 0 4.30282044410706 87 288183.076560367 288183.076560367 14883496 14883496 207607.891545429 207607.891545429 10722112 10722112 582.931754465039 1238294.05880171 13372.5381886218 1224921.52061309 2510 5323584 57696 5265888 0 0 0 0 54.2194871902466 1718182558.73368 18797
15360 7.5 505.207974164534 526.181158132918 56.2349228858948 53.4433369636536 51.8778772354126 0 4.3904287815094 90 288094.285925132 288094.285925132 15396720 15396720 207543.926524339 207543.926524339 11091840 11091840 589.390198313807 1224108.81772831 13534.4003094101 1210574.4174189 2608 5342630 59174 5283456 0 0 0 0 56.0095729827881 1718182560.53105 19436
15872 7.75 502.699558453272 525.312503239417 58.2919330596924 55.5003471374512 53.8882205486298 0 4.40848350524902 93 286663.864652913 286663.864652913 15909944 15909944 206513.447053124 206513.447053124 11461568 11461568 597.223364012329 1213495.42836313 13722.2854235365 1199773.14293959 2634 5344094 60638 5283456 0 0 0 0 58.059308052063 1718182562.58806 20075
16384 8 501.761862857611 524.535219646253 60.1893320083618 57.3977460861206 55.6980493068695 0 4.55223774909973 96 286129.144781371 286129.144781371 16423168 16423168 206128.233367354 206128.233367354 11831296 11831296 608.734782847577 1259419.94212935 13785.594030727 1245634.34809862 2816 5988432 62112 5926320 0 0 0 0 59.8949828147888 1718182564.48546 20714
16896 8.25 502.506686920949 523.87571611883 61.8952770233154 59.1036911010742 57.3315291404724 0 4.56766605377197 99 286553.879875908 286553.879875908 16936392 16936392 206434.213713232 206434.213713232 12201024 12201024 621.857313956627 1312439.06406782 13874.7804711232 1298564.2835967 2842 5989850 63530 5926320 0 0 0 0 61.6477618217468 1718182566.1914 21353
17408 8.5 502.329569838457 523.216572993927 63.7077689170837 60.9161829948425 59.0926749706268 0 4.64531660079956 102 286452.879056414 286452.879056414 17449616 17449616 206361.45244137 206361.45244137 12570752 12570752 628.372907170477 1300029.87362936 14040.8842705679 1285988.98935879 2940 6008891 65003 5943888 0 0 0 0 63.4519791603088 1718182568.00389 21992
17920 8.75 500.149370328619 522.474343526719 65.7727708816528 62.9811849594116 61.1140801906586 0 4.66348886489868 105 285209.622708372 285209.622708372 17962840 17962840 205465.807103177 205465.807103177 12940480 12940480 635.80095706415 1290093.80502944 14222.8802886801 1275870.92474076 2966 6010356 66468 5943888 0 0 0 0 65.5085341930389 1718182570.06889 22631
18432 9 500.453358532869 521.860191475177 67.5328838825226 64.7412979602814 62.7870969772339 0 4.8081967830658 108 285382.971644081 285382.971644081 18476064 18476064 205590.688159601 205590.688159601 13310208 13310208 646.046706518419 1332270.52250366 14274.5558011689 1317995.96670249 3148 6654692 67940 6586752 0 0 0 0 67.2618353366852 1718182571.82901 23270
18944 9.25 501.817831336618 521.349684510237 69.1503279209137 66.3587419986725 64.3279001712799 0 4.82717800140381 111 286161.060744338 286161.060744338 18989288 18989288 206151.225716028 206151.225716028 13679936 13679936 657.345255248402 1380196.52041556 14338.4211417685 1365858.09927379 3174 6656106 69354 6586752 0 0 0 0 68.8715813159943 1718182573.44645 23909
19456 9.5 501.643556823039 520.809377819607 70.967483997345 68.1758980751038 66.0930004119873 0 4.90625476837158 114 286061.680896608 286061.680896608 19502512 19502512 206079.632196743 206079.632196743 14049664 14049664 663.044596089834 1367533.17213415 14488.9194441339 1353044.25269001 3272 6675151 70831 6604320 0 0 0 0 70.6818034648895 1718182575.26361 24548
19968 9.75 502.846987669612 520.369208230528 72.5941319465637 69.8025460243225 67.6746714115143 0 4.92418956756592 117 286747.935999721 286747.935999721 20015736 20015736 206574.012285678 206574.012285678 14419392 14419392 669.585613408503 1357142.3029889 14653.6392530031 1342488.6637359 3298 6676617 72297 6604320 0 0 0 0 72.3010802268982 1718182576.89025 25187
20480 10 503.301651055688 519.948645103789 74.3192670345306 71.5276811122894 69.3116335868835 0 5.0696132183075 120 287007.207290449 287007.207290449 20528960 20528960 206760.79204613 206760.79204613 14789120 14789120 678.564043379932 1395656.26619174 14692.5690087341 1380963.697183 3480 7320958 73774 7247184 0 0 0 0 74.0194792747498 1718182578.61539 25826
20992 10.25 504.34932180464 519.583492218627 75.9551620483398 73.1635761260986 70.8722343444824 0 5.08684730529785 123 287604.640370961 287604.640370961 21042184 21042184 207191.184502429 207191.184502429 15158848 15158848 688.973010051341 1440544.98246025 14755.6692461081 1425789.31321414 3506 7322399 75215 7247184 0 0 0 0 75.6479394435883 1718182580.25129 26465
