# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.140799999169416
512 0.25 0.140716900030874
1024 0.5 0.14062959804977
1536 0.75 0.140539319319386
2048 1 0.140447870920391
2560 1.25 0.14035736151829
3072 1.5 0.140269658755703
3584 1.75 0.140186329497242
4096 2 0.14010851687421
4608 2.25 0.140036719207649
5120 2.5 0.139970866599949
5632 2.75 0.139909110178621
6144 3 0.139849098814156
6656 3.25 0.13979030214492
7168 3.5 0.139732222072082
7680 3.75 0.139674373171099
8192 4 0.139616300368422
8704 4.25 0.139557590689741
9216 4.5 0.139497868262633
9728 4.75 0.139436775920706
10240 5 0.139373959723039
10752 5.25 0.139309067227433
11264 5.5 0.139241760860022
11776 5.75 0.139171737995211
12288 6 0.139098740262424
12800 6.25 0.139022545291836
13312 6.5 0.138942948763036
13824 6.75 0.138859752524469
14336 7 0.138772771712007
14848 7.25 0.138681856190835
15360 7.5 0.138586904355404
15872 7.75 0.138487867775168
16384 8 0.138384722299852
16896 8.25 0.138277429964754
17408 8.5 0.138165922502522
17920 8.75 0.138050122152221
18432 9 0.137929776978678
18944 9.25 0.137803199396328
19456 9.5 0.137669940514036
19968 9.75 0.137530022242968
20480 10 0.137383441424824
20992 10.25 0.137230054260092
21504 10.5 0.137069771732043
22016 10.75 0.136902662426339
22528 11 0.136728978990709
23040 11.25 0.136549101906886
23552 11.5 0.136363437716348
24064 11.75 0.13617236373563
24576 12 0.135976248984225
25088 12.25 0.13577548995178
25600 12.5 0.135570511076342
26112 12.75 0.135361754055644
26624 13 0.135149679820596
27136 13.25 0.134934746534775
27648 13.5 0.134717346278859
28160 13.75 0.134497769462025
28672 14 0.134276249680626
29184 14.25 0.134053019191873
29696 14.5 0.133828287242566
30208 14.75 0.133602189532805
30720 15 0.133374811070632
31232 15.25 0.133146248881625
31744 15.5 0.13291659453485
32256 15.75 0.132685846426365
32768 16 0.132453887382426
33280 16.25 0.132220562762477
33792 16.5 0.131985744334555
34304 16.75 0.13174931692024
34816 17 0.131511158592622
35328 17.25 0.131271158860542
35840 17.5 0.131029215911481
36352 17.75 0.130785190876739
36864 18 0.130538898075971
37376 18.25 0.130290167630057
37888 18.5 0.130038901965972
38400 18.75 0.129785063161422
38912 19 0.129528628806125
39424 19.25 0.129269602667373
39936 19.5 0.129008002495298
40448 19.75 0.128743820504136
40960 20 0.12847703628978
41472 20.25 0.128207704291866
41984 20.5 0.127936015929357
42496 20.75 0.127662249849318
43008 21 0.127386662973858
43520 21.25 0.127109439014079
44032 21.5 0.126830733865981
44544 21.75 0.126550761413028
45056 22 0.126269839548807
45568 22.25 0.125988354354888
46080 22.5 0.125706669324514
46592 22.75 0.125425060893391
47104 23 0.125143735321025
47616 23.25 0.124862889917704
48128 23.5 0.124582741854883
48640 23.75 0.124303505977171
49152 24 0.124025359853934
49664 24.25 0.123748420388862
50176 24.5 0.123472733313321
50688 24.75 0.123198290600815
51200 25 0.12292508306454
51712 25.25 0.122653142840071
52224 25.5 0.122382519057271
52736 25.75 0.122113205012836
53248 26 0.121845099918875
53760 26.25 0.12157802805747
54272 26.5 0.121311808350446
54784 26.75 0.121046305568453
55296 27 0.120781415671325
55808 27.25 0.120517007685492
56320 27.5 0.120252896717397
56832 27.75 0.119988898658018
57344 28 0.119724917526731
57856 28.25 0.119460957837123
58368 28.5 0.119197035608991
58880 28.75 0.118933092353405
59392 29 0.118669016553527
59904 29.25 0.118404741050962
60416 29.5 0.118140299307391
60928 29.75 0.117875794293864
61440 30 0.11761132331193
61952 30.25 0.117346954182634
62464 30.5 0.117082755857215
62976 30.75 0.116818834427564
63488 31 0.116555345489452
64000 31.25 0.116292476259059
64512 31.5 0.116030402905183
65024 31.75 0.115769239466143
65536 32 0.115509049800244
66048 32.25 0.115249911419151
66560 32.5 0.114991955804765
67072 32.75 0.114735333581981
67584 33 0.114480145909625
68096 33.25 0.114226415242859
68608 33.5 0.113974124106926
69120 33.75 0.113723269264047
69632 34 0.113473865893912
70144 34.25 0.113225896932307
70656 34.5 0.112979265625222
71168 34.75 0.11273381168268
71680 35 0.112489387199284
72192 35.25 0.112245914954162
72704 35.5 0.112003355515209
73216 35.75 0.111761609657032
73728 36 0.11152046957201
74240 36.25 0.111279683366671
74752 36.5 0.111039058661439
75264 36.75 0.110798484047581
75776 37 0.110557857767755
76288 37.25 0.110317029363389
76800 37.5 0.110075827916074
77312 37.75 0.109834130249108
77824 38 0.109591879492835
78336 38.25 0.109349039491494
78848 38.5 0.109105548850452
79360 38.75 0.108861319977647
79872 39 0.108616274881516
80384 39.25 0.108370390465055
80896 39.5 0.108123731547954
81408 39.75 0.107876437984466
81920 40 0.107628665313022
82432 40.25 0.107380549141053
82944 40.5 0.107132200893032
83456 40.75 0.106883741473272
83968 41 0.10663533368132
84480 41.25 0.106387170019975
84992 41.5 0.106139432626766
85504 41.75 0.105892282545449
86016 42 0.105645891550594
86528 42.25 0.105400457874315
87040 42.5 0.105156155375746
87552 42.75 0.10491309041251
88064 43 0.104671338267979
88576 43.25 0.104431016215419
89088 43.5 0.104192297289965
89600 43.75 0.103955353959345
90112 44 0.103720305180594
90624 44.25 0.103487212983383
91136 44.5 0.10325611429198
91648 44.75 0.103027063735199
92160 45 0.102800159613806
92672 45.25 0.102575513315501
93184 45.5 0.102353177427879
93696 45.75 0.102133130540889
94208 46 0.101915361825
94720 46.25 0.101699951969455
95232 46.5 0.101487031645335
95744 46.75 0.101276659925221
96256 47 0.101068799061551
96768 47.25 0.100863420224427
97280 47.5 0.100660587991264
97792 47.75 0.100460413528246
98304 48 0.100262957173508
98816 48.25 0.100068220382882
99328 48.5 0.0998762002707048
99840 48.75 0.0996869366983413
100352 49 0.0995004924696407
100864 49.25 0.0993169181501234
101376 49.5 0.0991362526199232
101888 49.75 0.0989585358538988
102400 50 0.0987837872432179
102912 50.25 0.0986119810363792
103424 50.5 0.0984430746298128
103936 50.75 0.0982770636342039
104448 51 0.0981139878067485
104960 51.25 0.0979538790448105
105472 51.5 0.0977967165423386
105984 51.75 0.0976424324016658
106496 52 0.0974909491252274
107008 52.25 0.0973422123651717
107520 52.5 0.0971961940713121
108032 52.75 0.0970528600986965
108544 53 0.0969121318481213
109056 53.25 0.0967738524075611
109568 53.5 0.0966378514657414
110080 53.75 0.0965040183496318
110592 54 0.0963722784597111
111104 54.25 0.0962425546700518
111616 54.5 0.0961147610827374
112128 54.75 0.0959888228010655
112640 55 0.0958646955520918
113152 55.25 0.095742374362541
113664 55.5 0.095621886204511
114176 55.75 0.0955032672833725
114688 56 0.095386544314855
115200 56.25 0.0952717377733984
115712 56.5 0.0951588778136643
116224 56.75 0.0950480133525064
116736 57 0.0949392081046396
117248 57.25 0.0948325230817404
117760 57.5 0.0947279917049051
118272 57.75 0.094625615393942
118784 58 0.0945253982391963
119296 58.25 0.0944273811160335
119808 58.5 0.0943316158630316
120320 58.75 0.0942381019905217
120832 59 0.0941467767620115
121344 59.25 0.0940575816077676
121856 59.5 0.093970512340018
122368 59.75 0.093885575435543
122880 60 0.0938027090334458
123392 60.25 0.0937217817156328
123904 60.5 0.0936426727884297
124416 60.75 0.0935653220508399
124928 61 0.0934896850862371
125440 61.25 0.0934156693412561
125952 61.5 0.0933431462275272
126464 61.75 0.0932720094219623
126976 62 0.0932021820430628
127488 62.25 0.0931335716883754
128000 62.5 0.0930660644053755
128512 62.75 0.0929995769485328
129024 63 0.0929340783749689
129536 63.25 0.0928695418069897
130048 63.5 0.0928059096663749
130560 63.75 0.0927431323950724
131072 64 0.0926812119177298
131584 64.25 0.0926201759993543
132096 64.5 0.0925600337893826
132608 64.75 0.0925007890430602
133120 65 0.0924424725873231
133632 65.25 0.0923851314779312
134144 65.5 0.092328781493086
134656 65.75 0.0922734107949126
135168 66 0.0922190337994222
135680 66.25 0.0921657021132624
136192 66.5 0.0921134543206082
136704 66.75 0.0920622897290808
137216 67 0.0920122062702096
137728 67.25 0.0919632339584398
138240 67.5 0.0919154075046444
138752 67.75 0.091868682510932
139264 68 0.0918228291057419
139776 68.25 0.0917778277986364
140288 68.5 0.0917337119016261
140800 68.75 0.0916904917801638
141312 69 0.0916481376200477
141824 69.25 0.0916066164647869
142336 69.5 0.0915659218784446
142848 69.75 0.0915260596183115
143360 70 0.0914870186224796
143872 70.25 0.0914487854237679
144384 70.5 0.0914114010508368
144896 70.75 0.091374973660312
145408 71 0.0913396169363844
145920 71.25 0.0913053916819072
146432 71.5 0.0912723197680463
146944 71.75 0.0912404339956879
147456 72 0.0912097917708932
147968 72.25 0.0911804484418807
148480 72.5 0.0911524450306421
148992 72.75 0.0911258312527114
149504 73 0.0911010393945913
150016 73.25 0.0910794956628775
150528 73.5 0.0910615566889102
151040 73.75 0.0910473858559921
151552 74 0.0910370847592806
152064 74.25 0.0910307059039063
152576 74.5 0.0910282372730209
153088 74.75 0.091029589867039
153600 75 0.0910346172903138
154112 75.25 0.0910431496787968
154624 75.5 0.0910550023591297
155136 75.75 0.0910699528608215
155648 76 0.0910877285923105
156160 76.25 0.0911080334873811
156672 76.5 0.0911305977086092
157184 76.75 0.0911551684991892
157696 77 0.0911815020083292
158208 77.25 0.0912093563499685
158720 77.5 0.0912384973535139
159232 77.75 0.0912687188939556
159744 78 0.0912998641141371
160256 78.25 0.0913311578991414
160768 78.5 0.0913595936275471
161280 78.75 0.0913849931090045
161792 79 0.0914078363371933
162304 79.25 0.0914288572498724
162816 79.5 0.0914498193546183
163328 79.75 0.0914717305522201
163840 80 0.0914951291442908
164352 80.25 0.0915204954261225
164864 80.5 0.0915482426039104
165376 80.75 0.0915787385287924
165888 81 0.0916123067362466
166400 81.25 0.0916492065298011
166912 81.5 0.0916896026793024
167424 81.75 0.0917335529806911
167936 82 0.0917810229193057
168448 82.25 0.091831916010071
168960 82.5 0.0918860928946821
169472 82.75 0.0919433714718613
169984 83 0.0920035249615237
170496 83.25 0.0920662969396742
171008 83.5 0.0921314317693817
171520 83.75 0.0921986985871023
172032 84 0.0922678839761296
172544 84.25 0.0923384631883453
173056 84.5 0.0924100856851912
173568 84.75 0.0924826775749195
174080 85 0.0925562751297222
174592 85.25 0.09263101055485
175104 85.5 0.0927070662099495
175616 85.75 0.092784638755872
176128 86 0.0928639838153432
176640 86.25 0.0929456329770218
177152 86.5 0.0930297662178963
177664 86.75 0.0931164730587314
178176 87 0.0932058004289023
178688 87.25 0.0932977416422792
179200 87.5 0.0933922630156501
179712 87.75 0.0934893352652195
180224 88 0.0935889378223661
180736 88.25 0.0936910362907799
181248 88.5 0.0937955626363966
181760 88.75 0.0939024224270175
182272 89 0.0940115181676626
182784 89.25 0.0941227570927255
183296 89.5 0.0942360359200005
183808 89.75 0.0943512306668559
184320 90 0.0944682121096185
184832 90.25 0.0945868672746052
185344 90.5 0.0947070991005232
185856 90.75 0.0948288139188867
186368 91 0.0949519262799289
186880 91.25 0.0950763785069826
187392 91.5 0.0952021433281362
187904 91.75 0.0953292025213828
188416 92 0.0954575292743538
188928 92.25 0.0955871004218433
189440 92.5 0.095717921267961
189952 92.75 0.0958500325490741
190464 93 0.0959835017122409
190976 93.25 0.0961184096850855
191488 93.5 0.0962548358255198
192000 93.75 0.0963928455160791
192512 94 0.0965324939697279
193024 94.25 0.0966738473200375
193536 94.5 0.0968169966604606
194048 94.75 0.0969620436796944
194560 95 0.0971090712973644
195072 95.25 0.0972581319774065
195584 95.5 0.0974092615159808
196096 95.75 0.0975624986548953
196608 96 0.0977178875171156
197120 96.25 0.0978754635609494
197632 96.5 0.098035245251431
198144 96.75 0.0981972363999609
198656 97 0.0983614297995941
199168 97.25 0.0985278086201361
199680 97.5 0.0986963510538264
200192 97.75 0.0988670374160778
200704 98 0.0990398495601631
201216 98.25 0.0992147598938364
201728 98.5 0.0993917233708761
202240 98.75 0.0995706857265163
202752 99 0.099751601463573
203264 99.25 0.0999344405050214
203776 99.5 0.10011917373139
204288 99.75 0.100305753573472
204800 100 0.100494114001679
205312 100.25 0.100684190506232
205824 100.5 0.100875939811267
206336 100.75 0.101069342165436
206848 101 0.101264383870267
207360 101.25 0.101461042339025
207872 101.5 0.101659283205943
208384 101.75 0.101859064050548
208896 102 0.102060341553704
209408 102.25 0.10226308067285
209920 102.5 0.102467263183205
210432 102.75 0.102672885824394
210944 103 0.102879950035644
211456 103.25 0.103088453091011
211968 103.5 0.103298384337688
212480 103.75 0.1035097232714
212992 104 0.103722439975121
213504 104.25 0.103936504350358
214016 104.5 0.104151904439745
214528 104.75 0.104368659956341
215040 105 0.104586809166342
215552 105.25 0.104806370116274
216064 105.5 0.105027314009922
216576 105.75 0.105249583686601
217088 106 0.10547314282901
217600 106.25 0.105698005266178
218112 106.5 0.105924210675136
218624 106.75 0.106151772112829
219136 107 0.106380653964504
219648 107.25 0.106610806216549
220160 107.5 0.106842206981517
220672 107.75 0.107074868200928
221184 108 0.107308808960617
221696 108.25 0.107544029793488
222208 108.5 0.107780514816199
222720 108.75 0.108018249267226
223232 109 0.108257224742669
223744 109.25 0.108497427932845
224256 109.5 0.108738833147917
224768 109.75 0.108981411841034
225280 110 0.109225147855548
225792 110.25 0.10947003905682
226304 110.5 0.109716081369824
226816 110.75 0.109963249877304
227328 111 0.110211500064116
227840 111.25 0.110460783462849
228352 111.5 0.110711067231718
228864 111.75 0.110962345996473
229376 112 0.111214620579476
229888 112.25 0.111467872105472
230400 112.5 0.111722044856379
230912 112.75 0.111977058165641
231424 113 0.112232839585225
231936 113.25 0.112489350769149
232448 113.5 0.112746582198321
232960 113.75 0.113004519805029
233472 114 0.113263114402897
233984 114.25 0.113522285442237
234496 114.5 0.113781957364226
235008 114.75 0.114042091642233
235520 115 0.114302681335661
236032 115.25 0.114563716116011
236544 115.5 0.114825156219564
237056 115.75 0.115086932984401
237568 116 0.115348985910701
238080 116.25 0.11561130734449
238592 116.5 0.115873911740615
239104 116.75 0.116136805342549
239616 117 0.116399975942433
240128 117.25 0.116663405189446
240640 117.5 0.116927086913969
241152 117.75 0.117191029344115
241664 118 0.117455238253594
