# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
48128 47 0.96737860754888
48640 47.5 0.967401946852776
49152 48 0.967423867996129
49664 48.5 0.967445028442954
50176 49 0.967466216875871
50688 49.5 0.967486966062061
51200 50 0.967506861235854
51712 50.5 0.96752633393331
52224 51 0.967545553262392
52736 51.5 0.967564264478059
53248 52 0.967582557572338
53760 52.5 0.967600621186009
54272 53 0.967618271957974
54784 53.5 0.967635283983005
55296 54 0.967651775813041
55808 54.5 0.967668097479403
56320 55 0.967684359061529
56832 55.5 0.9677002700286
57344 56 0.967715793754697
57856 56.5 0.96773141666414
58368 57 0.967747228608561
58880 57.5 0.967762672781643
59392 58 0.967777633536928
59904 58.5 0.967792497800809
60416 59 0.96780695368463
60928 59.5 0.967820123800232
61440 60 0.967831786580584
61952 60.5 0.967842168749402
62464 61 0.967850991418022
62976 61.5 0.967857995478099
63488 62 0.967863851217664
64000 62.5 0.967869445157182
64512 63 0.96787482167968
65024 63.5 0.967879622424894
65536 64 0.96788390871097
66048 64.5 0.967887900929993
66560 65 0.967891560991493
67072 65.5 0.967895001260133
67584 66 0.967898783889426
68096 66.5 0.967903373131247
68608 67 0.967908693234821
69120 67.5 0.96791452721985
69632 68 0.967920950133338
70144 68.5 0.967928073013939
70656 69 0.967935729806776
71168 69.5 0.9679437227437
71680 70 0.967952036372379
72192 70.5 0.96796053687992
72704 71 0.967968860326766
73216 71.5 0.967976897567658
73728 72 0.967984967633712
74240 72.5 0.967993235696868
74752 73 0.968001421359407
75264 73.5 0.968009318979368
75776 74 0.968017123250228
76288 74.5 0.968025049603045
76800 75 0.968033056513412
77312 75.5 0.968041027758232
77824 76 0.968048908835279
78336 76.5 0.968056714647003
78848 77 0.968064590726421
79360 77.5 0.96807267869207
79872 78 0.96808086428601
80384 78.5 0.968088954165629
80896 79 0.968097055741647
81408 79.5 0.968105422968402
81920 80 0.96811401988435
82432 80.5 0.968122592742087
82944 81 0.96813106851016
83456 81.5 0.968139579218145
83968 82 0.968148185928096
84480 82.5 0.968156789243281
84992 83 0.968165238631274
85504 83.5 0.968173439135865
86016 84 0.968181415019996
86528 84.5 0.968189248079035
87040 85 0.96819690324087
87552 85.5 0.968204224297337
88064 86 0.968211124279497
88576 86.5 0.968217619036252
89088 87 0.968223703841439
89600 87.5 0.968229381519556
90112 88 0.968234728961703
90624 88.5 0.968239797580503
91136 89 0.968244617406175
91648 89.5 0.968249347283874
92160 90 0.968254135454091
92672 90.5 0.968258846966542
93184 91 0.968263245925925
93696 91.5 0.968267334307616
94208 92 0.968271217754965
94720 92.5 0.968274854174204
95232 93 0.96827819839046
95744 93.5 0.968281361120202
96256 94 0.968284428597709
96768 94.5 0.968287297556025
97280 95 0.968289795185696
97792 95.5 0.968291886001137
98304 96 0.96829372725755
98816 96.5 0.968295500799521
99328 97 0.968297186715024
99840 97.5 0.968298599174651
100352 98 0.968299659056888
100864 98.5 0.96830048705094
101376 99 0.968301207467308
101888 99.5 0.968301815029228
102400 100 0.968302268987851
102912 100.5 0.968302585228342
103424 101 0.968302779918173
103936 101.5 0.968302808118673
104448 102 0.96830263286036
104960 102.5 0.968302328451051
105472 103 0.968302031659111
105984 103.5 0.968301767939925
