# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
35328 34.5 -5.72293247394512e-05 -5.72293247372976e-05 -5.7229324736708e-05
35840 35 -5.42286112481241e-05 -5.42286112469465e-05 -5.42286112474579e-05
36352 35.5 -4.80336407262722e-05 -4.8033640726782e-05 -4.80336407286139e-05
36864 36 -4.48946535062169e-05 -4.48946535077342e-05 -4.48946535089751e-05
37376 36.5 -4.94498939498704e-05 -4.9449893952209e-05 -4.94498939514828e-05
37888 37 -5.85318065537598e-05 -5.8531806555731e-05 -5.85318065538479e-05
38400 37.5 -6.30579871530477e-05 -6.30579871523389e-05 -6.30579871514295e-05
38912 38 -5.79857714445378e-05 -5.79857714424101e-05 -5.79857714423681e-05
39424 38.5 -5.21664445900939e-05 -5.21664445918881e-05 -5.21664445928843e-05
39936 39 -5.53149924127971e-05 -5.53149924155974e-05 -5.53149924147693e-05
40448 39.5 -4.53800153346081e-05 -4.53800153364372e-05 -4.53800153343584e-05
40960 40 -4.21859763442132e-05 -4.21859763442732e-05 -4.2185976345574e-05
41472 40.5 -4.06212415681535e-05 -4.06212415679712e-05 -4.06212415666807e-05
41984 41 -4.68831451913114e-05 -4.68831451897341e-05 -4.68831451895513e-05
42496 41.5 -4.71868654568571e-05 -4.71868654545396e-05 -4.71868654584056e-05
43008 42 -3.8392345352402e-05 -3.8392345352307e-05 -3.83923453512524e-05
43520 42.5 -3.3110061247022e-05 -3.31100612461855e-05 -3.31100612465476e-05
44032 43 -3.61241096432741e-05 -3.61241096407846e-05 -3.61241096423096e-05
44544 43.5 -3.52195584795824e-05 -3.52195584783206e-05 -3.52195584784302e-05
45056 44 -3.3800687473527e-05 -3.38006874751754e-05 -3.38006874690021e-05
45568 44.5 -3.59415230630365e-05 -3.59415230592654e-05 -3.5941523057853e-05
46080 45 -3.51051753711203e-05 -3.51051753668702e-05 -3.51051753680684e-05
46592 45.5 -3.23893734112181e-05 -3.2389373413501e-05 -3.23893734126935e-05
47104 46 -3.40900545492833e-05 -3.40900545490719e-05 -3.40900545476635e-05
47616 46.5 -3.02911637125314e-05 -3.02911637104357e-05 -3.02911637087099e-05
48128 47 -3.27410015484081e-05 -3.27410015416545e-05 -3.27410015487767e-05
48640 47.5 -3.91953524099456e-05 -3.91953524041469e-05 -3.91953524128788e-05
49152 48 -3.55126300008534e-05 -3.55126300048339e-05 -3.55126300041476e-05
49664 48.5 -2.8583073291477e-05 -2.85830732973701e-05 -2.85830732927489e-05
50176 49 -2.75560482321209e-05 -2.75560482323252e-05 -2.75560482341535e-05
50688 49.5 -3.46169907201676e-05 -3.46169907176907e-05 -3.46169907189171e-05
51200 50 -3.77243437944266e-05 -3.77243437969665e-05 -3.77243437963517e-05
51712 50.5 -3.28079398681572e-05 -3.28079398703855e-05 -3.28079398712749e-05
52224 51 -2.37423223795748e-05 -2.37423223827143e-05 -2.37423223788476e-05
52736 51.5 -2.35808442535911e-05 -2.35808442537826e-05 -2.35808442512544e-05
53248 52 -3.0086563867395e-05 -3.00865638677971e-05 -3.00865638608001e-05
53760 52.5 -3.10751678890172e-05 -3.10751678874741e-05 -3.10751678899499e-05
54272 53 -2.03009049720755e-05 -2.03009049695542e-05 -2.03009049793966e-05
54784 53.5 -2.31115793941283e-05 -2.31115794006974e-05 -2.3111579397841e-05
55296 54 -2.14809197990494e-05 -2.1480919798553e-05 -2.14809197990303e-05
55808 54.5 -2.93965654775888e-05 -2.93965654833425e-05 -2.93965654793618e-05
56320 55 -2.89876972695142e-05 -2.89876972733763e-05 -2.89876972696193e-05
56832 55.5 -2.02983274474272e-05 -2.02983274444713e-05 -2.02983274447446e-05
57344 56 -2.00521557797481e-05 -2.00521557795943e-05 -2.00521557774235e-05
57856 56.5 -2.14316155652988e-05 -2.14316155670682e-05 -2.14316155659064e-05
58368 57 -1.96798150602246e-05 -1.9679815061155e-05 -1.96798150614803e-05
58880 57.5 -1.88147360725931e-05 -1.88147360756445e-05 -1.88147360789407e-05
59392 58 -1.84944124188688e-05 -1.8494412419342e-05 -1.84944124221957e-05
59904 58.5 -2.34768853679433e-05 -2.34768853703026e-05 -2.34768853702363e-05
60416 59 -2.51178310073908e-05 -2.51178310081888e-05 -2.51178310077201e-05
60928 59.5 -2.15928564493757e-05 -2.15928564476646e-05 -2.15928564477603e-05
61440 60 -2.1248755185095e-05 -2.12487551862149e-05 -2.12487551848795e-05
61952 60.5 -2.00327244434273e-05 -2.00327244456264e-05 -2.00327244425271e-05
62464 61 -2.31797784730787e-05 -2.31797784744066e-05 -2.31797784713451e-05
62976 61.5 -2.35691859622068e-05 -2.35691859613068e-05 -2.35691859621203e-05
63488 62 -1.97442328188618e-05 -1.97442328186008e-05 -1.97442328203447e-05
64000 62.5 -1.88396035923925e-05 -1.88396035980581e-05 -1.88396035945581e-05
64512 63 -2.02717956219222e-05 -2.02717956275279e-05 -2.02717956345292e-05
65024 63.5 -1.82030098526387e-05 -1.82030098545795e-05 -1.82030098554793e-05
65536 64 -1.74178881433355e-05 -1.74178881515274e-05 -1.74178881471602e-05
66048 64.5 -1.45513316180939e-05 -1.45513316205407e-05 -1.45513316176041e-05
66560 65 -1.68191853783024e-05 -1.68191853751069e-05 -1.68191853746282e-05
67072 65.5 -1.70216965367595e-05 -1.70216965416158e-05 -1.70216965365933e-05
67584 66 -1.57259349310088e-05 -1.57259349317177e-05 -1.5725934934211e-05
68096 66.5 -1.44264468155437e-05 -1.44264468139762e-05 -1.44264468209523e-05
68608 67 -1.41248307850653e-05 -1.41248307831959e-05 -1.41248307869005e-05
69120 67.5 -1.66627506475252e-05 -1.66627506457696e-05 -1.66627506511017e-05
69632 68 -1.52192051181213e-05 -1.5219205119183e-05 -1.52192051191123e-05
70144 68.5 -1.31652190654872e-05 -1.31652190589699e-05 -1.31652190578321e-05
70656 69 -1.50333338612534e-05 -1.50333338624883e-05 -1.50333338575148e-05
71168 69.5 -1.6941223394652e-05 -1.69412233949581e-05 -1.69412233945255e-05
71680 70 -1.97794832676351e-05 -1.97794832678253e-05 -1.9779483266515e-05
72192 70.5 -2.14072173699883e-05 -2.14072173697903e-05 -2.14072173695551e-05
72704 71 -2.15028727714491e-05 -2.15028727720663e-05 -2.15028727715809e-05
73216 71.5 -2.29892981431481e-05 -2.29892981414971e-05 -2.29892981428371e-05
73728 72 -2.34566574982452e-05 -2.34566574968668e-05 -2.34566574971357e-05
74240 72.5 -2.39819190415849e-05 -2.39819190415258e-05 -2.39819190421208e-05
74752 73 -2.43561362155365e-05 -2.4356136215359e-05 -2.43561362182241e-05
75264 73.5 -2.31242226030526e-05 -2.31242226016096e-05 -2.3124222605214e-05
75776 74 -2.04414305398171e-05 -2.04414305382906e-05 -2.04414305395891e-05
76288 74.5 -1.77901881677293e-05 -1.77901881666041e-05 -1.77901881688149e-05
76800 75 -2.01111184534134e-05 -2.01111184544541e-05 -2.01111184531769e-05
77312 75.5 -1.82882964122803e-05 -1.82882964165132e-05 -1.82882964139526e-05
77824 76 -1.98968472795507e-05 -1.98968472797272e-05 -1.98968472769946e-05
78336 76.5 -2.12536206015694e-05 -2.12536206023784e-05 -2.12536206019475e-05
78848 77 -1.72345617541314e-05 -1.72345617532593e-05 -1.72345617568776e-05
79360 77.5 -1.81089989308337e-05 -1.81089989305341e-05 -1.81089989262671e-05
79872 78 -1.76319535007403e-05 -1.76319534997729e-05 -1.76319534989883e-05
80384 78.5 -1.63851075250973e-05 -1.63851075225717e-05 -1.63851075234165e-05
80896 79 -1.35739488535663e-05 -1.35739488544408e-05 -1.35739488535455e-05
81408 79.5 -1.35114053342812e-05 -1.35114053309902e-05 -1.35114053322448e-05
81920 80 -1.39473616828435e-05 -1.39473616796692e-05 -1.39473616846915e-05
82432 80.5 -1.29657596255881e-05 -1.29657596247258e-05 -1.29657596219084e-05
82944 81 -1.33734317115043e-05 -1.33734317086963e-05 -1.33734317106205e-05
