# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
11776 11.5 2977.61141235179 2955.56920606522 16.4521210193634 13.9037618637085 13.0573887825012 0 3.39660620689392 69 395903.213386294 395903.213386294 5504544 5504544 194378.472998325 194378.472998325 2702592 2702592 579.132568587269 790067.909002181 14315.4147688889 775752.494233292 1970 2682276 48804 2633472 0 0 0 0 16.3353536128998 1717434951.76437 14963
12288 12 2970.98668443459 2956.28370502562 17.0889830589294 14.5406239032745 13.6279981136322 0 3.51204442977905 72 395022.389562423 395022.389562423 5743872 5743872 193946.01075989 193946.01075989 2820096 2820096 598.095638298774 808321.921134428 14466.9800046472 793854.941129781 2152 3108827 50267 3058560 0 0 0 0 16.9668493270874 1717434952.40123 15602
12800 12.5 2974.41685767133 2956.63347393523 17.6773750782013 15.1290159225464 14.1586170196533 0 3.52042388916016 75 395478.465395981 395478.465395981 5983200 5983200 194169.932468785 194169.932468785 2937600 2937600 617.831622358574 883849.343504842 14633.5721704175 869215.771334425 2178 3110258 51698 3058560 0 0 0 0 17.5504930019379 1717434952.98962 16241
13312 13 2979.27174295009 2957.3342130021 18.2568960189819 15.708536863327 14.7017347812653 0 3.58230113983154 78 396123.970942644 396123.970942644 6222528 6222528 194486.859379782 194486.859379782 3055104 3055104 628.944751162984 876673.318479848 14899.7461600422 861773.572319806 2276 3125553 53169 3072384 0 0 0 0 18.1247141361237 1717434953.56914 16880
13824 13.5 2981.39685598871 2958.02411994804 18.8494429588318 16.3010838031769 15.2603764533997 0 3.59093332290649 81 396406.525972259 396406.525972259 6461856 6461856 194625.586758943 194625.586758943 3172608 3172608 640.277909735562 871194.221468886 15154.3583596681 856039.863109218 2302 3126982 54598 3072384 0 0 0 0 18.7121253013611 1717434954.16169 17519
14336 14 2974.34717787755 2958.68064209926 19.4932539463043 16.9448947906494 15.8357872962952 0 3.71015214920044 84 395469.200770598 395469.200770598 6701184 6701184 194165.383771846 194165.383771846 3290112 3290112 656.738729249654 886488.465996507 15275.6006674347 871212.865329072 2484 3553540 56068 3497472 0 0 0 0 19.3504161834717 1717434954.8055 18158
14848 14.5 2976.22817090552 2959.01592979554 20.0873370170593 17.5389778614044 16.3704106807709 0 3.71862149238586 87 395719.297603597 395719.297603597 6940512 6940512 194288.174996712 194288.174996712 3407616 3407616 674.212984942385 956372.464338269 15414.3490659573 940958.115272311 2510 3554971 57499 3497472 0 0 0 0 19.9398696422577 1717434955.39959 18797
15360 15 2978.63822726348 2959.58060546851 20.6774489879608 18.1290898323059 16.9262788295746 0 3.77893686294556 90 396039.738696952 396039.738696952 7179840 7179840 194445.50347576 194445.50347576 3525120 3525120 684.586380134983 949416.275355565 15666.044865659 933750.230489906 2608 3570258 58962 3511296 0 0 0 0 20.52472448349 1717434955.9897 19436
15872 15.5 2980.42456038157 2960.09794015445 21.2705240249634 18.7221648693085 17.4837176799774 0 3.78868842124939 93 396277.249548334 396277.249548334 7419168 7419168 194562.115301709 194562.115301709 3642624 3642624 694.516634969288 943138.009877091 15893.3398006185 927244.670076472 2634 3571687 60391 3511296 0 0 0 0 21.1126742362976 1717434956.58277 20075
16384 16 2971.59789632852 2960.57776378713 21.9318699836731 19.3835108280182 18.0804829597473 0 3.9055163860321 96 395103.65629584 395103.65629584 7658496 7658496 193985.910672326 193985.910672326 3760128 3760128 709.874126649881 957319.006657964 16010.3359171489 941308.670740815 2816 3998243 61859 3936384 0 0 0 0 21.7460460662842 1717434957.24412 20714
