# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000548005798970828
512 0.5 0.000547317671069173
1024 1 0.000549786199609683
1536 1.5 0.00050060702241309
2048 2 0.000441540091898897
2560 2.5 0.000411614240864047
3072 3 0.000403804339482371
3584 3.5 0.000398882388875533
4096 4 0.000495214103218858
4608 4.5 0.000637409465535976
5120 5 0.000790819864974562
5632 5.5 0.000949078392007363
6144 6 0.00110302398305458
6656 6.5 0.00125253656810834
7168 7 0.00140592663788477
7680 7.5 0.00156959782566164
8192 8 0.00173956426418041
8704 8.5 0.00190680313385456
9216 9 0.00207473175085476
9728 9.5 0.00225494146055587
10240 10 0.00244169240180397
10752 10.5 0.00260742064342319
11264 11 0.00273740042246944
11776 11.5 0.002861961045814
12288 12 0.00302474681670867
12800 12.5 0.00321698437222036
13312 13 0.00338175735105012
13824 13.5 0.00349787040112635
14336 14 0.00361514069833888
14848 14.5 0.00377567790413243
15360 15 0.00394353070502093
15872 15.5 0.00406137186744079
16384 16 0.00414469744866423
16896 16.5 0.00425799327758497
17408 17 0.00441155058559353
17920 17.5 0.00454623576847384
18432 18 0.00462572697166369
18944 18.5 0.00468709864001438
19456 19 0.00478006907100313
19968 19.5 0.00489918071095985
20480 20 0.00500674775809896
20992 20.5 0.00508964974971401
21504 21 0.00516761301604775
22016 21.5 0.00525602204403704
22528 22 0.00534795823076652
23040 22.5 0.00543471534092708
23552 23 0.00552347953212945
24064 23.5 0.0056264894773488
24576 24 0.00574018587955927
25088 24.5 0.00584268252942913
25600 25 0.00591582858920302
26112 25.5 0.00596989477197582
