# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.5 0.00369770828112556
1024 1 0.00368780783334974
1536 1.5 0.00367788951332114
2048 2 0.00366778209856372
2560 2.5 0.00365763951309628
3072 3 0.00364772963714683
3584 3.5 0.00363828989942282
4096 4 0.00362951900313027
4608 4.5 0.00362155913276421
5120 5 0.00361416143817266
5632 5.5 0.0036071320396896
6144 6 0.00360041794168096
6656 6.5 0.00359396106057353
7168 7 0.0035877040820297
7680 7.5 0.00358159263151474
8192 8 0.00357557877097449
8704 8.5 0.00356965918820137
9216 9 0.00356370004100545
9728 9.5 0.00355754827943035
10240 10 0.00355120740711039
10752 10.5 0.00354470557778766
11264 11 0.00353804712708595
11776 11.5 0.00353121504419436
12288 12 0.00352416387879224
12800 12.5 0.00351684387810617
13312 13 0.00350922348710529
13824 13.5 0.00350128951203525
14336 14 0.00349302848353458
14848 14.5 0.00348441541363881
15360 15 0.00347542432425121
15872 15.5 0.00346604101429486
16384 16 0.00345626142804557
16896 16.5 0.00344608050676674
17408 17 0.00343548711483699
17920 17.5 0.00342447152297878
18432 18 0.00341303315275334
18944 18.5 0.00340117788589181
19456 19 0.00338891054272085
19968 19.5 0.00337622822697924
20480 20 0.00336300432309132
20992 20.5 0.0033491777334688
21504 21 0.00333477768768332
22016 21.5 0.0033198370921439
22528 22 0.00330436782544841
23040 22.5 0.0032883674576423
23552 23 0.00327184168262436
24064 23.5 0.00325481134050411
24576 24 0.00323730653780348
25088 24.5 0.00321936839309655
25600 25 0.00320105269800787
26112 25.5 0.00318242899334806
26624 26 0.0031635704357073
27136 26.5 0.00314453783857527
27648 27 0.0031253701396212
28160 27.5 0.00310608971199686
28672 28 0.00308671617860996
29184 28.5 0.00306727462906038
29696 29 0.00304779262653049
30208 29.5 0.00302829249079439
30720 30 0.00300878701456725
31232 30.5 0.00298928082084113
31744 31 0.00296977554033356
32256 31.5 0.00295027594487702
32768 32 0.00293079275346609
33280 32.5 0.00291133894493611
33792 33 0.00289192274251603
34304 33.5 0.0028725452456401
34816 34 0.00285320627957297
35328 34.5 0.00283391294397813
35840 35 0.00281468226891421
36352 35.5 0.00279553552624248
36864 36 0.00277648977102912
37376 36.5 0.00275755453577188
37888 37 0.00273873717470369
38400 37.5 0.00272005184857169
38912 38 0.00270152256433111
39424 38.5 0.00268317614413214
39936 39 0.00266503214156357
40448 39.5 0.00264710098328547
40960 40 0.00262939275628208
41472 40.5 0.00261192643907898
41984 41 0.00259472814143396
42496 41.5 0.0025778196330343
43008 42 0.00256121055925827
43520 42.5 0.00254490390440689
44032 43 0.00252890795281635
44544 43.5 0.00251323936047594
45056 44 0.00249791300487896
45568 44.5 0.00248293188809619
46080 45 0.00246829081440744
46592 45.5 0.00245398877971268
47104 46 0.00244003327016009
47616 46.5 0.0024264312346018
48128 47 0.00241318012196323
48640 47.5 0.00240027158653087
49152 48 0.00238770207551869
49664 48.5 0.00237547516602976
50176 49 0.00236359296654973
50688 49.5 0.00235204923207292
51200 50 0.00234083364450405
51712 50.5 0.00232994069096496
52224 51 0.0023193704563718
52736 51.5 0.00230912273506662
53248 52 0.00229919227860338
53760 52.5 0.0022895682833404
54272 53 0.00228024361349385
54784 53.5 0.00227121551491856
55296 54 0.00226247700296514
55808 54.5 0.00225401108034302
56320 55 0.00224579922482739
56832 55.5 0.00223782771006128
57344 56 0.00223008678674589
57856 56.5 0.00222254889071241
58368 57 0.0022151810167251
58880 57.5 0.00220797694345752
59392 58 0.00220093425258085
59904 58.5 0.00219404992259177
60416 59 0.00218731862267276
60928 59.5 0.00218073552010142
61440 60 0.00217429832861985
61952 60.5 0.00216800567908166
62464 61 0.00216185530369975
62976 61.5 0.00215584696896632
63488 62 0.00214998322016419
64000 62.5 0.00214426929750098
64512 63 0.00213871055005636
65024 63.5 0.00213330970013785
65536 64 0.00212806854462484
66048 64.5 0.00212299103421769
66560 65 0.00211808214424528
67072 65.5 0.00211334426725428
67584 66 0.00210877739400372
68096 66.5 0.00210438614828925
68608 67 0.00210027802021552
69120 67.5 0.00209650956797628
69632 68 0.00209308777533992
70144 68.5 0.00209001759225407
70656 69 0.00208730092067001
71168 69.5 0.00208493447738293
71680 70 0.00208291082372165
72192 70.5 0.00208122035763204
72704 71 0.00207985378560535
73216 71.5 0.00207880091822591
73728 72 0.00207804598000818
74240 72.5 0.0020775659257296
74752 73 0.00207733546894543
75264 73.5 0.00207733360870113
75776 74 0.00207754448607542
76288 74.5 0.00207795293566099
76800 75 0.00207854097397144
77312 75.5 0.00207928877490336
77824 76 0.0020801782495319
78336 76.5 0.00208119600427847
78848 77 0.00208233388906045
79360 77.5 0.00208358657986069
79872 78 0.00208494773883696
80384 78.5 0.00208640883677329
80896 79 0.00208790655628384
81408 79.5 0.00208924249040661
81920 80 0.00209043153071066
82432 80.5 0.00209152727720813
82944 81 0.00209258334683262
83456 81.5 0.00209365060310879
83968 82 0.00209478459933681
84480 82.5 0.00209604750912607
84992 83 0.00209749753357342
85504 83.5 0.00209917643806455
86016 84 0.0021011093090562
86528 84.5 0.00210331391373951
87040 85 0.00210580514628091
87552 85.5 0.00210858830633307
88064 86 0.00211164996930367
88576 86.5 0.0021149608969257
89088 87 0.00211848759997029
89600 87.5 0.00212219961646982
90112 88 0.00212606843059458
90624 88.5 0.00213006369056276
91136 89 0.00213415487299495
91648 89.5 0.00213831852584594
92160 90 0.00214254389888971
92672 90.5 0.00214683578958448
93184 91 0.00215124457172281
93696 91.5 0.00215578710278418
94208 92 0.00216046826437757
94720 92.5 0.0021652963906659
95232 93 0.00217028150680868
95744 93.5 0.00217543200467947
96256 94 0.00218075409108117
96768 94.5 0.00218625388589204
97280 95 0.00219192829329335
97792 95.5 0.00219777839024944
98304 96 0.00220381547500899
98816 96.5 0.002210049905611
99328 97 0.00221649293791742
99840 97.5 0.00222315676499621
100352 98 0.00223005327176884
100864 98.5 0.00223719421922426
101376 99 0.00224459241669255
101888 99.5 0.00225226040976993
102400 100 0.00226020675116669
102912 100.5 0.00226843603288952
103424 101 0.00227695216087076
103936 101.5 0.00228575976442999
104448 102 0.00229486104439874
104960 102.5 0.00230425220489318
105472 103 0.00231392428146148
105984 103.5 0.00232386716690841
106496 104 0.00233407200257929
107008 104.5 0.00234453037149816
107520 105 0.0023552325996654
108032 105.5 0.0023661672584012
108544 106 0.00237732208875513
109056 106.5 0.00238868579282907
109568 107 0.00240024953787747
110080 107.5 0.0024120069829623
110592 108 0.0024239527143584
111104 108.5 0.00243608089014504
111616 109 0.00244838605135846
112128 109.5 0.00246086500491936
112640 110 0.00247351694626683
113152 110.5 0.0024863417879665
113664 111 0.00249933848095552
114176 111.5 0.00251250466471058
114688 112 0.00252583715717233
115200 112.5 0.00253933198426876
115712 113 0.00255298431967622
116224 113.5 0.00256678920347848
116736 114 0.00258074242638483
117248 114.5 0.00259484059937842
117760 115 0.00260908049435737
118272 115.5 0.00262345903432129
118784 116 0.00263797466625274
119296 116.5 0.0026526284115251
