# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
120320 117.5 0.693854467265103
120832 118 0.693223237414822
121344 118.5 0.692590588898834
121856 119 0.691956983847588
122368 119.5 0.691323645424472
122880 120 0.690691476424315
123392 120.5 0.690060445633478
123904 121 0.689430065500767
124416 121.5 0.688800417849723
124928 122 0.688172605470583
125440 122.5 0.687547854489281
125952 123 0.686926058097976
126464 123.5 0.686305856312616
126976 124 0.685686786744294
127488 124.5 0.685070779448664
128000 125 0.684460400509215
128512 125.5 0.683855786771589
129024 126 0.683254695517863
129536 126.5 0.6826559812397
130048 127 0.682061669935171
130560 127.5 0.68147458246618
131072 128 0.680894898588112
131584 128.5 0.680320573491203
132096 129 0.679750824056911
132608 129.5 0.679187537024118
133120 130 0.678632775317804
133632 130.5 0.678086317040235
134144 131 0.677546793581468
134656 131.5 0.677014461398762
135168 132 0.676491401937098
135680 132.5 0.675978992237635
136192 133 0.675476438917959
136704 133.5 0.674982390486717
137216 134 0.674497243008678
137728 134.5 0.674023072577193
138240 135 0.673561520548959
138752 135.5 0.673112409913412
139264 136 0.672674594683117
139776 136.5 0.672247791245797
140288 137 0.671833241483436
140800 137.5 0.671432713164623
141312 138 0.67104704714453
141824 138.5 0.670675830488708
142336 139 0.670318397879301
142848 139.5 0.669974919692124
143360 140 0.669646434983778
143872 140.5 0.669334043790311
144384 141 0.669038349173808
144896 141.5 0.668759580585601
145408 142 0.668497826541197
145920 142.5 0.668252983072362
146432 143 0.668024886139627
146944 143.5 0.667813958165748
147456 144 0.667621540943949
147968 144.5 0.667448936768492
148480 145 0.667295946689351
148992 145.5 0.667161215880569
149504 146 0.667044775293452
150016 146.5 0.666949081188598
150528 147 0.666876668382919
151040 147.5 0.66682703123269
151552 148 0.666796879362836
152064 148.5 0.666783738298119
152576 149 0.666788352332689
153088 149.5 0.666812954225874
153600 150 0.666857959505335
154112 150.5 0.666921361359032
154624 151 0.667001097110061
155136 151.5 0.667096912735758
155648 152 0.667209586576749
156160 152.5 0.667339147772159
156672 153 0.667484574821613
157184 153.5 0.667644777429859
157696 154 0.667819106221042
158208 154.5 0.668007292482498
158720 155 0.668209254457489
159232 155.5 0.668425003153464
159744 156 0.6686545848405
160256 156.5 0.668897915869198
160768 157 0.669154548423308
161280 157.5 0.669423713424678
161792 158 0.669704833498683
162304 158.5 0.669997927417173
162816 159 0.670303240518408
163328 159.5 0.670620541852961
163840 160 0.670949098817333
164352 160.5 0.67128830728478
164864 161 0.671638014189522
165376 161.5 0.671998266179273
165888 162 0.672369185869388
166400 162.5 0.672751121215249
166912 163 0.673144367086209
167424 163.5 0.673548514411836
167936 164 0.67396253774838
168448 164.5 0.674385829016407
168960 165 0.674818755425507
169472 165.5 0.675261860562844
169984 166 0.675714886699533
170496 166.5 0.6761770151427
171008 167 0.676647766528819
171520 167.5 0.677127172336834
172032 168 0.67761531331703
172544 168.5 0.678112066759162
173056 169 0.678617150622138
173568 169.5 0.679130104339562
174080 170 0.679650062777953
174592 170.5 0.680175903893379
175104 171 0.680706996213414
175616 171.5 0.681243591177145
176128 172 0.681786064985805
176640 172.5 0.682333842980811
177152 173 0.682885467455561
177664 173.5 0.683439888042528
178176 174 0.683997407023909
178688 174.5 0.684558985515147
179200 175 0.685124678811518
179712 175.5 0.685693242047581
180224 176 0.686263476451933
180736 176.5 0.686835430823882
181248 177 0.687409750546861
181760 177.5 0.687986228821766
182272 178 0.688563735592785
182784 178.5 0.689141411835141
183296 179 0.689719131882122
183808 179.5 0.690296776121913
184320 180 0.690873901979049
184832 180.5 0.691450367940253
185344 181 0.692026460779181
185856 181.5 0.692601932237533
186368 182 0.693175585254025
186880 182.5 0.693746472163523
187392 183 0.694315054973128
187904 183.5 0.694882434960035
188416 184 0.695448638243133
188928 184.5 0.696012401882887
189440 185 0.696572662539608
189952 185.5 0.697129588520185
190464 186 0.69768396549519
190976 186.5 0.698236087520647
191488 187 0.698785485819907
192000 187.5 0.699331363429861
192512 188 0.699873107746534
193024 188.5 0.700410687996372
193536 189 0.700944644526917
194048 189.5 0.701475374559789
194560 190 0.702002447946653
195072 190.5 0.702525043150653
195584 191 0.703042978324003
196096 191.5 0.70355671102862
196608 192 0.704066305641356
197120 192.5 0.704571101639275
197632 193 0.705070546493973
198144 193.5 0.705564619854599
198656 194 0.706053154917314
199168 194.5 0.706535493813193
199680 195 0.707011333155239
200192 195.5 0.707481366051337
200704 196 0.707946483209706
201216 196.5 0.708406602600623
201728 197 0.708860742210745
202240 197.5 0.709308037560246
