# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.0556604913908e-06 1.0556604913908e-06 1.05566049139081e-06
1024 1 1.86749707344699e-06 1.86749707344699e-06 1.86749707344699e-06
1536 1.5 2.7112215622234e-06 2.71122156222342e-06 2.7112215622234e-06
2048 2 3.04666232103167e-06 3.04666232103176e-06 3.04666232103172e-06
2560 2.5 3.18100756714115e-06 3.18100756714113e-06 3.18100756714102e-06
3072 3 3.49299285792116e-06 3.49299285792115e-06 3.49299285792109e-06
3584 3.5 3.60501360557314e-06 3.60501360557345e-06 3.60501360557352e-06
4096 4 3.64071571496452e-06 3.6407157149644e-06 3.64071571496466e-06
4608 4.5 3.75804729355512e-06 3.75804729355512e-06 3.75804729355544e-06
5120 5 3.83744246657818e-06 3.83744246657933e-06 3.83744246657923e-06
5632 5.5 3.88996001321827e-06 3.88996001321883e-06 3.88996001321855e-06
6144 6 3.93462484572172e-06 3.93462484572211e-06 3.93462484572151e-06
6656 6.5 3.94228518497951e-06 3.94228518498065e-06 3.94228518498086e-06
7168 7 3.88928109795341e-06 3.88928109795376e-06 3.8892810979545e-06
7680 7.5 3.83049349034361e-06 3.83049349034358e-06 3.8304934903428e-06
8192 8 3.80373050326655e-06 3.80373050326692e-06 3.8037305032648e-06
8704 8.5 3.80489879748239e-06 3.80489879748072e-06 3.80489879747887e-06
9216 9 3.80351099132375e-06 3.80351099132096e-06 3.80351099132178e-06
9728 9.5 3.78787063179259e-06 3.78787063178994e-06 3.78787063179033e-06
10240 10 3.7502252937238e-06 3.75022529372666e-06 3.7502252937256e-06
10752 10.5 3.67902211316088e-06 3.67902211316644e-06 3.67902211316367e-06
11264 11 3.59691847812369e-06 3.59691847813442e-06 3.59691847813215e-06
11776 11.5 3.54755422930955e-06 3.54755422932162e-06 3.54755422931736e-06
12288 12 3.47496615901476e-06 3.47496615902138e-06 3.47496615901357e-06
12800 12.5 3.34063240126876e-06 3.34063240127465e-06 3.34063240126715e-06
13312 13 3.26115825659363e-06 3.26115825660421e-06 3.26115825660266e-06
13824 13.5 3.22416076564511e-06 3.22416076565414e-06 3.22416076565405e-06
14336 14 3.13153398621612e-06 3.13153398622243e-06 3.13153398621935e-06
14848 14.5 3.0321234929249e-06 3.03212349293825e-06 3.03212349293566e-06
15360 15 3.01256115772401e-06 3.01256115774017e-06 3.01256115773836e-06
15872 15.5 3.05820777632974e-06 3.05820777635242e-06 3.05820777634373e-06
16384 16 3.12892301187873e-06 3.12892301189816e-06 3.12892301188266e-06
16896 16.5 3.2082467579111e-06 3.20824675792648e-06 3.20824675791976e-06
17408 17 3.29797375931127e-06 3.29797375932707e-06 3.29797375932406e-06
17920 17.5 3.4191751611414e-06 3.41917516115516e-06 3.41917516114548e-06
18432 18 3.51935663263297e-06 3.51935663264607e-06 3.51935663263894e-06
18944 18.5 3.56911040425505e-06 3.56911040426471e-06 3.56911040426212e-06
19456 19 3.66807917811966e-06 3.6680791781248e-06 3.66807917812045e-06
19968 19.5 3.80046501311138e-06 3.80046501311285e-06 3.80046501310405e-06
20480 20 3.87863858239013e-06 3.87863858239413e-06 3.87863858238948e-06
20992 20.5 3.93589092182623e-06 3.93589092184189e-06 3.93589092183792e-06
21504 21 3.98982272236231e-06 3.98982272238539e-06 3.98982272237627e-06
22016 21.5 4.03380026804812e-06 4.03380026806412e-06 4.03380026806137e-06
22528 22 4.06431893284038e-06 4.06431893285598e-06 4.06431893285347e-06
23040 22.5 4.06030629649672e-06 4.06030629651569e-06 4.06030629650981e-06
23552 23 4.02603588899724e-06 4.02603588901156e-06 4.02603588900204e-06
24064 23.5 3.9488128745713e-06 3.94881287458459e-06 3.94881287457579e-06
24576 24 3.82626457583843e-06 3.82626457585319e-06 3.8262645758411e-06
25088 24.5 3.72760636945788e-06 3.72760636947286e-06 3.72760636946138e-06
25600 25 3.7116436068982e-06 3.71164360691087e-06 3.71164360690174e-06
26112 25.5 3.69770385959528e-06 3.69770385960327e-06 3.69770385959478e-06
26624 26 3.65102698766697e-06 3.65102698768162e-06 3.65102698767383e-06
27136 26.5 3.66015982061472e-06 3.66015982062793e-06 3.66015982062555e-06
27648 27 3.69899123417999e-06 3.69899123418935e-06 3.69899123418836e-06
28160 27.5 3.72957112430495e-06 3.72957112431676e-06 3.72957112431547e-06
28672 28 3.78994688682071e-06 3.78994688682969e-06 3.78994688682314e-06
29184 28.5 3.87705165333131e-06 3.87705165332989e-06 3.87705165331868e-06
29696 29 3.94344530972438e-06 3.94344530973317e-06 3.94344530972121e-06
30208 29.5 3.9830209096456e-06 3.9830209096709e-06 3.98302090966012e-06
30720 30 4.03450581133533e-06 4.03450581136762e-06 4.03450581135268e-06
31232 30.5 4.12854209056463e-06 4.12854209058618e-06 4.12854209057986e-06
31744 31 4.23074466413312e-06 4.23074466414287e-06 4.23074466414565e-06
32256 31.5 4.30351453409975e-06 4.30351453409968e-06 4.3035145341045e-06
32768 32 4.3607881814998e-06 4.36078818150076e-06 4.36078818149954e-06
33280 32.5 4.39544108946116e-06 4.39544108947094e-06 4.39544108946206e-06
33792 33 4.39730827594431e-06 4.39730827595333e-06 4.39730827595245e-06
34304 33.5 4.37246005671775e-06 4.37246005672989e-06 4.37246005671837e-06
34816 34 4.30871407857584e-06 4.30871407858236e-06 4.30871407856752e-06
35328 34.5 4.2189995975361e-06 4.2189995975357e-06 4.21899959753397e-06
35840 35 4.13876081676305e-06 4.13876081676496e-06 4.13876081676916e-06
36352 35.5 4.09062837990094e-06 4.09062837989859e-06 4.09062837989649e-06
36864 36 4.0663518587826e-06 4.06635185878569e-06 4.06635185878e-06
37376 36.5 4.03230742400696e-06 4.03230742401821e-06 4.03230742401383e-06
37888 37 3.99234986911356e-06 3.99234986912355e-06 3.99234986911597e-06
38400 37.5 3.95556472633538e-06 3.95556472634605e-06 3.9555647263376e-06
38912 38 3.91057179968971e-06 3.91057179969794e-06 3.91057179970112e-06
39424 38.5 3.8762189827955e-06 3.87621898279586e-06 3.87621898280784e-06
39936 39 3.86042853551486e-06 3.86042853551376e-06 3.86042853552182e-06
40448 39.5 3.8546897811097e-06 3.85468978111415e-06 3.85468978110774e-06
40960 40 3.87324709207162e-06 3.87324709207626e-06 3.87324709206995e-06
41472 40.5 3.91139728843617e-06 3.91139728844045e-06 3.91139728843879e-06
41984 41 3.93853531010914e-06 3.93853531011125e-06 3.9385353101035e-06
42496 41.5 3.93789031700555e-06 3.93789031700988e-06 3.93789031699911e-06
43008 42 3.91884084402765e-06 3.91884084403479e-06 3.91884084403393e-06
43520 42.5 3.90081875571202e-06 3.90081875571214e-06 3.90081875572755e-06
44032 43 3.89663907552531e-06 3.89663907552621e-06 3.89663907554281e-06
44544 43.5 3.91286153908232e-06 3.9128615390899e-06 3.91286153909365e-06
45056 44 3.92766115485911e-06 3.9276611548627e-06 3.92766115485828e-06
45568 44.5 3.93646473786044e-06 3.93646473785874e-06 3.93646473784746e-06
46080 45 3.93991300305057e-06 3.93991300305279e-06 3.93991300304336e-06
46592 45.5 3.92487354800358e-06 3.92487354800913e-06 3.92487354800578e-06
47104 46 3.90706802536229e-06 3.9070680253651e-06 3.90706802537072e-06
47616 46.5 3.91881699125832e-06 3.91881699125808e-06 3.91881699126168e-06
48128 47 3.93721002014273e-06 3.93721002014489e-06 3.9372100201508e-06
48640 47.5 3.91681168784329e-06 3.91681168785444e-06 3.91681168786188e-06
49152 48 3.88426401218183e-06 3.88426401218628e-06 3.88426401219598e-06
49664 48.5 3.86517953702788e-06 3.86517953702715e-06 3.86517953704184e-06
50176 49 3.85330799639388e-06 3.85330799639521e-06 3.85330799640616e-06
50688 49.5 3.85644845961602e-06 3.85644845961839e-06 3.85644845961859e-06
51200 50 3.87529845494288e-06 3.87529845494789e-06 3.87529845494109e-06
51712 50.5 3.91835908430736e-06 3.91835908430278e-06 3.91835908430185e-06
52224 51 3.96658199020681e-06 3.96658199019927e-06 3.96658199020475e-06
52736 51.5 3.97608572510339e-06 3.97608572510831e-06 3.97608572511076e-06
53248 52 3.95409728348146e-06 3.95409728349479e-06 3.95409728348701e-06
53760 52.5 3.94546464058839e-06 3.94546464060292e-06 3.94546464059314e-06
54272 53 3.93793900779743e-06 3.93793900781776e-06 3.93793900781705e-06
54784 53.5 3.91059375236942e-06 3.9105937523859e-06 3.91059375239454e-06
55296 54 3.8817484852677e-06 3.88174848527335e-06 3.88174848528468e-06
55808 54.5 3.84943357736472e-06 3.84943357736124e-06 3.8494335773731e-06
56320 55 3.79458148251487e-06 3.79458148250661e-06 3.79458148251653e-06
56832 55.5 3.73208038972158e-06 3.73208038972189e-06 3.73208038972012e-06
57344 56 3.69912006174634e-06 3.6991200617614e-06 3.69912006175696e-06
57856 56.5 3.70859555206676e-06 3.70859555208689e-06 3.70859555209193e-06
58368 57 3.71429976443404e-06 3.7142997644489e-06 3.71429976445102e-06
58880 57.5 3.68639650326924e-06 3.68639650327108e-06 3.68639650326873e-06
59392 58 3.65239635882135e-06 3.65239635882093e-06 3.65239635882305e-06
59904 58.5 3.6361181882992e-06 3.63611818830229e-06 3.63611818830524e-06
60416 59 3.61262817691255e-06 3.61262817692433e-06 3.61262817691692e-06
60928 59.5 3.56392223211732e-06 3.56392223213459e-06 3.56392223213152e-06
61440 60 3.50359195845404e-06 3.50359195846768e-06 3.50359195847216e-06
61952 60.5 3.45546818796383e-06 3.45546818797619e-06 3.45546818797159e-06
62464 61 3.41228300739704e-06 3.41228300741342e-06 3.41228300740641e-06
62976 61.5 3.37078019027893e-06 3.37078019029596e-06 3.37078019029936e-06
63488 62 3.34555080241674e-06 3.34555080242246e-06 3.34555080243122e-06
64000 62.5 3.3185067759159e-06 3.31850677590279e-06 3.31850677591651e-06
64512 63 3.25279451871374e-06 3.25279451869853e-06 3.25279451871503e-06
65024 63.5 3.15895004581869e-06 3.15895004582234e-06 3.15895004582683e-06
65536 64 3.08254306286406e-06 3.08254306287278e-06 3.08254306287031e-06
66048 64.5 3.04568865157683e-06 3.04568865158469e-06 3.04568865158201e-06
66560 65 3.02625433443133e-06 3.02625433443241e-06 3.02625433443111e-06
67072 65.5 2.99667919651144e-06 2.99667919650353e-06 2.99667919650933e-06
67584 66 2.94693835455713e-06 2.94693835455122e-06 2.94693835456615e-06
68096 66.5 2.87983803903694e-06 2.87983803904215e-06 2.87983803905313e-06
68608 67 2.82215776545264e-06 2.82215776546809e-06 2.82215776546408e-06
69120 67.5 2.79462475802859e-06 2.79462475804432e-06 2.79462475803678e-06
69632 68 2.78967651337612e-06 2.7896765133895e-06 2.78967651338853e-06
70144 68.5 2.78578740316902e-06 2.78578740317246e-06 2.78578740316984e-06
70656 69 2.77640449031809e-06 2.77640449031251e-06 2.77640449031195e-06
71168 69.5 2.77405833164162e-06 2.77405833163801e-06 2.7740583316479e-06
71680 70 2.78357583184319e-06 2.78357583183519e-06 2.78357583185094e-06
72192 70.5 2.80111666694702e-06 2.80111666693985e-06 2.80111666694798e-06
72704 71 2.83781193860288e-06 2.83781193861417e-06 2.83781193861728e-06
73216 71.5 2.89417745566478e-06 2.89417745567624e-06 2.89417745568681e-06
73728 72 2.94718415515726e-06 2.9471841551564e-06 2.94718415516796e-06
74240 72.5 2.98487631554023e-06 2.98487631553873e-06 2.98487631553735e-06
74752 73 3.01300182759592e-06 3.01300182760555e-06 3.01300182759409e-06
75264 73.5 3.05663559732978e-06 3.05663559734125e-06 3.0566355973439e-06
75776 74 3.11064554788112e-06 3.11064554787998e-06 3.11064554789943e-06
76288 74.5 3.15532914199691e-06 3.15532914199197e-06 3.15532914200484e-06
76800 75 3.20126943551919e-06 3.20126943551745e-06 3.20126943551887e-06
77312 75.5 3.2490387092754e-06 3.24903870927021e-06 3.24903870927994e-06
77824 76 3.28581678242449e-06 3.28581678241303e-06 3.28581678242685e-06
78336 76.5 3.31676511965018e-06 3.31676511964419e-06 3.3167651196443e-06
78848 77 3.36017258957862e-06 3.36017258958046e-06 3.36017258958263e-06
79360 77.5 3.42085651389641e-06 3.42085651389095e-06 3.42085651391613e-06
79872 78 3.48352832481562e-06 3.48352832480691e-06 3.48352832483241e-06
80384 78.5 3.53964470613443e-06 3.5396447061369e-06 3.53964470614029e-06
80896 79 3.59377892678126e-06 3.59377892679269e-06 3.59377892678214e-06
81408 79.5 3.64726775675983e-06 3.64726775677335e-06 3.64726775676437e-06
81920 80 3.70305178802439e-06 3.70305178803875e-06 3.70305178803153e-06
82432 80.5 3.76526277685464e-06 3.76526277685085e-06 3.76526277684855e-06
82944 81 3.8363439732998e-06 3.83634397328468e-06 3.83634397328769e-06
83456 81.5 3.90882820425437e-06 3.90882820425065e-06 3.90882820425663e-06
83968 82 3.96658660055825e-06 3.9665866005633e-06 3.96658660057298e-06
84480 82.5 4.01534331429937e-06 4.01534331429431e-06 4.01534331430848e-06
84992 83 4.0709020949117e-06 4.07090209490183e-06 4.07090209491168e-06
85504 83.5 4.13404607580077e-06 4.13404607579641e-06 4.13404607579956e-06
86016 84 4.19723549664956e-06 4.19723549664793e-06 4.1972354966475e-06
86528 84.5 4.24782555493834e-06 4.24782555493856e-06 4.24782555493591e-06
87040 85 4.28110662953885e-06 4.28110662953974e-06 4.28110662953512e-06
87552 85.5 4.29619208360821e-06 4.29619208360585e-06 4.29619208360833e-06
88064 86 4.29907141991995e-06 4.29907141991271e-06 4.29907141992675e-06
88576 86.5 4.30094730128719e-06 4.30094730128757e-06 4.30094730129567e-06
89088 87 4.30333942958513e-06 4.30333942959794e-06 4.30333942958847e-06
89600 87.5 4.30289813189222e-06 4.30289813190169e-06 4.3028981318917e-06
90112 88 4.29392302015639e-06 4.2939230201555e-06 4.29392302015216e-06
90624 88.5 4.27929074061349e-06 4.27929074060587e-06 4.27929074059931e-06
91136 89 4.26237527210353e-06 4.26237527209614e-06 4.26237527209214e-06
91648 89.5 4.24463337776394e-06 4.24463337776155e-06 4.2446333777639e-06
92160 90 4.2318325532397e-06 4.23183255323996e-06 4.23183255324738e-06
92672 90.5 4.21790489340893e-06 4.21790489340474e-06 4.21790489341607e-06
93184 91 4.19656104099914e-06 4.19656104099064e-06 4.19656104100058e-06
93696 91.5 4.17725407080821e-06 4.17725407080999e-06 4.17725407081035e-06
94208 92 4.1588595019594e-06 4.15885950196445e-06 4.15885950196339e-06
94720 92.5 4.13481109662491e-06 4.13481109661797e-06 4.13481109662939e-06
95232 93 4.10608544657093e-06 4.10608544656022e-06 4.10608544657683e-06
95744 93.5 4.07383295408441e-06 4.07383295407834e-06 4.07383295407853e-06
96256 94 4.04316401427959e-06 4.04316401428119e-06 4.04316401426255e-06
96768 94.5 4.01812442669961e-06 4.01812442670968e-06 4.01812442668772e-06
97280 95 3.99237897607258e-06 3.99237897608866e-06 3.99237897607603e-06
97792 95.5 3.96611422433722e-06 3.96611422434218e-06 3.96611422434432e-06
98304 96 3.94671697359614e-06 3.94671697358316e-06 3.94671697359358e-06
98816 96.5 3.93100745597402e-06 3.93100745595644e-06 3.93100745596875e-06
99328 97 3.91078441019433e-06 3.91078441018591e-06 3.9107844101961e-06
99840 97.5 3.87950773230585e-06 3.8795077323103e-06 3.87950773231811e-06
100352 98 3.83943482800106e-06 3.83943482801171e-06 3.83943482801577e-06
100864 98.5 3.79640535870403e-06 3.79640535870848e-06 3.79640535870928e-06
101376 99 3.75594075426188e-06 3.75594075425793e-06 3.75594075425626e-06
101888 99.5 3.71601829029563e-06 3.71601829028648e-06 3.71601829028669e-06
102400 100 3.67485289542838e-06 3.67485289542621e-06 3.67485289542651e-06
102912 100.5 3.63271541115906e-06 3.63271541116762e-06 3.6327154111647e-06
103424 101 3.58736364562435e-06 3.58736364563735e-06 3.5873636456325e-06
103936 101.5 3.54268532303068e-06 3.5426853230457e-06 3.5426853230395e-06
104448 102 3.49615042507306e-06 3.496150425078e-06 3.49615042508198e-06
104960 102.5 3.44247596203538e-06 3.44247596202182e-06 3.44247596204127e-06
105472 103 3.38542178048122e-06 3.38542178046356e-06 3.38542178048224e-06
105984 103.5 3.32653999766565e-06 3.32653999765499e-06 3.3265399976596e-06
106496 104 3.26755785881553e-06 3.26755785881044e-06 3.26755785879993e-06
107008 104.5 3.21157722136562e-06 3.21157722136467e-06 3.21157722135321e-06
107520 105 3.15588827338305e-06 3.15588827338715e-06 3.1558882733824e-06
108032 105.5 3.10304252612789e-06 3.10304252614204e-06 3.10304252613535e-06
108544 106 3.05298298958443e-06 3.05298298959575e-06 3.05298298959734e-06
