# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
34304 33.5 1.73437412165851e-18 1.50086135981703e-18 1.71589309909954e-18
34816 34 2.03922599885451e-18 1.75669980034138e-18 1.22428367881783e-18
35328 34.5 1.74860660091265e-18 1.21274549396664e-18 1.33678430518517e-18
35840 35 1.57947941159655e-18 1.47669793495248e-18 1.73707965056726e-18
36352 35.5 1.59413402088498e-18 1.62652894755612e-18 1.79663531867688e-18
36864 36 1.58415589963359e-18 1.92450280454717e-18 2.01206072186424e-18
37376 36.5 2.01879310700417e-18 1.79722691694506e-18 1.78974725843888e-18
37888 37 3.11915583589979e-18 1.74757504800377e-18 2.2784955819734e-18
38400 37.5 3.20629834804525e-18 2.25630651722261e-18 2.20991127867074e-18
38912 38 2.88962032048688e-18 1.82335773028248e-18 1.88106723587716e-18
39424 38.5 1.95066255381494e-18 2.49483181494104e-18 1.99707053731996e-18
39936 39 2.02460496733158e-18 2.58974111235095e-18 1.93985742323684e-18
40448 39.5 2.33192088707216e-18 2.89569463140391e-18 2.42697970319949e-18
40960 40 2.43184800371307e-18 2.4965396588451e-18 2.51704052315733e-18
41472 40.5 2.31345749083924e-18 2.35010067842753e-18 2.47233527642871e-18
41984 41 2.61394759426341e-18 2.24286378431153e-18 2.06691833361355e-18
42496 41.5 2.69504512693673e-18 1.60331749638916e-18 1.81499983516599e-18
43008 42 2.52009052314513e-18 1.26204094297117e-18 1.71126110809579e-18
43520 42.5 2.58965540974346e-18 1.34397444359622e-18 1.922312706925e-18
44032 43 2.35147125594497e-18 1.6520461001694e-18 1.72458374843539e-18
44544 43.5 2.14506973942233e-18 1.98639609651478e-18 1.5542137333095e-18
45056 44 2.78749117709464e-18 1.46524526089719e-18 2.05736501329346e-18
45568 44.5 2.65189662479972e-18 1.45680206253334e-18 3.09986669599497e-18
46080 45 3.32534385636019e-18 1.5094215793611e-18 2.85002118211041e-18
46592 45.5 2.70455461166817e-18 1.51282476459462e-18 2.92535988980027e-18
47104 46 3.02717428320664e-18 1.46985074187604e-18 2.26543689982789e-18
47616 46.5 2.75519403664702e-18 2.84309020838338e-18 2.30160285376731e-18
48128 47 2.98407537446562e-18 2.91373430433805e-18 1.58006052413293e-18
48640 47.5 2.28668818494057e-18 2.43270864947358e-18 2.21817416631773e-18
49152 48 2.62759307665542e-18 1.71498949842981e-18 2.24653302483276e-18
49664 48.5 2.97621480734467e-18 2.15201943399416e-18 1.72655210518646e-18
50176 49 3.27877337721489e-18 1.94987639522525e-18 1.83767257508638e-18
50688 49.5 3.89494860799999e-18 2.05389600356294e-18 1.27235334058132e-18
51200 50 2.25210981099363e-18 2.459083166718e-18 1.57508876503132e-18
51712 50.5 2.53537700863433e-18 2.65665159895484e-18 1.18451865184088e-18
52224 51 2.9857772966376e-18 2.42114995859969e-18 2.30349795770776e-18
52736 51.5 4.75010999661303e-18 2.26667156039933e-18 1.70366506118452e-18
53248 52 2.09983249886663e-06 2.09983249869184e-06 2.09983249915551e-06
53760 52.5 5.98743039336173e-05 5.98743039332696e-05 5.98743039333978e-05
54272 53 1.30257685792082e-05 1.3025768578944e-05 1.30257685790301e-05
54784 53.5 0.00010872197688876 0.000108721976889278 0.000108721976889467
55296 54 0.000101701866703626 0.000101701866704231 0.000101701866704633
55808 54.5 0.000113806971536249 0.000113806971536316 0.000113806971536929
56320 55 3.96835815970797e-05 3.96835815974095e-05 3.96835815971598e-05
56832 55.5 5.09824303294934e-05 5.09824303292997e-05 5.09824303289016e-05
57344 56 3.61738575502777e-05 3.61738575501524e-05 3.61738575495742e-05
57856 56.5 5.30609544143686e-05 5.30609544144074e-05 5.30609544136524e-05
58368 57 9.78230075236014e-05 9.78230075234327e-05 9.78230075229217e-05
58880 57.5 0.000166902700441204 0.000166902700441406 0.000166902700440703
59392 58 0.000257728587754481 0.000257728587754598 0.000257728587753902
59904 58.5 0.000367975167834518 0.000367975167834254 0.000367975167833465
60416 59 0.000494600625400028 0.000494600625399765 0.000494600625398896
60928 59.5 0.000634491720870851 0.000634491720870816 0.000634491720870051
61440 60 0.000783775804908939 0.000783775804909233 0.000783775804908319
61952 60.5 0.00116847603160267 0.00116847603160335 0.00116847603160435
62464 61 0.00181885497811759 0.00181885497811875 0.00181885497811974
62976 61.5 0.00243421063966723 0.00243421063966916 0.0024342106396696
63488 62 0.00301208840498859 0.00301208840499026 0.00301208840499029
64000 62.5 0.00355037855924902 0.00355037855925038 0.00355037855925069
64512 63 0.00404778326733738 0.00404778326733874 0.00404778326733925
65024 63.5 0.00450385836160609 0.00450385836160777 0.00450385836160791
65536 64 0.00491859383715196 0.0049185938371534 0.00491859383715326
66048 64.5 0.00529194571330421 0.00529194571330525 0.0052919457133054
66560 65 0.00562386468881867 0.00562386468882001 0.00562386468882012
67072 65.5 0.00591489721204633 0.00591489721204819 0.0059148972120477
67584 66 0.00616681461316957 0.00616681461317131 0.00616681461317073
68096 66.5 0.00638211416571385 0.00638211416571534 0.00638211416571522
68608 67 0.00656314197185526 0.00656314197185638 0.00656314197185657
69120 67.5 0.00671189763247266 0.00671189763247363 0.00671189763247372
69632 68 0.00683069572260903 0.0068306957226101 0.00683069572260995
70144 68.5 0.00692219906977213 0.00692219906977313 0.00692219906977281
70656 69 0.00698942831030061 0.00698942831030181 0.0069894283103013
71168 69.5 0.00703512514154082 0.00703512514154203 0.00703512514154168
71680 70 0.00705788146665246 0.0070578814666537 0.00705788146665361
72192 70.5 0.0070557861264134 0.00705578612641452 0.00705578612641432
72704 71 0.00703244518155406 0.00703244518155499 0.00703244518155442
73216 71.5 0.00699209548303758 0.00699209548303851 0.00699209548303806
73728 72 0.00694125941208293 0.00694125941208387 0.00694125941208375
74240 72.5 0.00688459256768836 0.00688459256768907 0.00688459256768898
74752 73 0.00762281307081542 0.0076228130708161 0.00762281307081518
75264 73.5 0.00837791506047006 0.00837791506047053 0.00837791506047007
75776 74 0.00912344685001664 0.00912344685001682 0.0091234468500165
76288 74.5 0.0098583426347427 0.0098583426347429 0.00985834263474237
76800 75 0.010584523327961 0.0105845233279614 0.0105845233279606
77312 75.5 0.0113071328048314 0.0113071328048322 0.0113071328048313
77824 76 0.0120245943917522 0.0120245943917532 0.0120245943917523
78336 76.5 0.012735919784855 0.0127359197848558 0.012735919784855
78848 77 0.0134410552379879 0.0134410552379886 0.0134410552379881
79360 77.5 0.0141400044059692 0.0141400044059698 0.0141400044059695
79872 78 0.0148326337168057 0.0148326337168061 0.0148326337168055
80384 78.5 0.0155192404492519 0.0155192404492525 0.0155192404492512
80896 79 0.016200600499859 0.0162006004998597 0.0162006004998582
81408 79.5 0.016877332267523 0.0168773322675237 0.0168773322675225
81920 80 0.0175486160397844 0.0175486160397849 0.0175486160397839
82432 80.5 0.018214353682769 0.0182143536827692 0.0182143536827682
82944 81 0.0188744872703066 0.0188744872703065 0.0188744872703056
83456 81.5 0.0195283503646271 0.0195283503646269 0.0195283503646264
83968 82 0.0201748488831096 0.0201748488831094 0.0201748488831089
84480 82.5 0.0208128811560562 0.0208128811560562 0.0208128811560553
84992 83 0.0214414247389268 0.0214414247389274 0.0214414247389261
85504 83.5 0.0220593917030268 0.0220593917030276 0.0220593917030264
86016 84 0.0226655339206979 0.0226655339206986 0.0226655339206976
86528 84.5 0.0232584330478644 0.023258433047865 0.0232584330478639
87040 85 0.023836436556716 0.0238364365567164 0.0238364365567155
87552 85.5 0.0243976184499486 0.0243976184499491 0.0243976184499487
