# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
35328 34.5 -1.11321915522497e-05 -1.11321915522069e-05 -1.11321915522139e-05
35840 35 -1.0647909171247e-05 -1.06479091712529e-05 -1.06479091712626e-05
36352 35.5 -1.03073350906134e-05 -1.03073350905583e-05 -1.03073350905766e-05
36864 36 -9.93382299841833e-06 -9.93382299839097e-06 -9.93382299840916e-06
37376 36.5 -9.55342056183558e-06 -9.55342056180306e-06 -9.55342056182362e-06
37888 37 -8.94425223897706e-06 -8.94425223893865e-06 -8.94425223894938e-06
38400 37.5 -8.26517793032906e-06 -8.26517793027126e-06 -8.26517793030112e-06
38912 38 -7.55404294570363e-06 -7.55404294564782e-06 -7.55404294569357e-06
39424 38.5 -6.73299481065364e-06 -6.73299481063336e-06 -6.73299481068242e-06
39936 39 -5.81883397804494e-06 -5.81883397802219e-06 -5.81883397811013e-06
40448 39.5 -4.9331652147244e-06 -4.9331652146649e-06 -4.93316521479328e-06
40960 40 -4.13324243022438e-06 -4.13324243015811e-06 -4.13324243028642e-06
41472 40.5 -3.40356968609113e-06 -3.40356968603624e-06 -3.40356968613717e-06
41984 41 -3.90734436460287e-06 -3.90734436495544e-06 -3.90734436465166e-06
42496 41.5 -3.68083432540961e-06 -3.68083432554192e-06 -3.68083432544885e-06
43008 42 -4.007911304361e-06 -4.00791130436587e-06 -4.00791130441205e-06
43520 42.5 -2.86247459797498e-06 -2.86247459795199e-06 -2.86247459806601e-06
44032 43 -2.05575850440873e-06 -2.05575850441356e-06 -2.05575850432937e-06
44544 43.5 -1.9460380708075e-06 -1.94603807072264e-06 -1.94603807071765e-06
45056 44 -1.90600174267566e-06 -1.90600174264836e-06 -1.90600174260465e-06
45568 44.5 -1.86761479000985e-06 -1.86761479002329e-06 -1.86761478996069e-06
46080 45 -1.80141895887955e-06 -1.8014189589071e-06 -1.80141895888653e-06
46592 45.5 -1.69865035771136e-06 -1.69865035775213e-06 -1.69865035768985e-06
47104 46 -1.67487277752203e-06 -1.67487277758886e-06 -1.67487277761824e-06
47616 46.5 -1.6380287402181e-06 -1.63802874027239e-06 -1.63802874026831e-06
48128 47 -1.60801958604484e-06 -1.60801958593355e-06 -1.6080195859546e-06
48640 47.5 -1.58761263351919e-06 -1.58761263352666e-06 -1.58761263357183e-06
49152 48 -1.55251792957354e-06 -1.55251792962342e-06 -1.55251792947643e-06
49664 48.5 -1.51108713984188e-06 -1.5110871398755e-06 -1.51108713984742e-06
50176 49 -1.50073919428941e-06 -1.50073919433188e-06 -1.5007391941881e-06
50688 49.5 -1.48840439773523e-06 -1.48840439758231e-06 -1.48840439771917e-06
51200 50 -1.47411119222192e-06 -1.47411119227638e-06 -1.47411119232852e-06
51712 50.5 -1.43110407396975e-06 -1.43110407400937e-06 -1.4311040739966e-06
52224 51 -1.390968823271e-06 -1.39096882330382e-06 -1.39096882323495e-06
52736 51.5 -1.35218923858164e-06 -1.35218923861538e-06 -1.35218923851265e-06
53248 52 -1.34131814826968e-06 -1.3413181483218e-06 -1.3413181482812e-06
53760 52.5 -1.31158723709526e-06 -1.31158723713972e-06 -1.31158723713852e-06
54272 53 -1.28430505260648e-06 -1.28430505265811e-06 -1.28430505266167e-06
54784 53.5 -1.23819397393654e-06 -1.23819397401432e-06 -1.23819397398496e-06
55296 54 -1.18216289748288e-06 -1.18216289755323e-06 -1.18216289748887e-06
55808 54.5 -1.14458502860446e-06 -1.14458502863929e-06 -1.14458502859029e-06
56320 55 -1.12215093413418e-06 -1.1221509341369e-06 -1.12215093414613e-06
56832 55.5 -1.0848967192855e-06 -1.08489671924664e-06 -1.08489671930964e-06
57344 56 -1.0352013143817e-06 -1.03520131430202e-06 -1.03520131438716e-06
57856 56.5 -1.00741954517986e-06 -1.00741954516053e-06 -1.00741954521839e-06
58368 57 -9.92810180187709e-07 -9.92810180121897e-07 -9.92810180202148e-07
58880 57.5 -9.6156623542871e-07 -9.61566235374495e-07 -9.61566235414841e-07
59392 58 -9.20603857304496e-07 -9.20603857254903e-07 -9.20603857285532e-07
59904 58.5 -8.9820786438457e-07 -8.98207864356182e-07 -8.98207864390139e-07
60416 59 -8.6610049612029e-07 -8.66100496100826e-07 -8.66100496125848e-07
60928 59.5 -7.71982459411235e-07 -7.71982459360552e-07 -7.71982459411507e-07
61440 60 -6.20869666867411e-07 -6.20869666805131e-07 -6.20869666878904e-07
61952 60.5 -4.46587068587698e-07 -4.4658706858091e-07 -4.4658706859066e-07
62464 61 -2.44740973872253e-07 -2.44740973909591e-07 -2.44740973855734e-07
62976 61.5 -1.09153119148497e-08 -1.09153119229544e-08 -1.09153118929828e-08
63488 62 -2.77979019340137e-19 -1.76692076168748e-19 -1.83527657687631e-20
64000 62.5 -3.07842508012219e-19 -1.62121252844132e-19 -1.77163650223055e-20
64512 63 -2.49141075499992e-19 -1.31453852269773e-19 -1.32644058325667e-20
65024 63.5 -2.50609001148309e-19 -2.64249536563109e-19 -1.65739361905116e-20
65536 64 -3.78362212810919e-19 -3.03517884017053e-19 -1.93914478303058e-20
66048 64.5 -4.41465538994636e-19 -2.19175928068054e-19 -1.54199772590967e-20
66560 65 -4.20169457112049e-19 -1.84463625340536e-19 -1.91687321071001e-20
67072 65.5 -3.76394375875077e-19 -1.64371885609724e-19 -2.08236653331545e-20
67584 66 -3.56359096029988e-19 -1.46545384607571e-19 -1.58295296290279e-20
68096 66.5 -2.90774363918632e-19 -1.56418843394244e-19 -1.55237485361886e-20
68608 67 -3.00390609747145e-19 -1.66758248263892e-19 -1.64604561687233e-20
69120 67.5 -2.62744099786213e-19 -1.93542489225895e-19 -1.84322900336294e-20
69632 68 -1.89776513153686e-19 -1.73756366645673e-19 -2.45274393513385e-20
70144 68.5 -3.89764006653969e-19 -2.12605935053085e-19 -2.83540662530818e-20
70656 69 -3.63192079500412e-19 -2.39142207256388e-19 -3.056487399611e-20
71168 69.5 -4.49444688495662e-19 -1.81439017663505e-19 -2.56873464059348e-20
71680 70 -2.98970173376915e-19 -2.079764650447e-19 -1.82528277725902e-20
72192 70.5 -3.29058280009305e-19 -2.48350618901423e-19 -2.00304783046402e-20
72704 71 -3.62413308130134e-19 -3.75953799694143e-19 -1.56463960707577e-20
73216 71.5 -3.38342740452157e-19 -2.94754236724841e-19 -8.91199501111817e-21
73728 72 -3.28799255122719e-19 -2.27775829968088e-19 -1.87092594556105e-20
