# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.115199999320431
512 0.5 0.114950297579749
1024 1 0.114724508755015
1536 1.5 0.114525796282965
2048 2 0.114352633683782
2560 2.5 0.114206410728744
3072 3 0.114092427048941
3584 3.5 0.11401506786022
4096 4 0.113977885998607
4608 4.5 0.113983877110518
5120 5 0.114039086934331
5632 5.5 0.114169280008792
6144 6 0.114378827090843
6656 6.5 0.114656882750269
7168 7 0.114992017169486
7680 7.5 0.115371231678541
8192 8 0.115781681135448
8704 8.5 0.116211267510036
9216 9 0.116648232855576
9728 9.5 0.117081308711661
10240 10 0.117501450716429
10752 10.5 0.117903594321375
11264 11 0.118282967158025
11776 11.5 0.118637997848868
12288 12 0.118982984770552
12800 12.5 0.119324813097134
13312 13 0.11966968879214
13824 13.5 0.120027954365299
14336 14 0.120402854247068
14848 14.5 0.120795457159216
15360 15 0.121207728159084
15872 15.5 0.121641576073191
16384 16 0.12209890785653
16896 16.5 0.122585256040628
17408 17 0.123101613414925
17920 17.5 0.123647891411979
18432 18 0.124222423739703
18944 18.5 0.124821561359135
19456 19 0.125440787760341
19968 19.5 0.126077844354748
20480 20 0.126728577636905
20992 20.5 0.127387168282967
21504 21 0.128047953629942
22016 21.5 0.128706038701924
22528 22 0.129358984507546
23040 22.5 0.130005948172749
23552 23 0.130645006615186
24064 23.5 0.131274784414404
24576 24 0.131894871660158
25088 24.5 0.132505894630132
25600 25 0.133109025974838
26112 25.5 0.133705365915526
26624 26 0.134295817795891
27136 26.5 0.134881501193647
