# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
13312 13 3002.94251101641 3029.12966306911 18.0945489406586 15.5847139358521 14.586478471756 0 3.53548622131348 78 399271.236264742 399271.236264742 6222528 6222528 196032.087119151 196032.087119151 3055104 3055104 637.387424175512 888284.892684842 14943.2574016676 873341.635283175 2276 3125005 52621 3072384 0 0 0 0 17.963531255722 1717429599.32493 16880
13824 13.5 3002.89966518868 3028.00063579762 18.6941919326782 16.1843569278717 15.1508836746216 0 3.54516315460205 81 399265.539483487 399265.539483487 6461856 6461856 196029.290143517 196029.290143517 3172608 3172608 648.546452252607 882295.237195822 15200.4838635011 867094.753332321 2302 3126449 54065 3072384 0 0 0 0 18.5581150054932 1717429599.92458 17519
14336 14 2995.56195045841 3026.82093755908 19.3347249031067 16.8248898983002 15.7258081436157 0 3.65959739685059 84 398289.91693295 398289.91693295 6701184 6701184 195550.284125925 195550.284125925 3290112 3290112 665.573677664652 898271.480347818 15338.397555007 882933.082792811 2484 3553025 55553 3497472 0 0 0 0 19.1933557987213 1717429600.56511 18158
14848 14.5 2997.4699083031 3025.57917029282 19.9245219230652 17.4146869182587 16.2583231925964 0 3.667813539505 87 398543.59900798 398543.59900798 6940512 6940512 195674.835614026 195674.835614026 3407616 3407616 683.541778347512 969470.086403516 15492.340752826 953977.74565069 2510 3554476 57004 3497472 0 0 0 0 19.7784957885742 1717429601.15491 18797
15360 15 2999.65886180947 3024.66733265807 20.5118820667267 18.0020470619202 16.8112678527832 0 3.72789454460144 90 398834.642266187 398834.642266187 7179840 7179840 195817.730498922 195817.730498922 3525120 3525120 693.93885758858 962257.829141653 15751.1690303663 946506.660111287 2608 3569782 58486 3511296 0 0 0 0 20.3606264591217 1717429601.74227 19436
15872 15.5 2999.50122667111 3023.72752582311 21.1129279136658 18.6030929088593 17.3772089481354 0 3.73756289482117 93 398813.683098191 398813.683098191 7419168 7419168 195807.44007709 195807.44007709 3642624 3642624 704.014414431893 955915.054893051 15989.9608485455 939925.094044506 2634 3571234 59938 3511296 0 0 0 0 20.9560534954071 1717429602.34331 20075
16384 16 2987.99804180631 3022.59953737491 21.7869560718536 19.2771210670471 17.9858012199402 0 3.8529748916626 96 397284.219638567 397284.219638567 7658496 7658496 195056.512169116 195056.512169116 3760128 3760128 719.255096546182 969855.252843548 16107.2101467215 953748.042696826 2816 3997807 61423 3936384 0 0 0 0 21.6007690429688 1717429603.01734 20714
16896 16.5 2990.10636625943 3021.43526226883 22.3753490447998 19.8655140399933 18.5157079696655 0 3.86120367050171 99 397564.542457854 397564.542457854 7897824 7897824 195194.143589416 195194.143589416 3877632 3877632 735.301533161672 1036118.88311684 16235.4474885518 1019883.43562829 2842 3999252 62868 3936384 0 0 0 0 22.2085204124451 1717429603.60574 21353
17408 17 2963.58480663855 3019.56766047374 23.1605010032654 20.6506659984589 19.2653012275696 0 3.92211246490479 102 394038.235890662 394038.235890662 8137152 8137152 193462.816177365 193462.816177365 3995136 3995136 744.506101611174 1028373.69856966 16469.7585988488 1011903.93997081 2940 4014558 64350 3950208 0 0 0 0 22.9868311882019 1717429604.39089 21992
17920 17.5 2957.49615062132 3017.55984096337 23.811637878418 21.3018028736115 19.8818173408508 0 3.93171858787537 105 393228.68818661 393228.68818661 8376480 8376480 193065.34871256 193065.34871256 4112640 4112640 753.723986040774 1021878.47043165 16690.5840541527 1005187.8863775 2966 4016005 65797 3950208 0 0 0 0 23.6326110363007 1717429605.04202 22631
