# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
61440 60 0.0019288698375053
61952 60.5 0.0019343759377077
62464 61 0.00193968360659536
62976 61.5 0.00194478642820017
63488 62 0.00194967329938417
64000 62.5 0.00195433245163468
64512 63 0.0019587548515571
65024 63.5 0.00196293320173101
65536 64 0.00196685938230807
66048 64.5 0.00197052456230194
66560 65 0.00197392184105488
67072 65.5 0.00197700196389992
67584 66 0.00197958049762894
68096 66.5 0.00198163258718418
68608 67 0.00198316720900376
69120 67.5 0.00198420615731985
69632 68 0.00198477913739435
70144 68.5 0.00198491700770821
70656 69 0.00198464919931736
71168 69.5 0.00198400545994807
71680 70 0.00198301770685921
72192 70.5 0.00198171953262999
72704 71 0.00198014396728509
73216 71.5 0.001978321244199
73728 72 0.00197627672569737
74240 72.5 0.00197402953032454
74752 73 0.00197159380503525
75264 73.5 0.00196898272907998
75776 74 0.0019662134475571
76288 74.5 0.00196330647499543
76800 75 0.00196027659124281
77312 75.5 0.00195713013479402
77824 76 0.00195386744967706
78336 76.5 0.00195048811794019
78848 77 0.0019469941616512
79360 77.5 0.00194338978149604
79872 78 0.00193967878523012
80384 78.5 0.00193586167858669
80896 79 0.00193193514697364
81408 79.5 0.00192789517658622
81920 80 0.00192374078272889
82432 80.5 0.00191947415252926
82944 81 0.00191509877793979
83456 81.5 0.0019106159475252
83968 82 0.00190602613151989
84480 82.5 0.00190136773620421
84992 83 0.00189669168854529
85504 83.5 0.00189199552329886
86016 84 0.00188726725493356
86528 84.5 0.00188249249675933
87040 85 0.00187766459535864
87552 85.5 0.0018727856474739
88064 86 0.00186785683410507
88576 86.5 0.00186287123294021
89088 87 0.00185781699759832
89600 87.5 0.00185268784130921
90112 88 0.00184748730953592
90624 88.5 0.00184222332246544
91136 89 0.00183689958059892
91648 89.5 0.0018315133353818
92160 90 0.00182606123399764
92672 90.5 0.00182054546026871
93184 91 0.00181497296383859
93696 91.5 0.00180934962332911
94208 92 0.00180367663272443
94720 92.5 0.00179795273227488
95232 93 0.0017921787879692
95744 93.5 0.0017863591073524
96256 94 0.00178049855781704
96768 94.5 0.001774599419331
97280 95 0.00176866133221849
97792 95.5 0.00176268358940806
98304 96 0.0017566669288112
98816 96.5 0.00175061348702142
99328 97 0.00174452558013061
99840 97.5 0.00173840441626332
100352 98 0.00173224962947289
100864 98.5 0.00172606027609713
101376 99 0.00171983678466382
101888 99.5 0.00171358184535212
102400 100 0.00170729890209018
102912 100.5 0.00170098989587252
103424 101 0.00169465523368345
103936 101.5 0.00168829621957266
104448 102 0.00168191684834273
104960 102.5 0.00167552206582782
105472 103 0.00166911531126084
105984 103.5 0.00166269868890973
106496 104 0.00165625982014112
107008 104.5 0.00164978581878143
107520 105 0.00164328889851688
108032 105.5 0.00163678388770821
108544 106 0.00163028681733564
109056 106.5 0.00162381434942431
109568 107 0.00161738166656767
110080 107.5 0.0016110023844207
110592 108 0.00160468858805307
111104 108.5 0.00159845064121458
111616 109 0.00159229716100029
112128 109.5 0.00158623526425368
112640 110 0.00158027056592116
113152 110.5 0.00157440679131277
113664 111 0.00156864573003609
114176 111.5 0.00156298803394419
114688 112 0.0015574343698624
115200 112.5 0.00155197260821927
115712 113 0.0015465993673431
116224 113.5 0.00154131586474176
116736 114 0.00153612255234508
117248 114.5 0.00153102048288369
117760 115 0.00152601189453307
118272 115.5 0.00152109888005681
118784 116 0.0015162822480525
119296 116.5 0.0015115623077467
119808 117 0.00150694032860387
120320 117.5 0.00150241809394224
120832 118 0.00149799656602906
121344 118.5 0.00149367522285809
121856 119 0.00148945291797437
122368 119.5 0.00148532903967224
122880 120 0.00148130339845617
123392 120.5 0.00147737502498599
123904 121 0.00147354162580468
