# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
37888 37 5.95878248650121e-05 5.95878248603704e-05 5.95878248631347e-05
38400 37.5 6.20938839559653e-05 6.20938839553218e-05 6.20938839567457e-05
38912 38 5.91588097022551e-05 5.91588097054455e-05 5.91588097053697e-05
39424 38.5 5.26911962226062e-05 5.26911962257635e-05 5.2691196223503e-05
39936 39 5.01479210843383e-05 5.01479210872658e-05 5.01479210878151e-05
40448 39.5 4.94543063403245e-05 4.94543063455113e-05 4.94543063417329e-05
40960 40 5.55748449811601e-05 5.55748449847425e-05 5.55748449799881e-05
41472 40.5 6.70696486909741e-05 6.70696486910822e-05 6.70696486890918e-05
41984 41 7.36468008767155e-05 7.36468008741135e-05 7.36468008760164e-05
42496 41.5 6.7492059719018e-05 6.74920597155347e-05 6.74920597192272e-05
43008 42 6.41226705586293e-05 6.41226705616623e-05 6.41226705587977e-05
43520 42.5 7.77684758391071e-05 7.7768475844202e-05 7.77684758406087e-05
44032 43 8.44022764968261e-05 8.44022765011915e-05 8.44022764980637e-05
44544 43.5 8.93094447244685e-05 8.93094447251602e-05 8.93094447236451e-05
45056 44 9.52134980700074e-05 9.52134980676975e-05 9.52134980684352e-05
45568 44.5 9.85634806321263e-05 9.85634806280007e-05 9.8563480631786e-05
46080 45 9.60306794495201e-05 9.60306794444872e-05 9.60306794503793e-05
46592 45.5 9.05006944819671e-05 9.05006944789556e-05 9.05006944837511e-05
47104 46 9.02231466421552e-05 9.02231466437797e-05 9.02231466379063e-05
47616 46.5 9.83270122211753e-05 9.83270122173462e-05 9.83270122198231e-05
48128 47 0.000100937020116769 0.000100937020111088 0.000100937020119752
48640 47.5 9.76945349778887e-05 9.76945349746795e-05 9.7694534983047e-05
49152 48 8.52427989877485e-05 8.52427989876281e-05 8.52427989924371e-05
49664 48.5 8.54197900695873e-05 8.54197900689659e-05 8.54197900663563e-05
50176 49 9.27785375306376e-05 9.27785375273669e-05 9.27785375380615e-05
50688 49.5 8.26610244374744e-05 8.26610244335957e-05 8.26610244477997e-05
51200 50 8.49867021000731e-05 8.49867020992273e-05 8.49867020998243e-05
51712 50.5 9.17145753881688e-05 9.17145753852474e-05 9.17145753850378e-05
52224 51 9.4608583240128e-05 9.46085832386598e-05 9.46085832376311e-05
52736 51.5 9.00982697799629e-05 9.00982697819312e-05 9.00982697782417e-05
53248 52 7.62588966839507e-05 7.62588966869076e-05 7.62588966803257e-05
53760 52.5 6.63654225529377e-05 6.63654225539396e-05 6.63654225497141e-05
54272 53 6.61208262077088e-05 6.61208262097705e-05 6.61208262036209e-05
54784 53.5 6.44511697933437e-05 6.44511697955465e-05 6.44511697893337e-05
55296 54 5.91106155312319e-05 5.91106155334203e-05 5.91106155309921e-05
55808 54.5 4.99812253919254e-05 4.99812253923684e-05 4.99812253933274e-05
56320 55 5.47557388504453e-05 5.47557388535738e-05 5.47557388487529e-05
56832 55.5 6.18750318148288e-05 6.18750318191244e-05 6.18750318166125e-05
57344 56 6.66708839235285e-05 6.66708839257192e-05 6.66708839243805e-05
57856 56.5 6.45105678212914e-05 6.4510567820281e-05 6.4510567817635e-05
58368 57 5.33514579808964e-05 5.33514579777449e-05 5.33514579758869e-05
58880 57.5 5.60022052275127e-05 5.60022052256455e-05 5.60022052230984e-05
59392 58 6.21110494011547e-05 6.21110494028333e-05 6.21110494020828e-05
59904 58.5 5.90460848994988e-05 5.90460849010333e-05 5.90460849011569e-05
60416 59 5.65650474052136e-05 5.65650474012041e-05 5.65650474067448e-05
60928 59.5 5.32820976273306e-05 5.32820976244236e-05 5.32820976300128e-05
61440 60 5.14474384676822e-05 5.14474384680634e-05 5.14474384694367e-05
61952 60.5 5.27549916372762e-05 5.27549916406262e-05 5.27549916371784e-05
62464 61 5.62740176774466e-05 5.62740176811667e-05 5.62740176756488e-05
62976 61.5 5.95937812893437e-05 5.95937812919278e-05 5.9593781287236e-05
63488 62 6.10566391602701e-05 6.10566391623617e-05 6.10566391593894e-05
64000 62.5 6.03625276126714e-05 6.03625276138638e-05 6.03625276132684e-05
64512 63 5.77268510118005e-05 5.77268510098982e-05 5.77268510125811e-05
65024 63.5 5.37503990650846e-05 5.37503990591775e-05 5.37503990654258e-05
65536 64 5.52008240831103e-05 5.52008240878885e-05 5.52008240801358e-05
66048 64.5 5.82612128441689e-05 5.82612128478764e-05 5.82612128422446e-05
66560 65 5.42804400908582e-05 5.4280440092825e-05 5.42804400919419e-05
67072 65.5 6.24193383452833e-05 6.24193383441267e-05 6.24193383468601e-05
67584 66 6.82346624415732e-05 6.82346624388216e-05 6.82346624412535e-05
68096 66.5 7.1568875498848e-05 7.15688754965396e-05 7.15688754954519e-05
68608 67 7.10748346088713e-05 7.10748346045972e-05 7.10748346035202e-05
69120 67.5 6.66712364696494e-05 6.66712364669915e-05 6.66712364652962e-05
69632 68 6.15409790435364e-05 6.15409790462375e-05 6.15409790433428e-05
70144 68.5 5.99910990148401e-05 5.99910990212671e-05 5.99910990217958e-05
70656 69 6.33863133855141e-05 6.33863133886354e-05 6.33863133940924e-05
71168 69.5 6.90031131516321e-05 6.90031131483762e-05 6.90031131539987e-05
71680 70 7.27107161249539e-05 7.27107161201654e-05 7.27107161210386e-05
72192 70.5 7.23609749421827e-05 7.23609749426862e-05 7.2360974937188e-05
72704 71 6.85043001223735e-05 6.85043001270939e-05 6.8504300118825e-05
73216 71.5 6.48133172190138e-05 6.48133172166207e-05 6.48133172165046e-05
73728 72 7.20639767131138e-05 7.20639767142966e-05 7.20639767137321e-05
74240 72.5 7.73725336309783e-05 7.73725336353469e-05 7.73725336348235e-05
74752 73 8.11609894221032e-05 8.11609894249055e-05 8.11609894234863e-05
75264 73.5 8.45700710192229e-05 8.45700710178864e-05 8.45700710161615e-05
75776 74 8.7366913713721e-05 8.73669137104262e-05 8.73669137100763e-05
76288 74.5 8.86933288039319e-05 8.86933288023288e-05 8.86933288027956e-05
76800 75 8.92886365674909e-05 8.92886365681595e-05 8.92886365673477e-05
77312 75.5 9.09132544956619e-05 9.09132544961341e-05 9.09132544954971e-05
77824 76 9.31842473895648e-05 9.31842473889418e-05 9.31842473911811e-05
78336 76.5 9.33367972441749e-05 9.33367972438468e-05 9.33367972474607e-05
78848 77 9.05906758750055e-05 9.05906758772532e-05 9.05906758778258e-05
79360 77.5 8.88110597462995e-05 8.88110597496639e-05 8.8811059745911e-05
79872 78 9.24402508017195e-05 9.24402508020489e-05 9.24402507980939e-05
80384 78.5 0.000100547125459633 0.000100547125456087 0.00010054712545638
80896 79 0.000107297570904573 0.000107297570900714 0.000107297570904161
81408 79.5 0.00010850246490197 0.000108502464901114 0.000108502464903511
81920 80 0.000105873713574151 0.000105873713575438 0.000105873713575492
82432 80.5 0.000104197109883601 0.000104197109885033 0.000104197109884859
82944 81 0.000107733418165419 0.000107733418167237 0.000107733418166425
83456 81.5 0.000109853130110844 0.000109853130112978 0.000109853130113459
83968 82 0.000114155189220022 0.000114155189221262 0.000114155189219495
84480 82.5 0.00011866716055849 0.000118667160557376 0.000118667160553477
84992 83 0.000124256040142395 0.000124256040140509 0.000124256040137435
85504 83.5 0.00013073441203016 0.000130734412029789 0.000130734412028915
86016 84 0.000136266516786352 0.000136266516786214 0.000136266516787727
86528 84.5 0.000139198132518333 0.000139198132517127 0.000139198132520825
87040 85 0.000139696563269377 0.000139696563269006 0.000139696563272603
87552 85.5 0.000138946423317789 0.000138946423320332 0.000138946423320356
88064 86 0.000137333374604609 0.00013733337460884 0.000137333374604888
88576 86.5 0.000134565801712706 0.00013456580171467 0.000134565801710935
89088 87 0.000131306054843543 0.000131306054840481 0.000131306054841758
89600 87.5 0.000129432254101195 0.000129432254095729 0.000129432254101121
90112 88 0.000130253169294236 0.000130253169291379 0.000130253169295291
90624 88.5 0.000132932795300124 0.000132932795302613 0.000132932795301227
91136 89 0.000135260223383571 0.000135260223388723 0.000135260223383624
91648 89.5 0.000135526440147294 0.000135526440149853 0.000135526440146
92160 90 0.000133653048393136 0.000133653048392613 0.000133653048392418
92672 90.5 0.000130784034540909 0.000130784034540276 0.000130784034543652
93184 91 0.000127783954617973 0.000127783954616406 0.000127783954621475
93696 91.5 0.000124817755374366 0.000124817755370382 0.000124817755372989
94208 92 0.000122349989626358 0.000122349989624077 0.000122349989621146
94720 92.5 0.000121487596016161 0.000121487596019091 0.000121487596013601
95232 93 0.000122841219663225 0.000122841219667823 0.000122841219666337
95744 93.5 0.000125229101916179 0.000125229101916972 0.000125229101920274
96256 94 0.000126385169374325 0.000126385169371267 0.000126385169374475
96768 94.5 0.000125367668609236 0.000125367668606713 0.000125367668605832
97280 95 0.000123476697113901 0.00012347669711335 0.000123476697110127
97792 95.5 0.00012232948973401 0.000122329489733154 0.000122329489731876
98304 96 0.000121847548406054 0.000121847548403815 0.000121847548405073
98816 96.5 0.000120929028480574 0.00012092902848005 0.000120929028479391
99328 97 0.000119376054823798 0.000119376054826617 0.00011937605482368
99840 97.5 0.000118048254804533 0.000118048254807804 0.000118048254808568
100352 98 0.000117273456901498 0.000117273456901791 0.000117273456908289
100864 98.5 0.000116108419578758 0.000116108419576235 0.000116108419581739
101376 99 0.000113492403566868 0.000113492403564659 0.000113492403562546
101888 99.5 0.000109541243965717 0.000109541243965578 0.000109541243959092
102400 100 0.000105334160442825 0.000105334160443969 0.000105334160439567
102912 100.5 0.000101839383156227 0.000101839383156296 0.000101839383155632
103424 101 9.94684726637894e-05 9.94684726636236e-05 9.94684726641152e-05
103936 101.5 9.82769291943202e-05 9.82769291952409e-05 9.82769291968602e-05
104448 102 9.79283180220098e-05 9.79283180225929e-05 9.79283180264261e-05
104960 102.5 9.75231907392111e-05 9.75231907366274e-05 9.752319074122e-05
105472 103 9.609563726464e-05 9.60956372605654e-05 9.60956372622827e-05
105984 103.5 9.33534749175547e-05 9.33534749171635e-05 9.33534749145051e-05
106496 104 8.96114688248619e-05 8.9611468829268e-05 8.96114688262994e-05
107008 104.5 8.53281556004529e-05 8.532815560473e-05 8.53281556047692e-05
107520 105 8.11901160317928e-05 8.11901160318383e-05 8.11901160333506e-05
108032 105.5 7.81737620354756e-05 7.81737620325532e-05 7.81737620328697e-05
108544 106 7.67768234237976e-05 7.67768234227104e-05 7.67768234217813e-05
109056 106.5 7.64220469654278e-05 7.64220469677399e-05 7.64220469662292e-05
109568 107 7.60601587641735e-05 7.60601587655808e-05 7.60601587646053e-05
110080 107.5 7.52000121519893e-05 7.52000121495719e-05 7.52000121488443e-05
110592 108 7.37712057255047e-05 7.37712057225566e-05 7.377120572057e-05
111104 108.5 7.13149080679033e-05 7.13149080682513e-05 7.13149080662465e-05
111616 109 6.74270753102147e-05 6.7427075312122e-05 6.74270753125691e-05
112128 109.5 6.31078534547089e-05 6.3107853454563e-05 6.31078534586042e-05
112640 110 6.04578484010672e-05 6.04578483991158e-05 6.04578484044033e-05
113152 110.5 6.05009624143913e-05 6.05009624132687e-05 6.05009624171569e-05
113664 111 6.22086170279474e-05 6.22086170292571e-05 6.22086170300667e-05
114176 111.5 6.36977477698085e-05 6.36977477729212e-05 6.36977477690841e-05
114688 112 6.3997039880249e-05 6.39970398815609e-05 6.39970398754359e-05
115200 112.5 6.31308205317717e-05 6.31308205295036e-05 6.31308205268849e-05
115712 113 6.12841913745531e-05 6.12841913709137e-05 6.12841913742525e-05
116224 113.5 5.88314286511705e-05 5.88314286503156e-05 5.88314286547199e-05
116736 114 5.68255865692602e-05 5.68255865726705e-05 5.68255865726479e-05
117248 114.5 5.6516339032072e-05 5.65163390354869e-05 5.651633903295e-05
117760 115 5.80579103370065e-05 5.80579103359605e-05 5.80579103356282e-05
118272 115.5 6.0085249470086e-05 6.00852494661701e-05 6.00852494676071e-05
118784 116 6.09024666880623e-05 6.09024666855008e-05 6.09024666868093e-05
119296 116.5 5.99103672996934e-05 5.99103672997891e-05 5.99103673001306e-05
119808 117 5.78039206728994e-05 5.78039206746932e-05 5.78039206721866e-05
120320 117.5 5.56948173520935e-05 5.56948173547603e-05 5.56948173511758e-05
120832 118 5.43323985019668e-05 5.43323985048229e-05 5.43323985047793e-05
121344 118.5 5.39709759579392e-05 5.39709759592913e-05 5.39709759624034e-05
121856 119 5.46279360415917e-05 5.46279360413542e-05 5.46279360412152e-05
122368 119.5 5.63086187179402e-05 5.63086187176787e-05 5.63086187130178e-05
122880 120 5.87879828847792e-05 5.878798288376e-05 5.87879828819681e-05
123392 120.5 6.11585044632016e-05 6.1158504460228e-05 6.11585044641307e-05
123904 121 6.21867779664554e-05 6.21867779640003e-05 6.21867779674533e-05
124416 121.5 6.15429400518345e-05 6.1542940053997e-05 6.15429400531699e-05
124928 122 6.01422278328866e-05 6.01422278378591e-05 6.01422278357118e-05
125440 122.5 5.88593467399255e-05 5.88593467414787e-05 5.88593467418809e-05
125952 123 5.76455627967691e-05 5.76455627932451e-05 5.76455627948077e-05
126464 123.5 5.64805932466578e-05 5.64805932420153e-05 5.64805932422906e-05
126976 124 5.6300468052584e-05 5.63004680504888e-05 5.63004680488364e-05
127488 124.5 5.80122082726225e-05 5.80122082747749e-05 5.80122082710681e-05
128000 125 6.10644811424116e-05 6.10644811462006e-05 6.10644811429452e-05
128512 125.5 6.38860814773925e-05 6.38860814787623e-05 6.38860814796634e-05
129024 126 6.53004852254155e-05 6.53004852243812e-05 6.53004852291763e-05
129536 126.5 6.52039665656247e-05 6.52039665658507e-05 6.52039665703389e-05
130048 127 6.40308028590615e-05 6.40308028611738e-05 6.40308028617392e-05
130560 127.5 6.22995237413179e-05 6.2299523740586e-05 6.22995237381879e-05
131072 128 6.06999313115147e-05 6.06999313061001e-05 6.06999313034476e-05
131584 128.5 6.01126961596771e-05 6.01126961545375e-05 6.01126961536112e-05
132096 129 6.11049697018376e-05 6.11049697017472e-05 6.11049697036794e-05
132608 129.5 6.32122769215948e-05 6.32122769242933e-05 6.32122769269503e-05
133120 130 6.51647959888123e-05 6.51647959898598e-05 6.51647959894453e-05
133632 130.5 6.58057431056324e-05 6.58057431063014e-05 6.58057431028849e-05
134144 131 6.49352110180508e-05 6.4935211021284e-05 6.49352110194e-05
134656 131.5 6.32918944450659e-05 6.32918944485906e-05 6.32918944493057e-05
135168 132 6.19252142500313e-05 6.19252142498867e-05 6.19252142494634e-05
135680 132.5 6.15081201749526e-05 6.15081201709537e-05 6.15081201688659e-05
136192 133 6.19599629950209e-05 6.19599629900686e-05 6.19599629892625e-05
136704 133.5 6.25379321237715e-05 6.25379321213007e-05 6.25379321217648e-05
137216 134 6.25138577010149e-05 6.25138577020808e-05 6.2513857702059e-05
137728 134.5 6.15730221269174e-05 6.1573022129034e-05 6.15730221297174e-05
138240 135 5.96784586069993e-05 5.9678458607965e-05 5.96784586121426e-05
138752 135.5 5.70600232698134e-05 5.70600232691196e-05 5.70600232748704e-05
139264 136 5.43667581164865e-05 5.4366758115103e-05 5.43667581176221e-05
139776 136.5 5.23515390396369e-05 5.23515390393525e-05 5.23515390367668e-05
140288 137 5.12261921869601e-05 5.12261921886012e-05 5.12261921837286e-05
140800 137.5 5.06379433135e-05 5.06379433152551e-05 5.06379433124495e-05
141312 138 5.03443591961108e-05 5.03443591963104e-05 5.0344359197747e-05
141824 138.5 5.04423228838028e-05 5.04423228826495e-05 5.04423228851221e-05
142336 139 5.06511181455343e-05 5.06511181454766e-05 5.06511181447163e-05
142848 139.5 4.99247273031848e-05 4.99247273033773e-05 4.99247273009818e-05
143360 140 4.74765691301649e-05 4.74765691285456e-05 4.74765691287061e-05
143872 140.5 4.404740075757e-05 4.40474007636265e-05 4.40474007593875e-05
144384 141 4.38337137111837e-05 4.38337137138103e-05 4.38337137150366e-05
144896 141.5 4.29436062720302e-05 4.29436062701841e-05 4.2943606275487e-05
145408 142 4.11831804684212e-05 4.11831804654268e-05 4.11831804665201e-05
145920 142.5 4.07089891631339e-05 4.07089891574172e-05 4.07089891661044e-05
146432 143 4.23695859315637e-05 4.23695859295532e-05 4.23695859355152e-05
146944 143.5 4.4087345884674e-05 4.40873458897845e-05 4.40873458868994e-05
147456 144 4.50806533584372e-05 4.50806533646035e-05 4.50806533576009e-05
147968 144.5 4.48138872883984e-05 4.48138872888555e-05 4.48138872860972e-05
148480 145 4.34072796485333e-05 4.34072796442481e-05 4.34072796462316e-05
148992 145.5 4.15868448760874e-05 4.15868448722165e-05 4.15868448732869e-05
149504 146 4.02550378191988e-05 4.0255037817676e-05 4.02550378157948e-05
150016 146.5 3.98762916688676e-05 3.98762916683663e-05 3.98762916670789e-05
150528 147 4.01292151404842e-05 4.01292151405814e-05 4.01292151428167e-05
151040 147.5 4.03182949413117e-05 4.03182949440622e-05 4.03182949466924e-05
151552 148 4.01943967931276e-05 4.01943967976584e-05 4.01943967964394e-05
152064 148.5 4.01086663363429e-05 4.01086663376816e-05 4.01086663350995e-05
152576 149 4.04228601842194e-05 4.04228601798446e-05 4.04228601806021e-05
153088 149.5 4.10963700250644e-05 4.10963700177778e-05 4.10963700220218e-05
153600 150 4.1833956590058e-05 4.18339565850434e-05 4.18339565883578e-05
154112 150.5 4.22511875882513e-05 4.22511875885062e-05 4.225118758738e-05
154624 151 4.23453819802391e-05 4.23453819857683e-05 4.23453819821771e-05
155136 151.5 4.24146867868167e-05 4.24146867948501e-05 4.24146867926798e-05
155648 152 4.28206590293573e-05 4.28206590343817e-05 4.28206590342725e-05
156160 152.5 4.38310109966241e-05 4.38310109948196e-05 4.38310109951258e-05
156672 153 4.54514338001575e-05 4.54514337940513e-05 4.54514337944349e-05
157184 153.5 4.73627534411114e-05 4.73627534367966e-05 4.73627534374015e-05
157696 154 4.9093462663302e-05 4.90934626628599e-05 4.90934626625686e-05
158208 154.5 5.0232594860706e-05 5.02325948599887e-05 5.02325948596911e-05
158720 155 5.06014605510447e-05 5.06014605489135e-05 5.06014605521982e-05
159232 155.5 5.02620543415946e-05 5.02620543436327e-05 5.02620543493835e-05
159744 156 4.94030475877133e-05 4.940304759609e-05 4.94030475968455e-05
160256 156.5 4.82691366933359e-05 4.82691366991502e-05 4.82691366940612e-05
160768 157 4.71211853626712e-05 4.71211853593661e-05 4.71211853565876e-05
161280 157.5 4.60786643769389e-05 4.60786643706637e-05 4.60786643725853e-05
161792 158 4.60788504656456e-05 4.60788504656865e-05 4.60788504674641e-05
162304 158.5 4.66750875800717e-05 4.66750875865072e-05 4.66750875898501e-05
162816 159 4.66935921666822e-05 4.66935921724507e-05 4.66935921718313e-05
163328 159.5 4.69817598174389e-05 4.6981759815178e-05 4.69817598123225e-05
163840 160 4.81407119931917e-05 4.81407119893489e-05 4.81407119881992e-05
164352 160.5 4.98712396043142e-05 4.98712396035238e-05 4.98712396065303e-05
164864 161 5.15406657621878e-05 5.15406657599554e-05 5.15406657642703e-05
165376 161.5 5.28215804980369e-05 5.2821580496704e-05 5.28215804950997e-05
165888 162 5.34592278416678e-05 5.34592278437814e-05 5.345922783888e-05
166400 162.5 5.29852439744028e-05 5.29852439764571e-05 5.29852439772456e-05
166912 163 5.13088880013497e-05 5.13088880014459e-05 5.13088880065907e-05
167424 163.5 4.93879673355401e-05 4.93879673360254e-05 4.93879673366562e-05
167936 164 4.86733335782907e-05 4.86733335797163e-05 4.86733335741801e-05
168448 164.5 4.9783440641947e-05 4.97834406415839e-05 4.97834406370463e-05
168960 165 5.20331999230373e-05 5.20331999199717e-05 5.20331999226424e-05
169472 165.5 5.42500387867573e-05 5.42500387847521e-05 5.4250038790144e-05
169984 166 5.57514771915346e-05 5.57514771915494e-05 5.57514771942043e-05
170496 166.5 5.65114938927894e-05 5.65114938908692e-05 5.65114938918398e-05
171008 167 5.67787154716174e-05 5.67787154716119e-05 5.67787154677362e-05
171520 167.5 5.68518382385528e-05 5.68518382466614e-05 5.6851838237755e-05
172032 168 5.71847553614786e-05 5.71847553680719e-05 5.71847553657673e-05
172544 168.5 5.8136369194031e-05 5.81363691888315e-05 5.8136369196277e-05
173056 169 5.93016840848642e-05 5.93016840778099e-05 5.93016840850685e-05
173568 169.5 5.96555642550782e-05 5.96555642563119e-05 5.96555642572443e-05
174080 170 5.87687674742645e-05 5.8768767476972e-05 5.87687674745505e-05
174592 170.5 5.74825834556212e-05 5.74825834516324e-05 5.74825834493163e-05
175104 171 5.70463851275472e-05 5.70463851235791e-05 5.70463851222351e-05
175616 171.5 5.79106774726845e-05 5.79106774762549e-05 5.79106774734145e-05
176128 172 5.96153221997445e-05 5.96153222034352e-05 5.96153222012806e-05
176640 172.5 6.14454194179935e-05 6.14454194176096e-05 6.14454194204416e-05
177152 173 6.27906360384957e-05 6.2790636039316e-05 6.27906360448789e-05
177664 173.5 6.31714509822263e-05 6.31714509841122e-05 6.31714509849837e-05
178176 174 6.2502853492882e-05 6.25028534928604e-05 6.25028534924527e-05
178688 174.5 6.14730549829001e-05 6.1473054982752e-05 6.14730549845081e-05
