# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
26112 6.375 3.412511179931e-05 3.41251068345966e-05 3.4125103678081e-05
26624 6.5 3.51808975092318e-05 3.51808962415784e-05 3.51808935869323e-05
27136 6.625 3.62449183345879e-05 3.62449117661216e-05 3.62449115855421e-05
27648 6.75 3.74468284751876e-05 3.74468288045743e-05 3.74468202380831e-05
28160 6.875 3.85467845655758e-05 3.85467854061255e-05 3.85467837186348e-05
28672 7 3.94317399826273e-05 3.94317429741261e-05 3.94317503655929e-05
29184 7.125 4.025096003699e-05 4.02509594797677e-05 4.0250959105899e-05
29696 7.25 4.12654645892356e-05 4.12654651707517e-05 4.12654730728568e-05
30208 7.375 4.22273589088204e-05 4.22273532361553e-05 4.22273590117363e-05
30720 7.5 4.31155089138582e-05 4.31155053113017e-05 4.31154906200212e-05
31232 7.625 4.38625871616219e-05 4.38625872802734e-05 4.38625801417324e-05
31744 7.75 4.45818347036957e-05 4.4581834781513e-05 4.45818235507897e-05
32256 7.875 4.54334007710472e-05 4.54334005113108e-05 4.54334009347283e-05
32768 8 4.61862624484414e-05 4.61862620615015e-05 4.61862664931154e-05
33280 8.125 4.68050688665337e-05 4.68050710566153e-05 4.68050690887183e-05
33792 8.25 4.73851392461465e-05 4.7385142331082e-05 4.73851421929216e-05
34304 8.375 4.80873694014835e-05 4.80873697948022e-05 4.80873700062862e-05
34816 8.5 4.86538415518208e-05 4.86538381224469e-05 4.86538403459518e-05
35328 8.625 4.90609703856842e-05 4.90609654366305e-05 4.90609672883741e-05
35840 8.75 4.96255569593681e-05 4.96255551304163e-05 4.96255604745178e-05
36352 8.875 5.01018991593048e-05 5.01018984643019e-05 5.01018961181264e-05
36864 9 5.04976779146577e-05 5.04976727624571e-05 5.04976614289632e-05
37376 9.125 5.08097181883003e-05 5.08097154872537e-05 5.08097087814767e-05
37888 9.25 5.1251078246752e-05 5.12510692511865e-05 5.1251058771922e-05
38400 9.375 5.15593216658451e-05 5.15593124111496e-05 5.15593005527578e-05
38912 9.5 5.17061735681137e-05 5.17061696788013e-05 5.17061602028153e-05
39424 9.625 5.20029990583885e-05 5.20029941416117e-05 5.20029803529766e-05
39936 9.75 5.22130697099531e-05 5.22130614324116e-05 5.22130571413647e-05
40448 9.875 5.22801552158054e-05 5.22801460522892e-05 5.22801377578397e-05
40960 10 5.25336284251593e-05 5.25336178067255e-05 5.25336271936972e-05
41472 10.125 5.28741692170709e-05 5.28741565212457e-05 5.28741551027167e-05
41984 10.25 5.36837804127293e-05 5.36837744500783e-05 5.36837680936172e-05
42496 10.375 5.51622556467744e-05 5.51622468409853e-05 5.51622380568503e-05
43008 10.5 5.65717788712909e-05 5.65717675036774e-05 5.65717644024219e-05
43520 10.625 5.78315763093792e-05 5.78315678411951e-05 5.78315725347203e-05
44032 10.75 5.88632758386632e-05 5.8863276091901e-05 5.88632851579831e-05
44544 10.875 5.9603363309416e-05 5.96033740303246e-05 5.96033804890481e-05
45056 11 6.00047786560619e-05 6.00047910345655e-05 6.00047925958942e-05
45568 11.125 6.00539331941168e-05 6.00539295688994e-05 6.00539345393539e-05
46080 11.25 5.97772195823125e-05 5.97771908296378e-05 5.97772094766573e-05
46592 11.375 5.92203926502309e-05 5.92203528632019e-05 5.92203835566761e-05
47104 11.5 5.852314814754e-05 5.85231184671464e-05 5.8523142909628e-05
47616 11.625 5.82244302490353e-05 5.8224410893168e-05 5.82244276006536e-05
48128 11.75 5.82928525647943e-05 5.82928492213747e-05 5.82928569815141e-05
48640 11.875 5.8370841331731e-05 5.83708197466906e-05 5.83708402738954e-05
49152 12 5.82506400075268e-05 5.82506056043718e-05 5.82506374951126e-05
49664 12.125 5.79106565448609e-05 5.79106278091824e-05 5.79106594516803e-05
50176 12.25 5.73641274090235e-05 5.73641239029095e-05 5.73641408824419e-05
50688 12.375 5.68018785855064e-05 5.68018582519115e-05 5.68018826351374e-05
51200 12.5 5.66821433218963e-05 5.66821314740604e-05 5.66821517704692e-05
51712 12.625 5.64984525735357e-05 5.6498455313636e-05 5.6498465293771e-05
52224 12.75 5.62109689378594e-05 5.62109850935968e-05 5.62109821021963e-05
52736 12.875 5.57759914775991e-05 5.5776014151191e-05 5.57759995111858e-05
53248 13 5.54381440180276e-05 5.54381459775513e-05 5.5438155923751e-05
53760 13.125 5.50421302176362e-05 5.50421417794565e-05 5.50421415896021e-05
54272 13.25 5.4583543593473e-05 5.4583560986355e-05 5.45835509217889e-05
54784 13.375 5.4260306987047e-05 5.42603084774786e-05 5.42603182604887e-05
55296 13.5 5.39752538698345e-05 5.39752626612002e-05 5.39752647393354e-05
55808 13.625 5.35329748423224e-05 5.35329886156629e-05 5.35329823575226e-05
56320 13.75 5.29652468792384e-05 5.29652616627769e-05 5.29652485565736e-05
56832 13.875 5.24875238606224e-05 5.24875307756965e-05 5.24875343528204e-05
57344 14 5.22663337360779e-05 5.22663446623585e-05 5.22663412602433e-05
57856 14.125 5.18928644567253e-05 5.18928764398926e-05 5.18928665699438e-05
58368 14.25 5.13683107958486e-05 5.13683204121237e-05 5.13683062522549e-05
58880 14.375 5.07554910780988e-05 5.07554996610824e-05 5.07554986798068e-05
59392 14.5 5.04771200522482e-05 5.04771300185714e-05 5.04771227208489e-05
59904 14.625 5.0096088057657e-05 5.0096096799328e-05 5.00960845498697e-05
60416 14.75 4.96033932468309e-05 4.9603398080776e-05 4.96033841149728e-05
60928 14.875 4.91631282358714e-05 4.91631365323861e-05 4.91631316895165e-05
61440 15 4.87997465675158e-05 4.87997540285534e-05 4.87997445444233e-05
61952 15.125 4.83598088643128e-05 4.83598132721387e-05 4.83598015246248e-05
62464 15.25 4.79489153704658e-05 4.79489223815831e-05 4.79489190336227e-05
62976 15.375 4.76159003868643e-05 4.76159071819111e-05 4.76158992746504e-05
63488 15.5 4.71888545975411e-05 4.71888593286092e-05 4.71888489312328e-05
64000 15.625 4.67154131073831e-05 4.6715419273808e-05 4.67154172470392e-05
64512 15.75 4.6466862883448e-05 4.6466868820537e-05 4.64668625571886e-05
65024 15.875 4.61025714149209e-05 4.6102575742632e-05 4.61025668387201e-05
65536 16 4.56400125320676e-05 4.56400139907999e-05 4.56400053242492e-05
66048 16.125 4.52636068204354e-05 4.52636122845815e-05 4.52636071520574e-05
66560 16.25 4.49745336772555e-05 4.49745377581489e-05 4.49745302093238e-05
67072 16.375 4.45844658672697e-05 4.4584467423286e-05 4.4584459799256e-05
67584 16.5 4.41044966313847e-05 4.41044949294073e-05 4.4104490274984e-05
68096 16.625 4.38329791599526e-05 4.38329834206315e-05 4.38329767452477e-05
68608 16.75 4.34950335652726e-05 4.34950357043142e-05 4.34950287696782e-05
69120 16.875 4.30762689904932e-05 4.30762682224582e-05 4.3076263737036e-05
69632 17 4.27582937132713e-05 4.2758297725786e-05 4.27582923295223e-05
70144 17.125 4.2440375857609e-05 4.24403782714561e-05 4.24403721566056e-05
70656 17.25 4.2050653871019e-05 4.20506538875586e-05 4.20506492851914e-05
71168 17.375 4.17274113027316e-05 4.17274153105477e-05 4.17274103260575e-05
71680 17.5 4.14409983816198e-05 4.14410010079281e-05 4.14409951696459e-05
72192 17.625 4.10837231385136e-05 4.10837236348465e-05 4.10837188397687e-05
72704 17.75 4.07642550842574e-05 4.07642588201391e-05 4.0764254823632e-05
73216 17.875 4.0525277491452e-05 4.05252801375912e-05 4.05252749601235e-05
73728 18 4.02104715102987e-05 4.02104721730586e-05 4.02104674341052e-05
74240 18.125 3.9855059019707e-05 3.98550626991549e-05 3.9855059567144e-05
74752 18.25 3.96563189079313e-05 3.96563219619697e-05 3.96563172973756e-05
75264 18.375 3.93683425833613e-05 3.93683440582622e-05 3.9368339203668e-05
75776 18.5 3.89949473014687e-05 3.89949463762449e-05 3.8994942717778e-05
76288 18.625 3.86397960547185e-05 3.86397994937579e-05 3.86397947291569e-05
76800 18.75 3.82922786165865e-05 3.82922806779215e-05 3.82922752554104e-05
77312 18.875 3.78323894568805e-05 3.78323890764094e-05 3.78323843980005e-05
77824 19 3.72644289842928e-05 3.72644252707809e-05 3.72644223534779e-05
78336 19.125 3.67093215898762e-05 3.67093235886772e-05 3.67093183949176e-05
78848 19.25 3.61193388027158e-05 3.61193385909777e-05 3.61193336616713e-05
79360 19.375 3.54361724109691e-05 3.54361690764812e-05 3.54361652417702e-05
79872 19.5 3.47447440145104e-05 3.47447463025096e-05 3.47447411297826e-05
80384 19.625 3.42581565463765e-05 3.42581564675681e-05 3.42581492307319e-05
80896 19.75 3.37639273060423e-05 3.37639241409919e-05 3.3763917066939e-05
81408 19.875 3.32391678377946e-05 3.32391698287352e-05 3.32391635834889e-05
81920 20 3.27865246410547e-05 3.2786524886092e-05 3.27865164621181e-05
82432 20.125 3.22873078100792e-05 3.22873050144986e-05 3.22872965230064e-05
82944 20.25 3.17510428761935e-05 3.17510371686432e-05 3.17510294513815e-05
83456 20.375 3.13331259666147e-05 3.13331268570932e-05 3.133311818335e-05
83968 20.5 3.09231112644848e-05 3.09231095295491e-05 3.09231005848907e-05
84480 20.625 3.04574146013012e-05 3.04574109055823e-05 3.04574031643176e-05
84992 20.75 2.99914796391295e-05 2.99914714389815e-05 2.99914668644887e-05
85504 20.875 2.95750790838319e-05 2.95750786465985e-05 2.95750699706126e-05
86016 21 2.91805296748247e-05 2.91805280177282e-05 2.91805206959573e-05
86528 21.125 2.87882364852714e-05 2.87882309690312e-05 2.87882265068669e-05
87040 21.25 2.83417364126504e-05 2.83417330033727e-05 2.83417243659435e-05
87552 21.375 2.80239717833362e-05 2.80239741507093e-05 2.80239682389015e-05
88064 21.5 2.77359750469192e-05 2.77359759952899e-05 2.77359682598062e-05
88576 21.625 2.73786075734301e-05 2.73786103820789e-05 2.73786067985052e-05
89088 21.75 2.71954479784946e-05 2.7195450218851e-05 2.71954446151062e-05
89600 21.875 2.69519896902383e-05 2.69519904113111e-05 2.69519832144981e-05
90112 22 2.68163298398099e-05 2.6816332900079e-05 2.68163295723505e-05
90624 22.125 2.66619898104484e-05 2.66619922109703e-05 2.66619872350315e-05
91136 22.25 2.64481606667151e-05 2.64481615653075e-05 2.64481554197738e-05
91648 22.375 2.61775345835691e-05 2.61775331103434e-05 2.61775263365857e-05
92160 22.5 2.58563897704129e-05 2.5856385123402e-05 2.58563782154664e-05
92672 22.625 2.54933207855928e-05 2.54933123229084e-05 2.54933056434155e-05
93184 22.75 2.5113065188265e-05 2.51130588973747e-05 2.51130505947325e-05
93696 22.875 2.47596894158655e-05 2.47596738477622e-05 2.47596771439695e-05
94208 23 2.44337485724218e-05 2.4433738527092e-05 2.44337413168579e-05
94720 23.125 2.41387137256814e-05 2.41386988334745e-05 2.41387094589621e-05
95232 23.25 2.38385606193507e-05 2.38385422672752e-05 2.38385583861213e-05
95744 23.375 2.35211482068116e-05 2.35211253005961e-05 2.35211467984915e-05
96256 23.5 2.32025308522776e-05 2.32025074255535e-05 2.32025296435278e-05
96768 23.625 2.28864585222554e-05 2.28864354401154e-05 2.28864578368245e-05
97280 23.75 2.257814089918e-05 2.25781084725027e-05 2.2578137096858e-05
97792 23.875 2.22702059822029e-05 2.22701744574984e-05 2.22702022501592e-05
98304 24 2.19737538194922e-05 2.19737124903562e-05 2.19737458443099e-05
98816 24.125 2.17031388979473e-05 2.1703099226031e-05 2.1703131001786e-05
99328 24.25 2.14165012232671e-05 2.14164591638791e-05 2.14164909594346e-05
99840 24.375 2.11457338330142e-05 2.11456874276911e-05 2.11457217173972e-05
100352 24.5 2.08501445601802e-05 2.08500908003184e-05 2.08501283370328e-05
100864 24.625 2.05549424206783e-05 2.05548914742478e-05 2.05549268782351e-05
101376 24.75 2.02531927086177e-05 2.02531369036757e-05 2.0253174122745e-05
101888 24.875 1.99668582708098e-05 1.99668052415122e-05 1.99668405025361e-05
102400 25 1.96860832685792e-05 1.96860280880722e-05 1.9686063763759e-05
102912 25.125 1.94166179600156e-05 1.94165650780315e-05 1.94165991495706e-05
103424 25.25 1.91603670005569e-05 1.91603143515368e-05 1.91603476470711e-05
103936 25.375 1.88971595226732e-05 1.889711050436e-05 1.88971409064036e-05
104448 25.5 1.86436495651004e-05 1.86436004888746e-05 1.86436309284172e-05
104960 25.625 1.83775984093449e-05 1.83775529306129e-05 1.83775805144117e-05
105472 25.75 1.81238447959787e-05 1.81237995881138e-05 1.81238270227429e-05
105984 25.875 1.78617336176674e-05 1.78616916991976e-05 1.78617164175282e-05
106496 26 1.76152946517085e-05 1.76152532017252e-05 1.76152777149942e-05
107008 26.125 1.73675177239052e-05 1.73674837166503e-05 1.73675038343516e-05
107520 26.25 1.71295888195983e-05 1.71295571650906e-05 1.71295757034064e-05
108032 26.375 1.69033390825856e-05 1.69033074848515e-05 1.69033253262698e-05
108544 26.5 1.6672179218271e-05 1.66721494747118e-05 1.66721659420493e-05
109056 26.625 1.64494162473275e-05 1.64493865133935e-05 1.64494025524999e-05
109568 26.75 1.6219933446449e-05 1.62199052391472e-05 1.62199199975197e-05
110080 26.875 1.59989008380424e-05 1.59988729455544e-05 1.599888749754e-05
110592 27 1.5781859023824e-05 1.57818363882592e-05 1.57818475665079e-05
111104 27.125 1.5567132677542e-05 1.5567110458722e-05 1.5567121421787e-05
111616 27.25 1.5359535391948e-05 1.53595127391644e-05 1.53595235142972e-05
112128 27.375 1.51492043615488e-05 1.51491823500941e-05 1.51491926136222e-05
112640 27.5 1.4943559994285e-05 1.49435382694349e-05 1.49435483859086e-05
113152 27.625 1.47454702502903e-05 1.47454508844082e-05 1.47454594424301e-05
113664 27.75 1.45497755693797e-05 1.4549756263671e-05 1.45497648999386e-05
114176 27.875 1.43585970541932e-05 1.43585776683933e-05 1.43585861610752e-05
114688 28 1.41624433483555e-05 1.41624247161789e-05 1.41624326214031e-05
115200 28.125 1.39757033914166e-05 1.39756854316906e-05 1.39756935775157e-05
115712 28.25 1.37956187071524e-05 1.37956004840768e-05 1.37956084202232e-05
116224 28.375 1.36103918791697e-05 1.36103742573346e-05 1.3610381743156e-05
116736 28.5 1.34279032735277e-05 1.34278863812224e-05 1.34278934078033e-05
117248 28.625 1.32535153505521e-05 1.32534977755626e-05 1.32535057358446e-05
117760 28.75 1.30815591936721e-05 1.30815422020316e-05 1.30815496843846e-05
118272 28.875 1.29149247726353e-05 1.29149306506436e-05 1.29149275430229e-05
118784 29 1.27804071726613e-05 1.27804188455117e-05 1.27804128108343e-05
119296 29.125 1.26393017164657e-05 1.26393098437336e-05 1.26393042524567e-05
119808 29.25 1.25015291830928e-05 1.25015377376026e-05 1.25015332015422e-05
120320 29.375 1.23639360015571e-05 1.23639423216346e-05 1.23639376922884e-05
120832 29.5 1.22278241954379e-05 1.2227829745158e-05 1.22278245131872e-05
121344 29.625 1.20944917143356e-05 1.20944964592026e-05 1.20944911801771e-05
121856 29.75 1.19632117027541e-05 1.19632155901537e-05 1.19632105401841e-05
122368 29.875 1.18322692903468e-05 1.18322731325948e-05 1.18322677306749e-05
122880 30 1.1706108767575e-05 1.17061115642956e-05 1.17061068496388e-05
123392 30.125 1.15788135531382e-05 1.15788162385082e-05 1.15788114475416e-05
123904 30.25 1.14512362573372e-05 1.14512387468684e-05 1.14512339975928e-05
124416 30.375 1.13243954590049e-05 1.13243976667622e-05 1.13243930648496e-05
124928 30.5 1.12007807888572e-05 1.12007814730707e-05 1.12007790315727e-05
125440 30.625 1.1078898085309e-05 1.10788983831631e-05 1.10788963921323e-05
125952 30.75 1.09576460959551e-05 1.09576459803172e-05 1.09576444780755e-05
126464 30.875 1.08381440235036e-05 1.08381444656679e-05 1.08381415033667e-05
126976 31 1.07205236803154e-05 1.07205235845518e-05 1.07205212274191e-05
127488 31.125 1.06051932512597e-05 1.06051926365205e-05 1.06051908757905e-05
128000 31.25 1.04919702284258e-05 1.04919691336322e-05 1.04919679061244e-05
128512 31.375 1.03807585373695e-05 1.03807570234245e-05 1.03807562323789e-05
129024 31.5 1.02707337906479e-05 1.02707319416088e-05 1.02707314773118e-05
129536 31.625 1.01619363227111e-05 1.01619342475198e-05 1.01619340003215e-05
130048 31.75 1.00548895213045e-05 1.00548873324677e-05 1.00548872296647e-05
130560 31.875 9.95597796093667e-06 9.9559746361446e-06 9.95597468896592e-06
131072 32 9.86913318201071e-06 9.86912798831706e-06 9.86912852560451e-06
131584 32.125 9.78852470284727e-06 9.78851821628975e-06 9.78851935365707e-06
132096 32.25 9.70910785963537e-06 9.70910206331355e-06 9.70910327146305e-06
132608 32.375 9.6368431189783e-06 9.63683760721179e-06 9.63683841185596e-06
133120 32.5 9.55987008453507e-06 9.55986458651289e-06 9.55986538451429e-06
133632 32.625 9.48694478431295e-06 9.48693983387973e-06 9.4869405986155e-06
134144 32.75 9.4142690883475e-06 9.41426452308713e-06 9.41426504187454e-06
134656 32.875 9.33637879315425e-06 9.33637424073631e-06 9.33637483425148e-06
135168 33 9.26798052715651e-06 9.26797635353133e-06 9.26797682640575e-06
135680 33.125 9.18951781598704e-06 9.1895141752289e-06 9.18951452667173e-06
136192 33.25 9.11343481792848e-06 9.11343178068982e-06 9.11343195269113e-06
136704 33.375 9.04076163395051e-06 9.04075827478577e-06 9.04075851717576e-06
137216 33.5 8.95729321179365e-06 8.95729077716091e-06 8.95729092922544e-06
137728 33.625 8.87818642676318e-06 8.87818403176931e-06 8.87818399424154e-06
138240 33.75 8.79509138068126e-06 8.79508876947821e-06 8.79508893059338e-06
138752 33.875 8.71384181073748e-06 8.71383984501946e-06 8.71383990075713e-06
139264 34 8.6178420891036e-06 8.61784041438545e-06 8.61784043365076e-06
139776 34.125 8.5284716274023e-06 8.52847063169466e-06 8.52847060218323e-06
140288 34.25 8.43997770167247e-06 8.43997628192899e-06 8.43997628374896e-06
140800 34.375 8.34291604597145e-06 8.34291542001356e-06 8.34291541055366e-06
141312 34.5 8.23698939994338e-06 8.23698880377203e-06 8.23698865683543e-06
141824 34.625 8.13318860053989e-06 8.13318859845483e-06 8.1331885099526e-06
142336 34.75 8.03742057996302e-06 8.03742030170195e-06 8.03742025994422e-06
142848 34.875 7.92717339187426e-06 7.92717372364331e-06 7.92717380965048e-06
143360 35 7.83850771455646e-06 7.83850851614734e-06 7.83850831032512e-06
143872 35.125 7.76699688812258e-06 7.76699795303951e-06 7.76699762255449e-06
144384 35.25 7.6803356364216e-06 7.68033652478134e-06 7.68033638830737e-06
144896 35.375 7.60244930774506e-06 7.60245041746649e-06 7.60245029869564e-06
145408 35.5 7.50898005062742e-06 7.50898115862022e-06 7.50898119891615e-06
145920 35.625 7.42322097568773e-06 7.42322205887098e-06 7.42322207137416e-06
146432 35.75 7.32579487688335e-06 7.32579539728243e-06 7.3257953753494e-06
146944 35.875 7.27100368189682e-06 7.27100443268148e-06 7.27100446499053e-06
147456 36 7.20115322012519e-06 7.20115414457336e-06 7.20115421471613e-06
147968 36.125 7.11635760658021e-06 7.11635864958546e-06 7.11635869527201e-06
148480 36.25 7.01683102589622e-06 7.01683217535286e-06 7.01683210504679e-06
148992 36.375 6.90285825701472e-06 6.90285956946431e-06 6.90285929491244e-06
149504 36.5 6.77477423831152e-06 6.7747758288239e-06 6.77477529693632e-06
150016 36.625 6.6329706235874e-06 6.63297261387717e-06 6.63297182189957e-06
150528 36.75 6.47792343276606e-06 6.47792587410873e-06 6.47792486199996e-06
151040 36.875 6.31021770334114e-06 6.31022051111788e-06 6.31021933802248e-06
151552 37 6.13054694689284e-06 6.13054988826088e-06 6.13054860765094e-06
152064 37.125 5.93968622301898e-06 5.93968898037163e-06 5.93968762651171e-06
152576 37.25 5.73846065632611e-06 5.73846295132511e-06 5.73846154076377e-06
153088 37.375 5.52773581442362e-06 5.52773753828426e-06 5.52773608123491e-06
153600 37.5 5.30843616297381e-06 5.30843744199953e-06 5.30843595561911e-06
154112 37.625 5.08156788362979e-06 5.08156903058195e-06 5.08156754927756e-06
154624 37.75 4.84820866364785e-06 4.84821002122818e-06 4.84820860292139e-06
155136 37.875 4.60944508596129e-06 4.6094468320263e-06 4.60944555872878e-06
155648 38 4.36627805827806e-06 4.36628007645972e-06 4.36627904339219e-06
156160 38.125 4.1195485025902e-06 4.11955040065873e-06 4.11954968739115e-06
156672 38.25 3.86993242924962e-06 3.8699337143439e-06 3.86993334048338e-06
157184 38.375 3.61801488233196e-06 3.61801521339985e-06 3.61801509801476e-06
157696 38.5 3.36440259633741e-06 3.364401981181e-06 3.36440193681615e-06
158208 38.625 3.10981080144062e-06 3.10980962474619e-06 3.10980940893021e-06
158720 38.75 2.8550777232422e-06 2.85507657878681e-06 2.85507599527594e-06
159232 38.875 2.60110744304097e-06 2.60110685167125e-06 2.60110585612593e-06
159744 39 2.34878449096329e-06 2.34878465281055e-06 2.34878340039834e-06
160256 39.125 2.09891370024114e-06 2.09891441348045e-06 2.09891320804519e-06
160768 39.25 1.85221325787368e-06 1.85221404460707e-06 1.85221320358321e-06
161280 39.375 1.60934912696886e-06 1.60934949294395e-06 1.60934919606413e-06
161792 39.5 1.37097352987744e-06 1.37097321537336e-06 1.37097342028492e-06
162304 39.625 1.13773370416181e-06 1.13773279660107e-06 1.13773326628674e-06
162816 39.75 9.1024269457669e-07 9.10241556079549e-07 9.10241974649288e-07
