# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
71168 17.375 1.10556298658507e-10
71680 17.5 1.10556465260306e-10
72192 17.625 1.10556632033073e-10
72704 17.75 1.10556798968053e-10
73216 17.875 1.10556966056661e-10
73728 18 1.10557133290539e-10
74240 18.125 1.10557300661449e-10
74752 18.25 1.10557468161038e-10
75264 18.375 1.10557635780605e-10
75776 18.5 1.10557803510984e-10
76288 18.625 1.10557971342667e-10
76800 18.75 1.10558139266106e-10
77312 18.875 1.10558307272048e-10
77824 19 1.10558475351677e-10
78336 19.125 1.1055864349646e-10
78848 19.25 1.10558811697738e-10
79360 19.375 1.10558979946345e-10
79872 19.5 1.10559148232488e-10
80384 19.625 1.10559316546023e-10
80896 19.75 1.10559484876955e-10
81408 19.875 1.10559653215833e-10
81920 20 1.10559821553765e-10
82432 20.125 1.10559989882032e-10
82944 20.25 1.10560158191552e-10
83456 20.375 1.10560326472583e-10
83968 20.5 1.10560494714867e-10
84480 20.625 1.10560662908107e-10
84992 20.75 1.10560831042443e-10
85504 20.875 1.10560999108585e-10
86016 21 1.10561167097549e-10
86528 21.125 1.10561335000209e-10
87040 21.25 1.10561502806997e-10
87552 21.375 1.10561670507945e-10
88064 21.5 1.1056183809299e-10
88576 21.625 1.10562005552285e-10
89088 21.75 1.10562172876313e-10
89600 21.875 1.10562340055759e-10
90112 22 1.10562507081309e-10
90624 22.125 1.10562673943543e-10
91136 22.25 1.10562840632976e-10
91648 22.375 1.10563007140157e-10
92160 22.5 1.10563173455715e-10
92672 22.625 1.10563339570303e-10
93184 22.75 1.10563505474488e-10
93696 22.875 1.10563671158677e-10
94208 23 1.10563836613076e-10
94720 23.125 1.10564001827628e-10
95232 23.25 1.10564166791895e-10
95744 23.375 1.10564331494913e-10
96256 23.5 1.10564495925192e-10
96768 23.625 1.10564660070985e-10
97280 23.75 1.10564823920879e-10
97792 23.875 1.10564987464594e-10
98304 24 1.10565150693767e-10
98816 24.125 1.10565313602521e-10
99328 24.25 1.10565476187624e-10
99840 24.375 1.10565638448144e-10
100352 24.5 1.10565800384533e-10
100864 24.625 1.10565961997131e-10
101376 24.75 1.10566123284217e-10
101888 24.875 1.10566284239905e-10
102400 25 1.10566444852418e-10
102912 25.125 1.10566605103373e-10
103424 25.25 1.10566764968678e-10
103936 25.375 1.10566924421348e-10
104448 25.5 1.10567083436e-10
104960 25.625 1.10567241993987e-10
105472 25.75 1.10567400087418e-10
105984 25.875 1.10567557719866e-10
106496 26 1.10567714901879e-10
107008 26.125 1.10567871640603e-10
107520 26.25 1.10568027924764e-10
108032 26.375 1.10568183708253e-10
108544 26.5 1.10568338896625e-10
109056 26.625 1.10568493340226e-10
109568 26.75 1.10568646835185e-10
110080 26.875 1.10568799130034e-10
110592 27 1.10568949932929e-10
111104 27.125 1.10569098914018e-10
111616 27.25 1.10569245700159e-10
112128 27.375 1.10569389863923e-10
112640 27.5 1.10569530913146e-10
113152 27.625 1.10569668288496e-10
113664 27.75 1.10569801373257e-10
114176 27.875 1.10569929513189e-10
114688 28 1.1057005203837e-10
115200 28.125 1.10570168276987e-10
115712 28.25 1.10570277554688e-10
116224 28.375 1.10570379180299e-10
116736 28.5 1.10570472425221e-10
117248 28.625 1.10570556505943e-10
117760 28.75 1.10570630576302e-10
118272 28.875 1.10570693731196e-10
118784 29 1.10570745020441e-10
119296 29.125 1.10570783471598e-10
119808 29.25 1.10570808121544e-10
120320 29.375 1.1057081805419e-10
120832 29.5 1.1057081805419e-10
121344 29.625 1.1057081805419e-10
121856 29.75 1.1057081805419e-10
122368 29.875 1.1057081805419e-10
122880 30 1.1057081805419e-10
123392 30.125 1.1057081805419e-10
123904 30.25 1.1057081805419e-10
124416 30.375 1.1057081805419e-10
124928 30.5 1.1057081805419e-10
125440 30.625 1.1057081805419e-10
125952 30.75 1.1057081805419e-10
126464 30.875 1.1057081805419e-10
126976 31 1.1057081805419e-10
127488 31.125 1.1057081805419e-10
128000 31.25 1.1057081805419e-10
128512 31.375 1.1057081805419e-10
129024 31.5 1.1057081805419e-10
129536 31.625 1.1057081805419e-10
130048 31.75 1.1057081805419e-10
130560 31.875 1.1057081805419e-10
131072 32 1.1057081805419e-10
131584 32.125 1.1057081805419e-10
132096 32.25 1.1057081805419e-10
132608 32.375 1.1057081805419e-10
133120 32.5 1.1057081805419e-10
133632 32.625 1.1057081805419e-10
134144 32.75 1.1057081805419e-10
134656 32.875 1.1057081805419e-10
135168 33 1.1057081805419e-10
135680 33.125 1.1057081805419e-10
136192 33.25 1.1057081805419e-10
136704 33.375 1.1057081805419e-10
137216 33.5 1.1057081805419e-10
137728 33.625 1.1057081805419e-10
138240 33.75 1.1057081805419e-10
138752 33.875 1.1057081805419e-10
139264 34 1.1057081805419e-10
139776 34.125 1.1057081805419e-10
140288 34.25 1.1057081805419e-10
140800 34.375 1.1057081805419e-10
141312 34.5 1.1057081805419e-10
141824 34.625 1.1057081805419e-10
142336 34.75 1.1057081805419e-10
142848 34.875 1.1057081805419e-10
143360 35 1.1057081805419e-10
143872 35.125 1.1057081805419e-10
144384 35.25 1.1057081805419e-10
144896 35.375 1.1057081805419e-10
145408 35.5 1.1057081805419e-10
145920 35.625 1.1057081805419e-10
146432 35.75 1.1057081805419e-10
146944 35.875 1.1057081805419e-10
147456 36 1.1057081805419e-10
147968 36.125 1.1057081805419e-10
148480 36.25 1.1057081805419e-10
148992 36.375 1.1057081805419e-10
