# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
82432 20.125 5.59041790519464e-05
82944 20.25 5.58677507847698e-05
83456 20.375 5.5838238420892e-05
83968 20.5 5.58159147264062e-05
84480 20.625 5.57988230982777e-05
84992 20.75 5.57834189485553e-05
85504 20.875 5.57659458038847e-05
86016 21 5.57438360145891e-05
86528 21.125 5.57164750937849e-05
87040 21.25 5.56849749425268e-05
87552 21.375 5.56513066939573e-05
88064 21.5 5.56173295721345e-05
88576 21.625 5.55841838384913e-05
89088 21.75 5.55524985174773e-05
89600 21.875 5.55229701247393e-05
90112 22 5.54967907182043e-05
90624 22.125 5.54755295139546e-05
91136 22.25 5.54601422865133e-05
91648 22.375 5.54498207129996e-05
92160 22.5 5.54415429897089e-05
92672 22.625 5.54309379781799e-05
93184 22.75 5.5414192715679e-05
93696 22.875 5.53896820288452e-05
94208 23 5.53588169241047e-05
94720 23.125 5.53258065079116e-05
95232 23.25 5.52962222104133e-05
95744 23.375 5.52748798141563e-05
96256 23.5 5.52640176974429e-05
96768 23.625 5.5262833082872e-05
97280 23.75 5.52678422926629e-05
97792 23.875 5.52734612642807e-05
98304 24 5.52735485357784e-05
98816 24.125 5.5264036610231e-05
99328 24.25 5.52452111230385e-05
99840 24.375 5.52215350159994e-05
100352 24.5 5.51992414863888e-05
100864 24.625 5.51836823472382e-05
101376 24.75 5.51776851609848e-05
101888 24.875 5.5181035257148e-05
102400 25 5.51906745761989e-05
102912 25.125 5.52020168611635e-05
103424 25.25 5.52108204531859e-05
103936 25.375 5.52143658989011e-05
104448 25.5 5.52117332601369e-05
104960 25.625 5.52036757855334e-05
105472 25.75 5.51928016258702e-05
105984 25.875 5.51831930723006e-05
106496 26 5.51787501127568e-05
107008 26.125 5.51814312786483e-05
107520 26.25 5.51906571828471e-05
108032 26.375 5.52042316803255e-05
