# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 4.25810738577934e-08 4.2581073867716e-08 4.25810738534191e-08
1024 0.25 1.36129358404462e-07 1.36129358418372e-07 1.36129358474595e-07
1536 0.375 2.73395288348717e-07 2.73395288207661e-07 2.73395288220678e-07
2048 0.5 4.38951687534062e-07 4.3895168770148e-07 4.3895168744768e-07
2560 0.625 6.14755467383068e-07 6.14755467547393e-07 6.14755467735227e-07
3072 0.75 7.50871943424948e-07 7.50871943298386e-07 7.50871943401658e-07
3584 0.875 8.1323443576897e-07 8.13234435828658e-07 8.13234435395753e-07
4096 1 8.18887614976599e-07 8.1888761522303e-07 8.18887615227209e-07
4608 1.125 8.58261906588424e-07 8.58261906718732e-07 8.58261906483537e-07
5120 1.25 8.46154068846892e-07 8.46154068551762e-07 8.46154068546971e-07
5632 1.375 7.93648269276988e-07 7.93648269732017e-07 7.93648269478062e-07
6144 1.5 8.05214173169144e-07 8.05214173437749e-07 8.05214171308117e-07
6656 1.625 8.99513809465967e-07 8.99513809438232e-07 8.9951380935114e-07
7168 1.75 9.54645581406706e-07 9.54645580755069e-07 9.54645579827854e-07
7680 1.875 9.36098730675035e-07 9.36098730641512e-07 9.36098731524138e-07
8192 2 8.66471768364951e-07 8.66471767210303e-07 8.66471767633823e-07
8704 2.125 8.8402403016735e-07 8.84024028888437e-07 8.84024027726601e-07
