# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
107008 26.125 0.00312724159289312
107520 26.25 0.00312300914687651
108032 26.375 0.0031187780318332
108544 26.5 0.00311454732217416
109056 26.625 0.00311031589087342
109568 26.75 0.00310608268934035
110080 26.875 0.00310184698349674
110592 27 0.00309760849021737
111104 27.125 0.00309336739185036
111616 27.25 0.00308912423567406
112128 27.375 0.0030848797442459
112640 27.5 0.00308063457910639
113152 27.625 0.00307638912909847
113664 27.75 0.00307214341885526
114176 27.875 0.00306789720329459
114688 28 0.00306365021562323
115200 28.125 0.00305940243613542
115712 28.25 0.0030551542361749
116224 28.375 0.0030509063382373
116736 28.5 0.00304665964133366
117248 28.625 0.00304241500997471
117760 28.75 0.00303817310860749
118272 28.875 0.00303393432687034
118784 29 0.00302969875790079
119296 29.125 0.00302546628248234
119808 29.25 0.00302123687526737
120320 29.375 0.00301701080132122
120832 29.5 0.00301278874668012
121344 29.625 0.00300857178638821
121856 29.75 0.0030043611496034
122368 29.875 0.00300015791132425
122880 30 0.00299596275071551
123392 30.125 0.00299177583415004
123904 30.25 0.00298759687405912
124416 30.375 0.00298342530766795
124928 30.5 0.00297926045964791
125440 30.625 0.0029751018045395
125952 30.75 0.0029709491471539
126464 30.875 0.00296680262125981
126976 31 0.00296266250476258
127488 31.125 0.00295852894965653
128000 31.25 0.00295440177738002
128512 31.375 0.00295028044834248
129024 31.5 0.00294616420512012
129536 31.625 0.00294205229371697
130048 31.75 0.00293794414896419
130560 31.875 0.00293383948852429
131072 32 0.00292973831789557
131584 32.125 0.002925640857654
132096 32.25 0.0029215473747936
132608 32.375 0.00291745799758424
133120 32.5 0.00291337265538544
133632 32.625 0.00290929105372404
134144 32.75 0.00290521284351994
134656 32.875 0.00290113787088273
135168 33 0.00289706630532322
135680 33.125 0.00289299864638227
136192 33.25 0.00288893561288627
136704 33.375 0.00288487788234933
137216 33.5 0.00288082595470346
137728 33.625 0.00287678017956587
138240 33.75 0.00287274081215618
138752 33.875 0.00286870804474529
139264 34 0.00286468204775171
139776 34.125 0.00286066306110647
140288 34.25 0.00285665148902402
140800 34.375 0.00285264789083952
141312 34.5 0.00284865282635765
141824 34.625 0.00284466665453857
142336 34.75 0.00284068944782459
142848 34.875 0.00283672108844609
143360 35 0.00283276144504266
143872 35.125 0.0028288104636726
144384 35.25 0.00282486811891491
144896 35.375 0.00282093433367851
145408 35.5 0.00281700899917671
145920 35.625 0.00281309208042739
146432 35.75 0.00280918365921275
146944 35.875 0.0028052838201706
147456 36 0.00280139247114046
147968 36.125 0.00279750928313452
148480 36.25 0.0027936338233044
148992 36.375 0.00278976576546384
149504 36.5 0.00278590500408475
150016 36.625 0.0027820516109877
150528 36.75 0.00277820571491782
151040 36.875 0.00277436741179853
151552 37 0.0027705367350427
152064 37.125 0.00276671364337671
152576 37.25 0.00276289799689182
153088 37.375 0.00275908955999146
153600 37.5 0.00275528809392127
154112 37.625 0.00275149352424197
