# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
106496 26 1.1e-08
107008 26.125 1.1e-08
107520 26.25 1.1e-08
108032 26.375 1.1e-08
108544 26.5 1.1e-08
109056 26.625 1.1e-08
109568 26.75 1.1e-08
110080 26.875 1.1e-08
110592 27 1.1e-08
111104 27.125 1.1e-08
111616 27.25 1.1e-08
112128 27.375 1.1e-08
112640 27.5 1.1e-08
113152 27.625 1.1e-08
113664 27.75 1.1e-08
114176 27.875 1.1e-08
114688 28 1.1e-08
115200 28.125 1.1e-08
115712 28.25 1.1e-08
116224 28.375 1.1e-08
116736 28.5 1.1e-08
117248 28.625 1.1e-08
117760 28.75 1.1e-08
118272 28.875 1.1e-08
118784 29 1.1e-08
119296 29.125 1.1e-08
119808 29.25 1.1e-08
120320 29.375 1.1e-08
120832 29.5 1.1e-08
121344 29.625 1.1e-08
121856 29.75 1.1e-08
122368 29.875 1.1e-08
122880 30 1.1e-08
123392 30.125 1.1e-08
123904 30.25 1.1e-08
124416 30.375 1.1e-08
124928 30.5 1.1e-08
125440 30.625 1.1e-08
125952 30.75 1.1e-08
126464 30.875 1.1e-08
126976 31 1.1e-08
127488 31.125 1.1e-08
128000 31.25 1.1e-08
128512 31.375 1.1e-08
129024 31.5 1.1e-08
129536 31.625 1.1e-08
130048 31.75 1.1e-08
130560 31.875 1.1e-08
131072 32 1.1e-08
131584 32.125 1.1e-08
132096 32.25 1.1e-08
132608 32.375 1.1e-08
133120 32.5 1.1e-08
133632 32.625 1.1e-08
134144 32.75 1.1e-08
134656 32.875 1.1e-08
135168 33 1.1e-08
135680 33.125 1.1e-08
136192 33.25 1.1e-08
136704 33.375 1.1e-08
137216 33.5 1.1e-08
137728 33.625 1.1e-08
138240 33.75 1.1e-08
138752 33.875 1.1e-08
139264 34 1.1e-08
139776 34.125 1.1e-08
140288 34.25 1.1e-08
140800 34.375 1.1e-08
141312 34.5 1.1e-08
141824 34.625 1.1e-08
142336 34.75 1.1e-08
142848 34.875 1.1e-08
143360 35 1.1e-08
143872 35.125 1.1e-08
144384 35.25 1.1e-08
144896 35.375 1.1e-08
145408 35.5 1.1e-08
145920 35.625 1.1e-08
146432 35.75 1.1e-08
146944 35.875 1.1e-08
147456 36 1.1e-08
147968 36.125 1.1e-08
148480 36.25 1.1e-08
148992 36.375 1.1e-08
149504 36.5 1.1e-08
150016 36.625 1.1e-08
150528 36.75 1.1e-08
151040 36.875 1.1e-08
151552 37 1.1e-08
152064 37.125 1.1e-08
152576 37.25 1.1e-08
153088 37.375 1.1e-08
153600 37.5 1.1e-08
154112 37.625 1.1e-08
154624 37.75 1.1e-08
155136 37.875 1.1e-08
155648 38 1.1e-08
156160 38.125 1.1e-08
156672 38.25 1.1e-08
157184 38.375 1.1e-08
157696 38.5 1.1e-08
158208 38.625 1.1e-08
158720 38.75 1.1e-08
159232 38.875 1.1e-08
159744 39 1.1e-08
160256 39.125 1.1e-08
160768 39.25 1.1e-08
161280 39.375 1.1e-08
161792 39.5 1.1e-08
162304 39.625 1.1e-08
162816 39.75 1.1e-08
163328 39.875 1.1e-08
163840 40 1.1e-08
164352 40.125 1.1e-08
164864 40.25 1.1e-08
165376 40.375 1.1e-08
165888 40.5 1.1e-08
166400 40.625 1.1e-08
166912 40.75 1.1e-08
167424 40.875 1.1e-08
167936 41 1.1e-08
168448 41.125 1.1e-08
168960 41.25 1.1e-08
169472 41.375 1.1e-08
169984 41.5 1.1e-08
170496 41.625 1.1e-08
171008 41.75 1.1e-08
171520 41.875 1.1e-08
172032 42 1.1e-08
172544 42.125 1.1e-08
173056 42.25 1.1e-08
173568 42.375 1.1e-08
174080 42.5 1.1e-08
174592 42.625 1.1e-08
175104 42.75 1.1e-08
175616 42.875 1.1e-08
176128 43 1.1e-08
176640 43.125 1.1e-08
177152 43.25 1.1e-08
177664 43.375 1.1e-08
178176 43.5 1.1e-08
178688 43.625 1.1e-08
179200 43.75 1.1e-08
179712 43.875 1.1e-08
180224 44 1.1e-08
180736 44.125 1.1e-08
181248 44.25 1.1e-08
181760 44.375 1.1e-08
182272 44.5 1.1e-08
182784 44.625 1.1e-08
183296 44.75 1.1e-08
183808 44.875 1.1e-08
184320 45 1.1e-08
184832 45.125 1.1e-08
185344 45.25 1.1e-08
185856 45.375 1.1e-08
186368 45.5 1.1e-08
186880 45.625 1.1e-08
187392 45.75 1.1e-08
187904 45.875 1.1e-08
188416 46 1.1e-08
188928 46.125 1.1e-08
189440 46.25 1.1e-08
189952 46.375 1.1e-08
190464 46.5 1.1e-08
190976 46.625 1.1e-08
191488 46.75 1.1e-08
192000 46.875 1.1e-08
192512 47 1.1e-08
193024 47.125 1.1e-08
193536 47.25 1.1e-08
194048 47.375 1.1e-08
194560 47.5 1.1e-08
195072 47.625 1.1e-08
195584 47.75 1.1e-08
196096 47.875 1.1e-08
196608 48 1.1e-08
197120 48.125 1.1e-08
197632 48.25 1.1e-08
198144 48.375 1.1e-08
198656 48.5 1.1e-08
199168 48.625 1.1e-08
199680 48.75 1.1e-08
200192 48.875 1.1e-08
200704 49 1.1e-08
201216 49.125 1.1e-08
201728 49.25 1.1e-08
202240 49.375 1.1e-08
202752 49.5 1.1e-08
203264 49.625 1.1e-08
203776 49.75 1.1e-08
204288 49.875 1.1e-08
204800 50 1.1e-08
205312 50.125 1.1e-08
205824 50.25 1.1e-08
206336 50.375 1.1e-08
206848 50.5 1.1e-08
207360 50.625 1.1e-08
207872 50.75 1.1e-08
208384 50.875 1.1e-08
208896 51 1.1e-08
209408 51.125 1.1e-08
209920 51.25 1.1e-08
210432 51.375 1.1e-08
210944 51.5 1.1e-08
211456 51.625 1.1e-08
211968 51.75 1.1e-08
212480 51.875 1.1e-08
212992 52 1.1e-08
213504 52.125 1.1e-08
214016 52.25 1.1e-08
214528 52.375 1.1e-08
215040 52.5 1.1e-08
215552 52.625 1.1e-08
216064 52.75 1.1e-08
216576 52.875 1.1e-08
217088 53 1.1e-08
217600 53.125 1.1e-08
218112 53.25 1.1e-08
218624 53.375 1.1e-08
219136 53.5 1.1e-08
219648 53.625 1.1e-08
220160 53.75 1.1e-08
220672 53.875 1.1e-08
221184 54 1.1e-08
221696 54.125 1.1e-08
222208 54.25 1.1e-08
222720 54.375 1.1e-08
223232 54.5 1.1e-08
223744 54.625 1.1e-08
224256 54.75 1.1e-08
224768 54.875 1.1e-08
225280 55 1.1e-08
225792 55.125 1.1e-08
226304 55.25 1.1e-08
226816 55.375 1.1e-08
227328 55.5 1.1e-08
227840 55.625 1.1e-08
228352 55.75 1.1e-08
228864 55.875 1.1e-08
229376 56 1.1e-08
229888 56.125 1.1e-08
230400 56.25 1.1e-08
230912 56.375 1.1e-08
231424 56.5 1.1e-08
231936 56.625 1.1e-08
232448 56.75 1.1e-08
232960 56.875 1.1e-08
233472 57 1.1e-08
233984 57.125 1.1e-08
234496 57.25 1.1e-08
235008 57.375 1.1e-08
235520 57.5 1.1e-08
236032 57.625 1.1e-08
236544 57.75 1.1e-08
237056 57.875 1.1e-08
237568 58 1.1e-08
238080 58.125 1.1e-08
238592 58.25 1.1e-08
239104 58.375 1.1e-08
239616 58.5 1.1e-08
240128 58.625 1.1e-08
240640 58.75 1.1e-08
241152 58.875 1.1e-08
241664 59 1.1e-08
242176 59.125 1.1e-08
242688 59.25 1.1e-08
243200 59.375 1.1e-08
243712 59.5 1.1e-08
244224 59.625 1.1e-08
244736 59.75 1.1e-08
245248 59.875 1.1e-08
245760 60 1.1e-08
246272 60.125 1.1e-08
246784 60.25 1.1e-08
247296 60.375 1.1e-08
247808 60.5 1.1e-08
248320 60.625 1.1e-08
248832 60.75 1.1e-08
249344 60.875 1.1e-08
249856 61 1.1e-08
250368 61.125 1.1e-08
250880 61.25 1.1e-08
251392 61.375 1.1e-08
251904 61.5 1.1e-08
252416 61.625 1.1e-08
252928 61.75 1.1e-08
253440 61.875 1.1e-08
253952 62 1.1e-08
254464 62.125 1.1e-08
254976 62.25 1.1e-08
255488 62.375 1.1e-08
256000 62.5 1.1e-08
256512 62.625 1.1e-08
257024 62.75 1.1e-08
257536 62.875 1.1e-08
258048 63 1.1e-08
258560 63.125 1.1e-08
259072 63.25 1.1e-08
259584 63.375 1.1e-08
260096 63.5 1.1e-08
260608 63.625 1.1e-08
261120 63.75 1.1e-08
261632 63.875 1.1e-08
262144 64 1.1e-08
262656 64.125 1.1e-08
263168 64.25 1.1e-08
