# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 3.50654888153076 0 1.2899444103241 0 2.28165197372437 0 0 0 0 0 0 0 0 0 35.1889572601731 449032.749382738 0 449032.749382738 160 2030171 2603 2027568 0 0 0 0 3.50530600547791 1718189069.634 266
512 0.125 105.899593163623 105.899593163623 7.87145805358887 4.24930810928345 5.54147005081177 0 2.35037302970886 3 575553.463552544 575553.463552544 2445704 2445704 471432.98355407 471432.98355407 2003264 2003264 78.1119901832435 877850.013631883 7644.6745557359 870205.339076147 186 2045580 18012 2027568 0 0 0 0 7.86245536804199 1718189073.99891 905
1024 0.25 87.1799979893656 85.6402907603519 13.9456188678741 10.3234689235687 11.4958798885345 0 2.49630665779114 6 473814.377339074 473814.377339074 4891408 4891408 388099.00331593 388099.00331593 4006528 4006528 99.6024482844199 841877.039714646 7861.65389962968 834015.385815016 284 2078424 19464 2058960 0 0 0 0 13.9311103820801 1718189080.07307 1544
1536 0.375 83.0439759452008 84.3463533283494 19.8785970211029 16.2564470767975 17.3276762962341 0 2.57116794586182 9 451335.520322403 451335.520322403 7337112 7337112 369686.683173082 369686.683173082 6009792 6009792 119.956687409697 815264.849168131 8120.98933457279 807143.859833558 310 2079884 20924 2058960 0 0 0 0 19.8565571308136 1718189086.00605 2183
2048 0.5 79.2095349734712 82.8745453836348 26.3466868400574 22.724536895752 23.6086585521698 0 2.81551003456116 12 430495.72560613 430495.72560613 9782816 9782816 352616.910820213 352616.910820213 8013056 8013056 149.742791852717 1123614.03043558 8107.65911302065 1115506.37132256 492 4108928 22400 4086528 0 0 0 0 26.3177971839905 1718189092.47414 2822
2560 0.625 75.4578578319639 81.158226080132 33.4401180744171 29.8179681301117 30.5744993686676 0 2.88663458824158 15 410105.743846812 410105.743846812 12228520 12228520 335915.578026425 335915.578026425 10016320 10016320 179.367896701931 1434299.33359713 8244.99084703604 1426054.3427501 518 4110364 23836 4086528 0 0 0 0 33.4024589061737 1718189099.56757 3461
3072 0.75 72.1025393180831 79.3846623019667 41.0688199996948 37.4466700553894 38.0332891941071 0 3.09230279922485 18 391869.930711985 391869.930711985 14674224 14674224 320978.714054445 320978.714054445 12019584 12019584 189.752645217669 1359628.76489433 8273.67653583637 1351355.0883585 616 4143237 25317 4117920 0 0 0 0 41.024133682251 1718189107.19627 4100
3584 0.875 70.9086982519102 78.0586348253397 48.0454728603363 44.4233229160309 44.8949220180511 0 3.1723837852478 21 385381.526554422 385381.526554422 17119928 17119928 315664.094433144 315664.094433144 14022848 14022848 202.504270503137 1315480.11997607 8432.49365902327 1307047.62631705 642 4144695 26775 4117920 0 0 0 0 47.9936301708221 1718189114.17293 4739
4096 1 68.5386969731027 76.7075861908143 56.1472220420837 52.5250720977783 52.8032691478729 0 3.41811847686768 24 372500.8118709 372500.8118709 19565632 19565632 305113.565006946 305113.565006946 16026112 16026112 221.893077885331 1537490.85667469 8387.97701025022 1529102.87966444 824 6173730 28242 6145488 0 0 0 0 56.0876522064209 1718189122.27468 5378
4608 1.125 66.9611125360931 75.5013634355697 64.1050159931183 60.4828660488129 60.6365528106689 0 3.48948645591736 27 363926.80171994 363926.80171994 22011336 22011336 298090.635874453 298090.635874453 18029376 18029376 243.912060038814 1780302.5937382 8483.87266986069 1771818.72106834 850 6175123 29635 6145488 0 0 0 0 64.0383203029633 1718189130.23247 6017
5120 1.25 66.2410780852706 74.4935117090613 71.5558269023895 67.9336769580841 67.9287617206573 0 3.67254233360291 30 360013.488083242 360013.488083242 24457040 24457040 294885.260109804 294885.260109804 20032640 20032640 250.340138515616 1707151.0132175 8521.49008947208 1698629.52312803 948 6207993 31113 6176880 0 0 0 0 71.4824271202087 1718189137.68328 6656
5632 1.375 66.5642107234329 73.787971215008 77.9864358901978 74.3642859458923 74.2541701793671 0 3.75454235076904 33 361769.680940317 361769.680940317 26902744 26902744 296323.748957038 296323.748957038 22035904 22035904 259.895751040755 1663666.1162632 8671.4083367866 1654994.70792641 974 6209453 32573 6176880 0 0 0 0 77.9058561325073 1718189144.11389 7295
6144 1.5 66.681245176433 73.1901527237685 84.6044409275055 80.9822909832001 80.6685273647308 0 4.01713085174561 36 362405.751228851 362405.751228851 29348448 29348448 296844.750971382 296844.750971382 24039168 24039168 272.871846109058 1830846.35499973 8599.02014111831 1822247.33485862 1156 8238492 34044 8204448 0 0 0 0 84.5171048641205 1718189150.73189 7934
6656 1.625 67.0167230397123 72.7219364854505 90.9137949943542 87.2916450500488 86.8491411209106 0 4.08503365516663 39 364229.039122481 364229.039122481 31794152 31794152 298338.197029836 298338.197029836 26042432 26042432 289.815575121035 2027165.2289594 8678.96777890046 2018486.2611805 1182 8239933 35485 8204448 0 0 0 0 90.8187158107758 1718189157.04125 8573
7168 1.75 66.8155578700908 72.2758909598976 97.9115669727325 94.2894170284271 93.7279152870178 0 4.22976994514465 42 363135.726989139 363135.726989139 34239856 34239856 297442.670491266 297442.670491266 28045696 28045696 296.39178716384 1973577.06144445 8786.3433099642 1964790.71813449 1280 8272803 36963 8235840 0 0 0 0 97.8101298809052 1718189164.03902 9212
7680 1.875 66.880403237573 71.9077629181564 104.548574924469 100.926424980164 100.263499975204 0 4.30571484565735 45 363488.154932767 363488.154932767 36685560 36685560 297731.342469585 297731.342469585 30048960 30048960 303.845327191645 1930901.11560829 8918.39709981251 1921982.71850847 1306 8274264 38424 8235840 0 0 0 0 104.43940615654 1718189170.67603 9851
8192 2 66.8749517659332 71.5870962412547 111.285778999329 107.663629055023 106.798427343369 0 4.55560731887817 48 363458.526741666 363458.526741666 39131264 39131264 297707.074165401 297707.074165401 32052224 32052224 313.325120872254 2065999.66099971 8846.86626849758 2057152.79473121 1488 10303300 39892 10263408 0 0 0 0 111.169753074646 1718189177.41323 10490
8704 2.125 67.140995064811 71.3283967700155 117.561480045319 113.939330101013 112.954974651337 0 4.62686443328857 51 364904.44487553 364904.44487553 41576968 41576968 298891.418527808 298891.418527808 34055488 34055488 327.797293360973 2236943.43513894 8918.69139102133 2228024.74374792 1514 10304699 41291 10263408 0 0 0 0 117.437567949295 1718189183.68893 11129
9216 2.25 67.2196643137592 71.094594518159 124.122602939606 120.5004529953 119.396229982376 0 4.76945734024048 54 365332.004201818 365332.004201818 44022672 44022672 299241.63024853 299241.63024853 36058752 36058752 332.601767618744 2183815.17781238 9005.8487523485 2174809.32906003 1612 10337570 42770 10294800 0 0 0 0 123.991631746292 1718189190.25006 11768
9728 2.375 67.0219677847015 70.8651956081197 131.192262887955 127.570112943649 126.368295431137 0 4.84455227851868 57 364257.543775368 364257.543775368 46468376 46468376 298361.54504945 298361.54504945 38062016 38062016 338.725336484328 2143220.30414785 9126.30534805542 2134093.99879979 1638 10339032 44232 10294800 0 0 0 0 131.053506135941 1718189197.31972 12407
