# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.97859899254493e-05 1.97859899254454e-05 1.97859899254415e-05
1024 1 3.63616640697938e-05 3.63616640697974e-05 3.63616640698012e-05
1536 1.5 5.44927108753653e-05 5.44927108753668e-05 5.44927108753669e-05
2048 2 7.18339336480817e-05 7.18339336480744e-05 7.18339336480652e-05
2560 2.5 8.61324186525581e-05 8.61324186525533e-05 8.6132418652547e-05
3072 3 9.38898836698441e-05 9.3889883669839e-05 9.3889883669833e-05
3584 3.5 9.20602379849273e-05 9.20602379849268e-05 9.20602379849252e-05
4096 4 9.08394640191315e-05 9.08394640191283e-05 9.08394640191299e-05
4608 4.5 8.89060671239089e-05 8.89060671239089e-05 8.89060671239167e-05
5120 5 8.46192158048914e-05 8.46192158048894e-05 8.46192158048988e-05
5632 5.5 8.31999229504192e-05 8.3199922950432e-05 8.31999229504514e-05
6144 6 8.42732501601809e-05 8.42732501601396e-05 8.42732501602058e-05
6656 6.5 8.2509357661164e-05 8.25093576610682e-05 8.25093576611759e-05
7168 7 7.56446686088763e-05 7.56446686089144e-05 7.56446686088103e-05
7680 7.5 6.77601577927772e-05 6.77601577928854e-05 6.77601577928269e-05
8192 8 6.30994031754291e-05 6.30994031757021e-05 6.30994031758308e-05
8704 8.5 6.05737522455776e-05 6.05737522455968e-05 6.05737522457553e-05
9216 9 5.65315878574424e-05 5.65315878574521e-05 5.65315878567014e-05
9728 9.5 5.87695511832923e-05 5.87695511832231e-05 5.87695511836505e-05
10240 10 4.57345592565795e-05 4.57345592565571e-05 4.57345592567005e-05
10752 10.5 3.78101562810307e-05 3.78101562803334e-05 3.78101562795656e-05
11264 11 4.90197599627645e-05 4.90197599646144e-05 4.90197599624443e-05
11776 11.5 4.99295691523465e-05 4.99295691536964e-05 4.99295691522342e-05
12288 12 5.1980356200104e-05 5.19803562006894e-05 5.19803562013743e-05
12800 12.5 6.18847513880045e-05 6.18847513892324e-05 6.18847513904639e-05
13312 13 6.16730187361512e-05 6.16730187347712e-05 6.16730187355305e-05
13824 13.5 5.75219455220424e-05 5.7521945520589e-05 5.75219455220285e-05
14336 14 3.44624618604381e-05 3.44624618597045e-05 3.44624618614294e-05
14848 14.5 3.78476144300325e-05 3.78476144306872e-05 3.7847614431571e-05
15360 15 3.74843788790507e-05 3.74843788787178e-05 3.74843788792079e-05
15872 15.5 3.7225899048478e-05 3.72258990480652e-05 3.72258990488482e-05
16384 16 5.50915320989329e-05 5.50915320991785e-05 5.50915320984588e-05
16896 16.5 7.27931464154692e-05 7.27931464169614e-05 7.27931464141226e-05
17408 17 8.208806625006e-05 8.20880662511667e-05 8.208806624983e-05
17920 17.5 8.22398156755264e-05 8.22398156745097e-05 8.22398156753619e-05
18432 18 7.97619490128384e-05 7.97619490118309e-05 7.97619490130126e-05
18944 18.5 7.10307662703711e-05 7.10307662682274e-05 7.10307662706464e-05
19456 19 5.10138863134318e-05 5.10138863118489e-05 5.10138863126154e-05
19968 19.5 4.04378117936289e-05 4.04378117927932e-05 4.04378117943554e-05
20480 20 4.24911716828734e-05 4.2491171683461e-05 4.24911716840988e-05
20992 20.5 4.89287317170348e-05 4.89287317138703e-05 4.89287317195274e-05
21504 21 5.93475772091989e-05 5.93475772118243e-05 5.9347577208868e-05
22016 21.5 6.76614222997316e-05 6.76614222988758e-05 6.76614222998508e-05
22528 22 7.06273601294157e-05 7.0627360127455e-05 7.06273601275831e-05
23040 22.5 6.63946360841585e-05 6.63946360821832e-05 6.63946360815322e-05
23552 23 5.40189818930334e-05 5.40189818898852e-05 5.40189818925485e-05
24064 23.5 4.65202953155605e-05 4.65202953150578e-05 4.65202953154468e-05
24576 24 4.16085855091409e-05 4.16085855130411e-05 4.1608585511089e-05
25088 24.5 4.64196615868786e-05 4.64196615919928e-05 4.64196615912566e-05
25600 25 4.69309314143182e-05 4.69309314153595e-05 4.69309314168428e-05
26112 25.5 4.58244429958084e-05 4.58244429935951e-05 4.58244429941313e-05
26624 26 4.34800850638468e-05 4.34800850649737e-05 4.34800850637189e-05
27136 26.5 4.08938066216836e-05 4.08938066243816e-05 4.08938066222169e-05
27648 27 4.51829342766287e-05 4.51829342765354e-05 4.51829342759087e-05
28160 27.5 5.33055601234772e-05 5.33055601216447e-05 5.33055601267051e-05
28672 28 6.17226789695514e-05 6.17226789696346e-05 6.1722678974252e-05
29184 28.5 6.53981036425526e-05 6.53981036434752e-05 6.53981036446348e-05
29696 29 6.35696894523895e-05 6.35696894509744e-05 6.35696894503032e-05
30208 29.5 5.6210532909301e-05 5.62105329053207e-05 5.62105329044192e-05
30720 30 4.46634763866454e-05 4.46634763840984e-05 4.46634763808819e-05
