# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.140799999169416
512 0.5 0.14044666030991
1024 1 0.140089360806452
1536 1.5 0.139741005449044
2048 2 0.139393250079039
2560 2.5 0.139049792663697
3072 3 0.138718145324379
3584 3.5 0.138404119710525
4096 4 0.13811205415907
4608 4.5 0.137844931367585
5120 5 0.137592190421773
5632 5.5 0.137346793316231
6144 6 0.137107738999337
6656 6.5 0.136873940404026
7168 7 0.136644100094738
7680 7.5 0.136416869752046
8192 8 0.136194105259626
8704 8.5 0.135975871381056
9216 9 0.135757789071068
9728 9.5 0.135535851169462
10240 10 0.135308003822226
10752 10.5 0.135077862079857
11264 11 0.13484507825572
11776 11.5 0.134606880859651
12288 12 0.134360998119801
12800 12.5 0.134107092459324
13312 13 0.133845926697851
13824 13.5 0.133577166257421
14336 14 0.133298851818963
14848 14.5 0.133009346548722
15360 15 0.132708726263041
15872 15.5 0.132397497483143
16384 16 0.132074761721204
16896 16.5 0.131738840813629
17408 17 0.131389397246175
17920 17.5 0.131027677504753
18432 18 0.130654517409854
18944 18.5 0.130269147271697
19456 19 0.129870370464405
19968 19.5 0.129457957890419
20480 20 0.129027803091738
20992 20.5 0.128577035985786
21504 21 0.128105930387615
22016 21.5 0.127614934334624
22528 22 0.12710440005475
23040 22.5 0.126574688357016
23552 23 0.126026585751846
24064 23.5 0.125461638378912
24576 24 0.124882122168756
25088 24.5 0.124290699829826
25600 25 0.123689693830676
26112 25.5 0.123080524027438
26624 26 0.122464039082894
27136 26.5 0.121841526097728
27648 27 0.121215246035721
28160 27.5 0.120587768731832
28672 28 0.11996081541959
29184 28.5 0.119334855705554
29696 29 0.118709676475843
