# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.08395666421855e-05
512 0.5 3.66069785095039e-05
1024 1 4.30102039690843e-05
1536 1.5 4.61338424451485e-05
2048 2 4.67197225811436e-05
2560 2.5 4.68817647927058e-05
3072 3 4.77925561834429e-05
3584 3.5 4.90855909788236e-05
4096 4 4.98658365401631e-05
4608 4.5 5.02324418051428e-05
5120 5 5.09046168051987e-05
5632 5.5 5.20602749804956e-05
6144 6 5.31254962123396e-05
6656 6.5 5.38205913226523e-05
7168 7 5.46377594006956e-05
7680 7.5 5.59524285327764e-05
8192 8 5.74445123669544e-05
8704 8.5 5.8699549995197e-05
9216 9 5.98667773890508e-05
9728 9.5 6.12655853775907e-05
10240 10 6.28515017978944e-05
10752 10.5 6.44020211343459e-05
11264 11 6.58922804140895e-05
11776 11.5 6.7377726997542e-05
12288 12 6.88574913970704e-05
12800 12.5 7.03103634761361e-05
13312 13 7.17836011840049e-05
13824 13.5 7.3347340348849e-05
14336 14 7.49580236027544e-05
14848 14.5 7.64515414549683e-05
15360 15 7.77132282261878e-05
15872 15.5 7.882403348297e-05
16384 16 7.99758659761752e-05
16896 16.5 8.12493363176057e-05
17408 17 8.25353276432461e-05
17920 17.5 8.36688443644369e-05
18432 18 8.45796054649453e-05
18944 18.5 8.53265765552601e-05
19456 19 8.6054368948052e-05
19968 19.5 8.68889585473006e-05
20480 20 8.78451576718866e-05
20992 20.5 8.87487233451767e-05
21504 21 8.94675231801322e-05
22016 21.5 9.0045676394298e-05
22528 22 9.07202179873382e-05
23040 22.5 9.16449148921703e-05
23552 23 9.27378834300863e-05
24064 23.5 9.38042782086318e-05
24576 24 9.46913218853315e-05
