# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
101376 99 0.00089566727603473
101888 99.5 0.00089854039486642
102400 100 0.000901502052669245
102912 100.5 0.000904555624075757
103424 101 0.000907701830456827
103936 101.5 0.000910938519223625
104448 102 0.000914262722158657
104960 102.5 0.000917672508221922
105472 103 0.000921166224556968
105984 103.5 0.000924740218901611
106496 104 0.000928388146444603
107008 104.5 0.000932102894486391
107520 105 0.00093587889489693
108032 105.5 0.000939712393613263
108544 106 0.000943599959891928
109056 106.5 0.000947537338175615
109568 107 0.000951519800567741
110080 107.5 0.00095554332351448
110592 108 0.000959605478270345
111104 108.5 0.000963705332996356
111616 109 0.000967842494396639
112128 109.5 0.00097201612992352
112640 110 0.000976224959475863
113152 110.5 0.000980468307157811
113664 111 0.00098474671307677
114176 111.5 0.000989061072166258
114688 112 0.000993411273936783
115200 112.5 0.000997795953759182
115712 113 0.00100221338256131
116224 113.5 0.00100666205997124
116736 114 0.00101114042871552
117248 114.5 0.00101564654502345
117760 115 0.00102017826615
118272 115.5 0.00102473360409375
118784 116 0.00102931076514293
119296 116.5 0.0010339080290964
119808 117 0.0010385239294461
120320 117.5 0.00104315753065928
120832 118 0.00104780807295037
121344 118.5 0.00105247418076947
121856 119 0.00105715364332932
122368 119.5 0.001061844126818
122880 120 0.00106654383404788
123392 120.5 0.00107125128731435
123904 121 0.00107596465636409
124416 121.5 0.00108068161949217
124928 122 0.00108539983953522
125440 122.5 0.00109011752396325
125952 123 0.00109483380994453
126464 123.5 0.00109954840298612
126976 124 0.00110426066354422
127488 124.5 0.00110896948558911
128000 125 0.00111367449710784
128512 125.5 0.00111837687018723
129024 126 0.00112307807362226
129536 126.5 0.00112777804925289
130048 127 0.0011324753792118
130560 127.5 0.0011371689078689
131072 128 0.00114185798564498
131584 128.5 0.00114654086399692
132096 129 0.00115121362557186
132608 129.5 0.00115587074001462
133120 130 0.00116050593816948
133632 130.5 0.00116511234782818
134144 131 0.001169682363295
134656 131.5 0.00117420776114879
135168 132 0.00117867983504762
135680 132.5 0.00118308965377238
136192 133 0.00118742875478946
136704 133.5 0.00119168971848888
137216 134 0.00119586581812393
137728 134.5 0.00119995023056876
138240 135 0.00120393617367263
138752 135.5 0.00120783079901445
139264 136 0.00121164073304195
139776 136.5 0.00121535877571018
140288 137 0.00121897607391139
140800 137.5 0.00122248350047336
141312 138 0.00122587440468173
141824 138.5 0.00122914417082097
142336 139 0.00123228081898347
142848 139.5 0.00123528240228436
143360 140 0.00123814810207725
143872 140.5 0.00124087652102287
144384 141 0.00124346690995983
144896 141.5 0.00124591868769962
145408 142 0.00124822961550627
145920 142.5 0.00125039504324926
146432 143 0.00125240930580432
146944 143.5 0.00125426734859617
147456 144 0.00125596474877642
147968 144.5 0.00125749712440109
148480 145 0.00125882881138341
148992 145.5 0.00125985549469385
