# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0321608114404907 0.0321608114404907 0.0321608114404907
1024 1 0.0299981951793546 0.0299981951793546 0.0299981951793545
1536 1.5 0.0279517629832085 0.0279517629832085 0.0279517629832085
2048 2 0.026025871833763 0.026025871833763 0.026025871833763
2560 2.5 0.0243505102446799 0.0243505102446799 0.0243505102446799
3072 3 0.0233679637551938 0.0233679637551938 0.0233679637551938
3584 3.5 0.0224653583223997 0.0224653583223997 0.0224653583223997
4096 4 0.0215986776261466 0.0215986776261466 0.0215986776261466
4608 4.5 0.0206631098113462 0.0206631098113462 0.0206631098113462
5120 5 0.0195598456549362 0.0195598456549363 0.0195598456549363
5632 5.5 0.0183539019597901 0.0183539019597902 0.0183539019597902
6144 6 0.017076109556776 0.017076109556776 0.0170761095567761
6656 6.5 0.0176369650100489 0.0176369650100489 0.0176369650100489
7168 7 0.0185765531820056 0.0185765531820055 0.0185765531820055
7680 7.5 0.0194715016131741 0.019471501613174 0.019471501613174
8192 8 0.0203204788332549 0.0203204788332548 0.0203204788332548
8704 8.5 0.0211258260067005 0.0211258260067004 0.0211258260067005
9216 9 0.0218947756464638 0.0218947756464637 0.0218947756464638
9728 9.5 0.0226330862555719 0.0226330862555718 0.0226330862555719
10240 10 0.0233446786357473 0.0233446786357472 0.0233446786357473
10752 10.5 0.0240317612554063 0.0240317612554064 0.0240317612554061
11264 11 0.0246959052607869 0.024695905260787 0.0246959052607869
11776 11.5 0.0253399661506196 0.0253399661506197 0.0253399661506198
12288 12 0.0259661093820991 0.0259661093820992 0.0259661093820991
12800 12.5 0.0265737224119263 0.0265737224119262 0.0265737224119262
13312 13 0.0271603327214944 0.0271603327214944 0.0271603327214943
13824 13.5 0.0277231997590507 0.027723199759051 0.0277231997590506
14336 14 0.0282584771873674 0.0282584771873676 0.0282584771873673
14848 14.5 0.0287606645472968 0.0287606645472968 0.0287606645472967
15360 15 0.0292257010510379 0.029225701051038 0.0292257010510376
15872 15.5 0.0296536687404257 0.0296536687404259 0.0296536687404254
16384 16 0.0300460874924302 0.0300460874924305 0.0300460874924303
16896 16.5 0.030402490556224 0.0304024905562244 0.0304024905562243
17408 17 0.0307210396029516 0.0307210396029518 0.0307210396029517
17920 17.5 0.0310073543349707 0.0310073543349703 0.0310073543349705
18432 18 0.0312653978924597 0.0312653978924592 0.0312653978924592
18944 18.5 0.031493878629792 0.0314938786297922 0.0314938786297918
19456 19 0.0316956717169099 0.0316956717169104 0.0316956717169102
19968 19.5 0.0318733333129611 0.0318733333129612 0.0318733333129613
20480 20 0.032025479788325 0.032025479788325 0.0320254797883251
20992 20.5 0.0321487866927207 0.0321487866927208 0.0321487866927208
21504 21 0.0322408109361148 0.032240810936115 0.0322408109361147
22016 21.5 0.0322965123880437 0.0322965123880439 0.0322965123880433
22528 22 0.0323139430351876 0.0323139430351877 0.0323139430351872
23040 22.5 0.0322944106666289 0.032294410666629 0.0322944106666286
23552 23 0.0322406861214058 0.0322406861214062 0.0322406861214059
24064 23.5 0.0321605532077535 0.0321605532077538 0.0321605532077538
24576 24 0.0320556425774353 0.0320556425774353 0.0320556425774354
25088 24.5 0.0319249222077654 0.0319249222077657 0.0319249222077656
25600 25 0.0317683601717303 0.031768360171731 0.031768360171731
26112 25.5 0.0315853931757899 0.0315853931757897 0.0315853931757902
26624 26 0.0315460806531518 0.031546080653152 0.031546080653152
27136 26.5 0.0323089311376415 0.0323089311376415 0.0323089311376418
27648 27 0.0330268591948358 0.0330268591948354 0.0330268591948355
28160 27.5 0.0336947908214914 0.0336947908214913 0.0336947908214911
28672 28 0.0343099908840543 0.0343099908840546 0.0343099908840548
29184 28.5 0.0348521879433282 0.0348521879433281 0.0348521879433282
29696 29 0.0353319205058072 0.0353319205058064 0.0353319205058058
30208 29.5 0.035803459614645 0.0358034596146444 0.0358034596146445
30720 30 0.0361931665964319 0.0361931665964324 0.0361931665964335
31232 30.5 0.0365013357006991 0.0365013357006996 0.0365013357007002
31744 31 0.0367372533458115 0.0367372533458113 0.0367372533458111
32256 31.5 0.0369010992032069 0.0369010992032064 0.0369010992032065
32768 32 0.0369650408395148 0.0369650408395144 0.036965040839515
33280 32.5 0.0369608944555143 0.0369608944555144 0.0369608944555149
33792 33 0.0369005633226405 0.0369005633226402 0.0369005633226404
34304 33.5 0.0367961223138828 0.0367961223138817 0.0367961223138825
34816 34 0.0366590848132297 0.036659084813229 0.0366590848132304
35328 34.5 0.0364981828090199 0.0364981828090202 0.0364981828090211
35840 35 0.0363168767555676 0.0363168767555677 0.0363168767555682
36352 35.5 0.0361101634242319 0.0361101634242307 0.0361101634242318
36864 36 0.0358753411980368 0.0358753411980359 0.0358753411980368
37376 36.5 0.0356153056501956 0.035615305650196 0.0356153056501962
37888 37 0.0353355648420512 0.0353355648420514 0.0353355648420519
38400 37.5 0.0350393324747212 0.0350393324747203 0.035039332474722
38912 38 0.0347291711539593 0.0347291711539586 0.0347291711539598
39424 38.5 0.0344504190377569 0.0344504190377571 0.0344504190377577
39936 39 0.0342589535204582 0.0342589535204575 0.0342589535204577
40448 39.5 0.0341291755803134 0.0341291755803128 0.0341291755803133
40960 40 0.0339781770009973 0.0339781770009976 0.0339781770009978
41472 40.5 0.0338081304983939 0.0338081304983945 0.0338081304983944
41984 41 0.0336193581049633 0.0336193581049635 0.0336193581049635
42496 41.5 0.0334122347085249 0.033412234708525 0.0334122347085249
43008 42 0.0331881183538777 0.033188118353878 0.0331881183538779
43520 42.5 0.0329481614938801 0.0329481614938802 0.0329481614938801
44032 43 0.032692923177001 0.0326929231770005 0.0326929231770007
44544 43.5 0.0324214764271887 0.0324214764271885 0.0324214764271885
45056 44 0.0321332232112033 0.0321332232112034 0.0321332232112035
45568 44.5 0.0318297999216557 0.0318297999216557 0.031829799921656
46080 45 0.0315167545539337 0.031516754553934 0.0315167545539339
46592 45.5 0.0311938415632068 0.0311938415632074 0.0311938415632065
47104 46 0.0308594615048739 0.0308594615048745 0.0308594615048735
47616 46.5 0.030504948298039 0.0305049482980391 0.0305049482980388
48128 47 0.0300534298492775 0.0300534298492777 0.0300534298492776
48640 47.5 0.0298009247745432 0.0298009247745434 0.0298009247745431
49152 48 0.0295213114047355 0.0295213114047355 0.0295213114047355
49664 48.5 0.0292157221577196 0.0292157221577197 0.0292157221577198
50176 49 0.0288851037681026 0.0288851037681029 0.0288851037681031
50688 49.5 0.0285304232774632 0.0285304232774638 0.0285304232774637
51200 50 0.0281989109158252 0.0281989109158253 0.0281989109158257
51712 50.5 0.0278668889872174 0.0278668889872176 0.0278668889872173
52224 51 0.0275052652573779 0.0275052652573781 0.0275052652573779
52736 51.5 0.0271156193944489 0.0271156193944486 0.0271156193944491
53248 52 0.026678373430087 0.0266783734300865 0.0266783734300869
53760 52.5 0.0261866063096106 0.0261866063096103 0.0261866063096099
54272 53 0.0256667413326671 0.0256667413326667 0.0256667413326667
54784 53.5 0.0251317094768661 0.0251317094768658 0.0251317094768665
55296 54 0.024777111540758 0.0247771115407583 0.0247771115407577
55808 54.5 0.0244753385107369 0.0244753385107371 0.0244753385107367
56320 55 0.024163775628174 0.024163775628174 0.0241637756281739
56832 55.5 0.0238405248685632 0.0238405248685629 0.0238405248685629
57344 56 0.0235061734671919 0.0235061734671917 0.0235061734671916
57856 56.5 0.0231399758057658 0.0231399758057661 0.0231399758057656
58368 57 0.0227233906084522 0.0227233906084528 0.0227233906084518
58880 57.5 0.0222837333139306 0.0222837333139309 0.02228373331393
59392 58 0.0218791342260992 0.0218791342260989 0.0218791342260991
59904 58.5 0.0214915203593643 0.0214915203593638 0.0214915203593642
60416 59 0.0210811763656912 0.0210811763656909 0.0210811763656917
60928 59.5 0.0206497065910072 0.020649706591007 0.0206497065910074
61440 60 0.0201979627408448 0.0201979627408448 0.0201979627408444
61952 60.5 0.0198270504054116 0.0198270504054114 0.0198270504054108
62464 61 0.0194211389998369 0.019421138999836 0.0194211389998363
62976 61.5 0.0190690395248761 0.0190690395248764 0.0190690395248758
63488 62 0.0188075859932744 0.0188075859932742 0.0188075859932744
64000 62.5 0.0185162126769302 0.01851621267693 0.0185162126769303
64512 63 0.0181865739211153 0.0181865739211153 0.0181865739211152
65024 63.5 0.017820250522817 0.017820250522817 0.0178202505228168
65536 64 0.0174205978310342 0.017420597831034 0.0174205978310343
66048 64.5 0.0169898380758145 0.0169898380758138 0.0169898380758142
66560 65 0.0165300482338963 0.0165300482338957 0.0165300482338958
67072 65.5 0.0160412117430996 0.0160412117430993 0.0160412117431
67584 66 0.0155257483507556 0.015525748350755 0.0155257483507559
68096 66.5 0.0149870971933213 0.0149870971933207 0.014987097193321
68608 67 0.0144283002048652 0.0144283002048651 0.0144283002048649
69120 67.5 0.0138520662176595 0.0138520662176595 0.0138520662176594
69632 68 0.0132214037040722 0.0132214037040717 0.0132214037040718
70144 68.5 0.0125677637609691 0.0125677637609691 0.012567763760969
70656 69 0.011935939040501 0.0119359390405009 0.0119359390405004
71168 69.5 0.0113750491661867 0.0113750491661864 0.0113750491661864
71680 70 0.0107944192785203 0.0107944192785203 0.0107944192785203
72192 70.5 0.0102191914033525 0.0102191914033525 0.0102191914033523
72704 71 0.00964283982971139 0.00964283982971098 0.00964283982971119
73216 71.5 0.00906065970769252 0.0090606597076929 0.00906065970769273
73728 72 0.00866545913495158 0.00866545913495211 0.00866545913495219
74240 72.5 0.00825955771395707 0.00825955771395717 0.00825955771395735
74752 73 0.00783407720365966 0.00783407720365938 0.00783407720365949
75264 73.5 0.00739789353725003 0.00739789353725004 0.00739789353725005
75776 74 0.00693551436184236 0.00693551436184289 0.00693551436184333
76288 74.5 0.00647250898135025 0.00647250898135092 0.00647250898135083
76800 75 0.00599645402866208 0.00599645402866194 0.00599645402866167
77312 75.5 0.00550784061363917 0.00550784061363859 0.00550784061363878
77824 76 0.00500379713159719 0.00500379713159689 0.00500379713159745
78336 76.5 0.00449473031317706 0.00449473031317725 0.00449473031317709
78848 77 0.00397326801898769 0.00397326801898769 0.00397326801898738
79360 77.5 0.00344583837609012 0.00344583837609023 0.00344583837609016
79872 78 0.00291892461115973 0.00291892461115972 0.00291892461116017
80384 78.5 0.00238458124007054 0.00238458124007019 0.00238458124007038
80896 79 0.00184032848265452 0.00184032848265436 0.00184032848265427
81408 79.5 0.00131642459292559 0.00131642459292552 0.00131642459292527
81920 80 0.000797713470830641 0.000797713470830911 0.000797713470830645
82432 80.5 0.000278768948845214 0.00027876894884536 0.000278768948845317
82944 81 2.28189501044611e-18 2.52060281735264e-18 2.71605566573482e-18
83456 81.5 2.28467703273654e-18 1.97045195464053e-18 2.26032443943624e-18
83968 82 2.39076220938516e-18 1.97465255534472e-18 2.89906541664115e-18
84480 82.5 3.00620605065236e-18 1.51820103252395e-18 2.50408741618702e-18
84992 83 2.33643343372187e-18 1.54243423747614e-18 2.46792381004274e-18
85504 83.5 2.1919730519183e-18 2.08359129298848e-18 2.059192241282e-18
86016 84 2.12253873440133e-18 1.60733398541865e-18 1.98674069584125e-18
86528 84.5 2.0285526269595e-18 2.17116117141824e-18 2.68127425920521e-18
87040 85 2.54540965806597e-18 1.99186914340294e-18 2.4982835855014e-18
87552 85.5 2.39815332760763e-18 2.19148242560452e-18 2.63315628140064e-18
88064 86 2.34357273955102e-18 1.96086479885537e-18 3.07956129030215e-18
88576 86.5 2.02879175192384e-18 1.82733152875964e-18 2.33802235871879e-18
89088 87 2.12352416752584e-18 1.75965962324824e-18 2.39854528493565e-18
89600 87.5 2.07443561271289e-18 1.86219341449359e-18 1.7889931359195e-18
90112 88 1.93895188728925e-18 1.94338909921875e-18 1.91723573430013e-18
90624 88.5 2.03847131768741e-18 2.31393287674428e-18 1.9631161733944e-18
91136 89 2.23314483874369e-18 2.02177642946321e-18 1.88400914721225e-18
91648 89.5 1.85221865886208e-18 1.84837637833503e-18 2.07934963578817e-18
92160 90 1.7771100034133e-18 1.34390920797343e-18 2.50269445341092e-18
92672 90.5 1.6542852328864e-18 1.32324224486759e-18 2.87516973163868e-18
93184 91 1.92275432563664e-18 1.36999028834936e-18 2.50097602120705e-18
93696 91.5 1.35751756081959e-18 1.35162420007238e-18 2.20940918760027e-18
94208 92 1.71353015212158e-18 1.6218740526027e-18 2.30874658524497e-18
94720 92.5 2.2662293073962e-18 2.08155979266695e-18 2.24952995624602e-18
95232 93 3.03432263372245e-18 1.85375409320692e-18 2.51744011724835e-18
95744 93.5 2.98249053154957e-18 2.11209192803319e-18 2.09868935614253e-18
96256 94 2.32926739275224e-18 2.50415683447191e-18 2.0812823029924e-18
96768 94.5 2.81828447155835e-18 2.41304291528822e-18 2.13521281741578e-18
97280 95 1.96511552210692e-18 2.37924710637611e-18 2.29668351658407e-18
97792 95.5 1.60190281963236e-18 2.4769368531852e-18 2.53984601257562e-18
98304 96 1.76646581125586e-18 2.47113931199916e-18 2.14076538238079e-18
98816 96.5 2.23292925129713e-18 2.49593786655649e-18 2.46174476276731e-18
99328 97 1.96931780120212e-18 1.7799470241114e-18 3.00823823524208e-18
99840 97.5 2.53702261136123e-18 1.54487422408997e-18 2.75994455997726e-18
100352 98 2.7753466587701e-18 1.81970400637584e-18 2.41090346720527e-18
100864 98.5 3.02260444103962e-18 2.28213643551375e-18 2.443968543266e-18
101376 99 3.01452470591795e-18 1.79378940478337e-18 2.22404373506375e-18
101888 99.5 3.67947111844317e-18 1.63012065585116e-18 2.40745511591367e-18
102400 100 3.09069483462632e-18 1.67478458490262e-18 1.93990546794506e-18
102912 100.5 2.68033125197659e-18 2.10419599849617e-18 2.11314995964444e-18
103424 101 2.35553111014082e-18 1.73971675737709e-18 2.38309637048315e-18
103936 101.5 2.19830652329997e-18 1.6096045115171e-18 2.81796200139908e-18
104448 102 4.19359307817261e-18 1.83273062742218e-18 3.16505463665121e-18
104960 102.5 3.36146991084313e-18 2.12842303229925e-18 3.04864502093512e-18
105472 103 2.20468766572939e-18 1.51703698013667e-18 2.88006165790233e-18
105984 103.5 2.37112189702328e-18 1.91628862123627e-18 3.87076705219101e-18
