# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000898490228196186
512 0.5 -0.000778412891142116
1024 1 -0.000876615920213056
1536 1.5 -0.000979121969811458
2048 2 -0.00108119231148543
2560 2.5 -0.00117240724331475
3072 3 -0.0012484982133124
3584 3.5 -0.00131527449756889
4096 4 -0.00138306473958741
4608 4.5 -0.00145585274206508
5120 5 -0.00153180320318943
5632 5.5 -0.00160880784996621
6144 6 -0.00168228097078894
6656 6.5 -0.00175735907438134
7168 7 -0.00184115826889422
7680 7.5 -0.0019348448018487
8192 8 -0.00203502755159492
8704 8.5 -0.00213844253025425
9216 9 -0.0022401998930877
9728 9.5 -0.00233343656654386
10240 10 -0.00241908147080853
10752 10.5 -0.00250912071077104
11264 11 -0.00260776225542499
11776 11.5 -0.00269914026636343
12288 12 -0.00276823612036036
12800 12.5 -0.00282620733881278
13312 13 -0.00289718092712943
13824 13.5 -0.00298362153090302
14336 14 -0.00306161588973998
14848 14.5 -0.00311179921970762
15360 15 -0.00314298283914942
15872 15.5 -0.00317942955927867
16384 16 -0.00322967297787432
16896 16.5 -0.00327682837738998
17408 17 -0.00330331950257517
17920 17.5 -0.00331531947054553
18432 18 -0.00333000851572064
18944 18.5 -0.003346533580922
19456 19 -0.00335220545330358
19968 19.5 -0.003349458189126
20480 20 -0.00335952144633364
20992 20.5 -0.00338771311103519
21504 21 -0.00341105385452492
22016 21.5 -0.00340869659572078
22528 22 -0.00339730171482457
23040 22.5 -0.00340912271459488
23552 23 -0.00344775598742514
24064 23.5 -0.00348630408917611
24576 24 -0.00350733511839417
25088 24.5 -0.00352126359005051
25600 25 -0.00354217385965582
26112 25.5 -0.00356765573568486
