# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.06979966000569e-06 1.0697996600057e-06 1.06979966000571e-06
1024 1 1.90879269418748e-06 1.90879269418748e-06 1.9087926941875e-06
1536 1.5 2.78016301891935e-06 2.78016301891925e-06 2.78016301891933e-06
2048 2 3.1493159701081e-06 3.1493159701081e-06 3.14931597010804e-06
2560 2.5 3.30654628776733e-06 3.30654628776734e-06 3.30654628776734e-06
3072 3 3.60839294748125e-06 3.60839294748111e-06 3.60839294748119e-06
3584 3.5 3.70440439823205e-06 3.70440439823195e-06 3.70440439823211e-06
4096 4 3.7251469794819e-06 3.72514697948185e-06 3.725146979482e-06
4608 4.5 3.82837018168128e-06 3.82837018168094e-06 3.82837018168087e-06
5120 5 3.89086503915045e-06 3.89086503914972e-06 3.89086503914947e-06
5632 5.5 3.90346948667479e-06 3.90346948667438e-06 3.90346948667471e-06
6144 6 3.87687788050564e-06 3.87687788050455e-06 3.8768778805055e-06
6656 6.5 3.78944510428774e-06 3.78944510428627e-06 3.78944510428671e-06
7168 7 3.63084313525294e-06 3.63084313525156e-06 3.63084313525274e-06
7680 7.5 3.47908698633521e-06 3.47908698633511e-06 3.47908698633603e-06
8192 8 3.39718000500323e-06 3.39718000500468e-06 3.39718000500616e-06
8704 8.5 3.39170616668641e-06 3.39170616668753e-06 3.39170616668969e-06
9216 9 3.42114307252872e-06 3.42114307252917e-06 3.42114307252842e-06
9728 9.5 3.46655128158464e-06 3.46655128158418e-06 3.46655128158138e-06
10240 10 3.52176383067935e-06 3.5217638306794e-06 3.52176383067387e-06
10752 10.5 3.5810054317279e-06 3.58100543172666e-06 3.58100543172266e-06
11264 11 3.67412510096961e-06 3.67412510097435e-06 3.67412510098128e-06
11776 11.5 3.82590418634691e-06 3.82590418635433e-06 3.82590418635952e-06
12288 12 3.94262673861306e-06 3.94262673861578e-06 3.94262673861685e-06
12800 12.5 3.95782580351574e-06 3.95782580351827e-06 3.95782580351314e-06
13312 13 3.9682263433498e-06 3.96822634334976e-06 3.96822634334348e-06
13824 13.5 3.98984274117676e-06 3.98984274117548e-06 3.98984274117449e-06
14336 14 3.97481065589648e-06 3.97481065589752e-06 3.97481065589971e-06
14848 14.5 3.97762336998809e-06 3.97762336999042e-06 3.97762336999207e-06
15360 15 4.05868262470792e-06 4.05868262471052e-06 4.0586826247132e-06
15872 15.5 4.18653899391927e-06 4.18653899392045e-06 4.18653899392367e-06
16384 16 4.30978414526718e-06 4.30978414526565e-06 4.30978414526499e-06
16896 16.5 4.39791199016588e-06 4.39791199016853e-06 4.3979119901652e-06
17408 17 4.43101235531824e-06 4.43101235531766e-06 4.4310123553186e-06
17920 17.5 4.41741976032549e-06 4.41741976032754e-06 4.41741976032345e-06
18432 18 4.3326648995712e-06 4.33266489958253e-06 4.33266489957373e-06
18944 18.5 4.17190551773905e-06 4.17190551774995e-06 4.1719055177393e-06
19456 19 4.04026234587478e-06 4.04026234587253e-06 4.04026234587514e-06
19968 19.5 3.95855317975425e-06 3.958553179748e-06 3.95855317976185e-06
20480 20 3.86886488212502e-06 3.8688648821178e-06 3.86886488213153e-06
20992 20.5 3.79859362071648e-06 3.79859362070498e-06 3.7985936207164e-06
21504 21 3.75428923987585e-06 3.75428923986897e-06 3.75428923987306e-06
22016 21.5 3.72646448998186e-06 3.7264644899897e-06 3.72646448998037e-06
22528 22 3.71690521271114e-06 3.71690521271652e-06 3.71690521271234e-06
23040 22.5 3.70145754149494e-06 3.70145754149304e-06 3.70145754150452e-06
23552 23 3.69034953911176e-06 3.69034953911504e-06 3.69034953911809e-06
24064 23.5 3.68783178537459e-06 3.68783178537837e-06 3.68783178537485e-06
24576 24 3.69449612702272e-06 3.69449612701364e-06 3.6944961270219e-06
25088 24.5 3.7544301746869e-06 3.75443017466945e-06 3.75443017468558e-06
25600 25 3.88003566725939e-06 3.88003566724807e-06 3.88003566725908e-06
26112 25.5 3.96157022872414e-06 3.96157022872014e-06 3.96157022872079e-06
26624 26 3.95239088295804e-06 3.95239088295878e-06 3.95239088295695e-06
27136 26.5 3.94097585731682e-06 3.94097585732163e-06 3.94097585732612e-06
27648 27 3.93180864671858e-06 3.93180864672095e-06 3.93180864673102e-06
28160 27.5 3.9129646456425e-06 3.91296464564155e-06 3.91296464564642e-06
28672 28 3.93963382336848e-06 3.9396338233689e-06 3.93963382336914e-06
29184 28.5 4.01865939391479e-06 4.01865939390233e-06 4.01865939390432e-06
29696 29 4.09025070753311e-06 4.09025070751162e-06 4.09025070751946e-06
30208 29.5 4.10718689872318e-06 4.10718689871108e-06 4.10718689871849e-06
30720 30 4.07135916061428e-06 4.07135916062246e-06 4.07135916062063e-06
31232 30.5 4.02930985870139e-06 4.02930985871359e-06 4.02930985870835e-06
31744 31 3.99794638152321e-06 3.99794638152582e-06 3.99794638153111e-06
32256 31.5 3.96345928656763e-06 3.96345928656588e-06 3.96345928657153e-06
32768 32 3.93182621695345e-06 3.93182621695178e-06 3.93182621695544e-06
33280 32.5 3.89436311750033e-06 3.89436311749414e-06 3.89436311750285e-06
33792 33 3.84645660524619e-06 3.84645660523443e-06 3.84645660524338e-06
34304 33.5 3.79986503547747e-06 3.7998650354728e-06 3.79986503547967e-06
34816 34 3.7403647595569e-06 3.74036475955792e-06 3.74036475956802e-06
35328 34.5 3.65667188320159e-06 3.65667188320314e-06 3.6566718832088e-06
35840 35 3.56253308594075e-06 3.56253308594006e-06 3.56253308594451e-06
36352 35.5 3.48765721087981e-06 3.48765721087632e-06 3.48765721088275e-06
36864 36 3.4393323298195e-06 3.43933232981253e-06 3.43933232981894e-06
37376 36.5 3.39537110210782e-06 3.39537110210216e-06 3.39537110210597e-06
37888 37 3.36011908079253e-06 3.36011908077875e-06 3.36011908078319e-06
38400 37.5 3.31418324650544e-06 3.31418324649111e-06 3.31418324649291e-06
38912 38 3.23004082897768e-06 3.23004082898108e-06 3.23004082898174e-06
39424 38.5 3.14286916772705e-06 3.1428691677326e-06 3.14286916773905e-06
39936 39 3.06402992115902e-06 3.0640299211558e-06 3.06402992116527e-06
40448 39.5 2.9687794711294e-06 2.96877947112342e-06 2.96877947112995e-06
40960 40 2.87187046290042e-06 2.87187046289112e-06 2.87187046290065e-06
41472 40.5 2.78212485712343e-06 2.78212485712863e-06 2.78212485713497e-06
41984 41 2.70696571593408e-06 2.70696571594114e-06 2.70696571595041e-06
42496 41.5 2.66675917119773e-06 2.6667591711934e-06 2.66675917119916e-06
43008 42 2.66678078460009e-06 2.66678078458135e-06 2.66678078458377e-06
43520 42.5 2.69776181315438e-06 2.69776181313258e-06 2.69776181313862e-06
44032 43 2.72352395852126e-06 2.72352395851388e-06 2.7235239585171e-06
44544 43.5 2.7531814194453e-06 2.7531814194413e-06 2.7531814194512e-06
45056 44 2.79898551430107e-06 2.7989855142911e-06 2.79898551431212e-06
45568 44.5 2.84714314644545e-06 2.84714314643363e-06 2.84714314644606e-06
46080 45 2.87646918044118e-06 2.87646918041871e-06 2.87646918042853e-06
46592 45.5 2.86222151755964e-06 2.86222151753149e-06 2.86222151754637e-06
47104 46 2.82413009347586e-06 2.82413009347174e-06 2.82413009347615e-06
47616 46.5 2.82527742012011e-06 2.82527742013966e-06 2.82527742013091e-06
48128 47 2.86079577148169e-06 2.86079577148955e-06 2.86079577148387e-06
48640 47.5 2.87630013281644e-06 2.87630013280332e-06 2.87630013280788e-06
49152 48 2.89092621013803e-06 2.89092621011935e-06 2.89092621012903e-06
49664 48.5 2.9034159005694e-06 2.90341590055674e-06 2.90341590055713e-06
50176 49 2.88315271268292e-06 2.88315271267605e-06 2.88315271268224e-06
50688 49.5 2.84916156552854e-06 2.84916156552848e-06 2.84916156554329e-06
51200 50 2.82796436458526e-06 2.82796436458589e-06 2.82796436459367e-06
51712 50.5 2.8510514544946e-06 2.85105145448488e-06 2.85105145448468e-06
52224 51 2.8989907501852e-06 2.89899075018471e-06 2.89899075018927e-06
52736 51.5 2.90951708371212e-06 2.9095170837265e-06 2.90951708373458e-06
53248 52 2.89297668225111e-06 2.89297668225919e-06 2.89297668226747e-06
53760 52.5 2.90708064527717e-06 2.90708064526055e-06 2.90708064527207e-06
54272 53 2.93153830528843e-06 2.9315383052724e-06 2.93153830528059e-06
54784 53.5 2.93953742903314e-06 2.93953742903615e-06 2.93953742903493e-06
55296 54 2.94771229163705e-06 2.94771229163512e-06 2.94771229163603e-06
55808 54.5 2.94169422955358e-06 2.94169422954056e-06 2.94169422955376e-06
56320 55 2.91480115269543e-06 2.91480115268616e-06 2.91480115269926e-06
56832 55.5 2.88402330695166e-06 2.88402330695405e-06 2.88402330695806e-06
57344 56 2.87900964781823e-06 2.87900964781523e-06 2.87900964782101e-06
57856 56.5 2.90958741731837e-06 2.90958741732082e-06 2.90958741732275e-06
58368 57 2.9247428495629e-06 2.92474284956826e-06 2.92474284956864e-06
58880 57.5 2.88772568254588e-06 2.88772568254316e-06 2.88772568254964e-06
59392 58 2.84428156308913e-06 2.84428156309185e-06 2.84428156310419e-06
59904 58.5 2.83628928912074e-06 2.83628928912383e-06 2.83628928913666e-06
60416 59 2.83568702549494e-06 2.83568702548968e-06 2.83568702549447e-06
