# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
62464 61 1.00551069890721
62976 61.5 1.00596829799
63488 62 1.00614338246172
64000 62.5 1.00662579976821
64512 63 1.00712682208026
65024 63.5 1.00764722383034
65536 64 1.0081892203922
66048 64.5 1.00874743761433
66560 65 1.00931580632313
67072 65.5 1.00973938091875
67584 66 1.01000936129265
68096 66.5 1.0102911709505
68608 67 1.01058164033415
69120 67.5 1.0071825829008
69632 68 1.00777428874555
70144 68.5 1.00838911062488
70656 69 1.00902695033917
71168 69.5 1.0096879395014
71680 70 1.01037155034966
72192 70.5 1.01107763083511
72704 71 1.01179162941865
73216 71.5 1.01247587219227
73728 72 1.01316957170954
74240 72.5 1.01388081572749
74752 73 1.01460110159092
75264 73.5 1.01531793652286
75776 74 1.01604420513123
76288 74.5 1.01677540505469
76800 75 1.01753854141799
77312 75.5 1.0183547771093
77824 76 1.01918152135491
78336 76.5 1.02001718735714
78848 77 1.02082108627497
79360 77.5 1.0215732893922
79872 78 1.0223218662565
80384 78.5 1.02308165080942
80896 79 1.02377432667463
81408 79.5 1.02020302993546
81920 80 1.02101953314854
82432 80.5 1.02186879866778
82944 81 1.02168568106222
83456 81.5 1.02238929062956
83968 82 1.02048100495143
84480 82.5 1.02147042644043
84992 83 1.02244926467107
85504 83.5 1.0234246955495
86016 84 1.02439003430155
86528 84.5 1.02533795853909
87040 85 1.02630397145914
87552 85.5 1.02726967948439
88064 86 1.02816816011342
88576 86.5 1.02901369381759
89088 87 1.02990635110976
89600 87.5 1.0307530813208
90112 88 1.03155687912441
90624 88.5 1.03233179803437
91136 89 1.03313913673397
91648 89.5 1.033746133155
92160 90 1.03409566274152
92672 90.5 1.03047080543145
93184 91 1.03150052592682
93696 91.5 1.0325626836671
94208 92 1.03345295793088
94720 92.5 1.0344046074011
95232 93 1.03529562094605
95744 93.5 1.0362304430274
96256 94 1.03712576798577
96768 94.5 1.03774366117397
97280 95 1.03881224018123
97792 95.5 1.03998269870799
