# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.50777316093445 0 0.184911489486694 0 2.3821702003479 0 0 0 0 0 0 0 0 0 33.5792703279595 49098.0592610657 0 49098.0592610657 160 427675 2587 425088 0 0 0 0 2.50676846504211 1717436180.86275 266
512 0.5 3353.46093198243 3353.46093198243 3.11299204826355 0.536758899688721 0.722609519958496 0 2.39211559295654 3 445876.165516384 445876.165516384 239328 239328 218913.929639813 218913.929639813 117504 117504 76.138441377017 185247.756271874 7415.13117256937 177832.625099304 186 443009 17921 425088 0 0 0 0 3.10673451423645 1717436181.46796 905
1024 1 3204.6692108206 3204.6692108206 3.69959402084351 1.12336087226868 1.27764058113098 0 2.44580817222595 6 426092.818270707 426092.818270707 478656 478656 209200.806082369 209200.806082369 235008 235008 100.745124162652 185556.416003333 7901.47311926503 177654.942884068 284 458242 19330 438912 0 0 0 0 3.68842577934265 1717436182.05457 1544
1536 1.5 3188.85460110106 3188.85460110106 4.26963114738464 1.69339799880981 1.81708765029907 0 2.45419526100159 9 423990.107762397 423990.107762397 717984 717984 208168.428359877 208168.428359877 352512 352512 124.768429332091 187329.603143006 8367.63956455284 178961.963578453 310 459634 20722 438912 0 0 0 0 4.25372076034546 1717436182.6246 2183
2048 2 3144.23808968021 3144.23808968021 4.86613607406616 2.28990292549133 2.35420346260071 0 2.56345582008362 12 418057.896403881 418057.896403881 957312 957312 205255.862494324 205255.862494324 470016 470016 163.220939179896 228875.168615528 8741.87464256423 220133.293972964 492 886152 22152 864000 0 0 0 0 4.84534525871277 1717436183.22111 2822
2560 2.5 3115.71663840968 3115.71663840968 5.46481418609619 2.88858103752136 2.89468216896057 0 2.57180309295654 15 414265.684242951 414265.684242951 1196640 1196640 203393.982155384 203393.982155384 587520 587520 199.989726820666 345251.914720292 9082.41282718834 336169.501893104 518 887544 23544 864000 0 0 0 0 5.43930649757385 1717436183.81979 3461
3072 3 3113.04149665203 3113.04149665203 6.04550909996033 3.4692759513855 3.44299530982971 0 2.62736034393311 18 413909.997394854 413909.997394854 1435968 1435968 203219.348901444 203219.348901444 705024 705024 221.324475660547 343500.581395626 9521.94762386112 333978.633771765 616 902797 24973 877824 0 0 0 0 6.01521778106689 1717436184.40048 4100
3584 3.5 3099.73239938231 3099.73239938231 6.64110016822815 4.06486701965332 4.00714468955994 0 2.6356565952301 21 412140.419821872 412140.419821872 1675296 1675296 202350.531031677 202350.531031677 822528 822528 242.221254370855 343206.636300883 9934.48834345166 333272.147957432 642 904191 26367 877824 0 0 0 0 6.60603761672974 1717436184.99607 4739
4096 4 3062.73241795811 3062.73241795811 7.27791714668274 4.70168399810791 4.58197474479675 0 2.75121879577637 24 407220.90229171 407220.90229171 1914624 1914624 199935.172244306 199935.172244306 940032 940032 275.228431987613 378150.883077774 10237.9783710109 367912.904706763 824 1330704 27792 1302912 0 0 0 0 7.23774075508118 1717436185.63289 5378
4608 4.5 3007.4959666336 3007.4959666336 7.96277403831482 5.38654088973999 5.20476150512695 0 2.76027131080627 27 399876.663723604 399876.663723604 2153952 2153952 196329.336701842 196329.336701842 1057536 1057536 306.74262347247 482919.487846024 10509.7419432305 472409.745902794 850 1332098 29186 1302912 0 0 0 0 7.91603589057922 1717436186.31775 6017
5120 5 2949.35859850225 2953.23955905784 8.67925500869751 6.10302186012268 5.88345050811768 0 2.82503938674927 30 392146.719256859 392146.719256859 2393280 2393280 192534.129310227 192534.129310227 1175040 1175040 324.772350789079 478760.227949557 10882.0198242367 467878.208125321 948 1347353 30617 1316736 0 0 0 0 8.62624478340149 1717436187.03423 6656
5632 5.5 2948.6927746264 2951.67871541586 9.29107308387756 6.71483993530273 6.4583568572998 0 2.83462429046631 33 392058.191314327 392058.191314327 2632608 2632608 192490.664327612 192490.664327612 1292544 1292544 342.427522707373 476060.392971023 11228.7986002847 464831.594370738 974 1348745 32009 1316736 0 0 0 0 9.23267388343811 1717436187.64604 7295
6144 6 2935.06179921231 2950.52860077504 9.93553304672241 7.35929989814758 7.03166675567627 0 2.96305680274963 36 390245.816823268 390245.816823268 2871936 2871936 191600.834252579 191600.834252579 1410048 1410048 369.851739837884 504166.808407893 11449.9073536963 492716.901054197 1156 1775264 33440 1741824 0 0 0 0 9.87147974967957 1717436188.2905 7934
6656 6.5 2895.6024283515 2946.02825957983 10.6574530601501 8.08121991157532 7.68747401237488 0 2.97230195999146 39 384999.298873616 384999.298873616 3111264 3111264 189024.926522786 189024.926522786 1527552 1527552 396.635794748252 598139.909886132 11663.0452413283 586476.864644804 1182 1776664 34840 1741824 0 0 0 0 10.5867390632629 1717436189.01242 8573
7168 7 2844.8885693583 2937.86127545558 11.4342250823975 8.85799193382263 8.42557835578918 0 3.03856897354126 42 378256.384181879 378256.384181879 3350592 3350592 185714.32580771 185714.32580771 1645056 1645056 412.145430380217 592654.160500299 11991.7701473289 580662.39035297 1280 1791920 36272 1755648 0 0 0 0 11.3562996387482 1717436189.7892 9212
7680 7.5 2805.654188235 2928.26048255816 12.199657201767 9.62342405319214 9.15311622619629 0 3.04948091506958 45 373039.780867726 373039.780867726 3589920 3589920 183153.105407981 183153.105407981 1762560 1762560 427.369928860421 588573.734730127 12297.8815320158 576275.853198112 1306 1793314 37666 1755648 0 0 0 0 12.1142966747284 1717436190.55463 9851
8192 8 2700.57891798487 2908.49475953722 13.2406132221222 10.6643800735474 10.0986189842224 0 3.20196223258972 48 359068.972935269 359068.972935269 3829248 3829248 176293.791766053 176293.791766053 1880064 1880064 447.486498555713 607449.872752083 12383.2181264621 595066.654625621 1488 2219837 39101 2180736 0 0 0 0 13.147483587265 1717436191.59559 10490
