# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.94382175291054e-05
512 0.5 2.77864006629889e-05
1024 1 3.58321583987091e-05
1536 1.5 3.95106152976282e-05
2048 2 4.01489023095608e-05
2560 2.5 4.02771225902867e-05
3072 3 4.12735886915481e-05
3584 3.5 4.27048904563839e-05
4096 4 4.35287194344485e-05
4608 4.5 4.38717629318515e-05
5120 5 4.45592210982058e-05
5632 5.5 4.57314950462213e-05
6144 6 4.67091323732568e-05
6656 6.5 4.71962169472621e-05
7168 7 4.77227535600988e-05
7680 7.5 4.86633890951938e-05
8192 8 4.96654380717729e-05
8704 8.5 5.03380304097513e-05
9216 9 5.08865744310675e-05
9728 9.5 5.16574948116939e-05
10240 10 5.25738362393959e-05
10752 10.5 5.33789359067621e-05
11264 11 5.40961992279091e-05
11776 11.5 5.48632943958457e-05
12288 12 5.56929228974457e-05
12800 12.5 5.65078493308917e-05
13312 13 5.73267596596224e-05
13824 13.5 5.82660826756573e-05
14336 14 5.93446485719183e-05
14848 14.5 6.04098276590623e-05
15360 15 6.13235757462941e-05
15872 15.5 6.21610302513025e-05
16384 16 6.3143993859759e-05
16896 16.5 6.43468496413448e-05
17408 17 6.56336177095658e-05
17920 17.5 6.68452847511171e-05
18432 18 6.794881470101e-05
18944 18.5 6.90227095300837e-05
19456 19 7.01507193317687e-05
19968 19.5 7.14283896324678e-05
20480 20 7.28502558141747e-05
20992 20.5 7.42547545284625e-05
21504 21 7.55054468544206e-05
22016 21.5 7.66375980549554e-05
22528 22 7.78564982943705e-05
23040 22.5 7.92880912043467e-05
23552 23 8.08512385807099e-05
24064 23.5 8.23840868251612e-05
24576 24 8.37727452175377e-05
25088 24.5 8.50459138685732e-05
25600 25 8.63281691837555e-05
26112 25.5 8.77507162079537e-05
26624 26 8.93439484480178e-05
27136 26.5 9.10010851402382e-05
27648 27 9.25858857015343e-05
28160 27.5 9.40558438510242e-05
28672 28 9.55028825611215e-05
29184 28.5 9.70156373580362e-05
29696 29 9.86044978842796e-05
30208 29.5 0.000100231125077687
30720 30 0.000101878152377982
31232 30.5 0.000103539646708724
31744 31 0.000105186673110473
32256 31.5 0.000106805015775404
32768 32 0.00010841673489287
33280 32.5 0.000110061883084796
33792 33 0.000111753015269539
34304 33.5 0.000113472833538065
34816 34 0.000115195375276175
35328 34.5 0.000116910114176255
