# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.28460443114403e-07 2.28460443114394e-07 2.28460443114384e-07
1024 1 5.81152508014954e-07 5.81152508014984e-07 5.81152508015005e-07
1536 1.5 8.92192077467271e-07 8.92192077467316e-07 8.92192077467336e-07
2048 2 9.33488527570798e-07 9.33488527570805e-07 9.33488527570787e-07
2560 2.5 9.92971912480869e-07 9.92971912480789e-07 9.92971912480695e-07
3072 3 9.70668720004053e-07 9.70668720003988e-07 9.70668720004006e-07
3584 3.5 1.0748252850331e-06 1.07482528503294e-06 1.07482528503299e-06
4096 4 9.78368528080353e-07 9.78368528080285e-07 9.78368528080332e-07
4608 4.5 1.03832466024112e-06 1.0383246602414e-06 1.03832466024131e-06
5120 5 1.04966803329102e-06 1.04966803329065e-06 1.04966803329006e-06
5632 5.5 1.08326351697351e-06 1.08326351697319e-06 1.08326351697287e-06
6144 6 1.05621368720108e-06 1.05621368720143e-06 1.05621368720199e-06
6656 6.5 1.11236934052518e-06 1.11236934052218e-06 1.11236934052229e-06
7168 7 1.09089157631601e-06 1.0908915763099e-06 1.09089157631048e-06
7680 7.5 1.05882020497239e-06 1.05882020497068e-06 1.05882020497049e-06
8192 8 1.1279922219138e-06 1.1279922219148e-06 1.12799222191591e-06
8704 8.5 1.16119544528725e-06 1.16119544529012e-06 1.1611954452924e-06
9216 9 1.18084438580168e-06 1.18084438579938e-06 1.18084438579723e-06
9728 9.5 1.25571946682537e-06 1.25571946682039e-06 1.25571946682011e-06
10240 10 1.25517438948944e-06 1.25517438949628e-06 1.25517438949313e-06
10752 10.5 1.25818618068726e-06 1.25818618068837e-06 1.25818618068734e-06
11264 11 1.24020181588538e-06 1.24020181588391e-06 1.24020181587367e-06
11776 11.5 1.24049246540014e-06 1.2404924654034e-06 1.24049246539608e-06
12288 12 1.22720061357929e-06 1.22720061358062e-06 1.22720061358423e-06
12800 12.5 1.19701044086854e-06 1.19701044085915e-06 1.19701044086554e-06
13312 13 1.20878946007116e-06 1.20878946006491e-06 1.20878946006709e-06
13824 13.5 1.21820099721182e-06 1.21820099721078e-06 1.21820099720625e-06
14336 14 1.19215470367577e-06 1.19215470366128e-06 1.19215470366049e-06
14848 14.5 1.18392810476507e-06 1.18392810476841e-06 1.18392810475176e-06
15360 15 1.19316822320193e-06 1.19316822319014e-06 1.19316822319401e-06
15872 15.5 1.22004274224657e-06 1.22004274223624e-06 1.22004274223255e-06
16384 16 1.27224111413622e-06 1.27224111411751e-06 1.27224111412445e-06
16896 16.5 1.30632685854461e-06 1.30632685853498e-06 1.30632685854104e-06
17408 17 1.32610810313991e-06 1.32610810313674e-06 1.32610810313181e-06
17920 17.5 1.33240094401416e-06 1.33240094401931e-06 1.33240094400247e-06
18432 18 1.36332421729473e-06 1.36332421728201e-06 1.36332421728247e-06
18944 18.5 1.36463727871658e-06 1.36463727869676e-06 1.36463727871377e-06
19456 19 1.33651039853669e-06 1.33651039853321e-06 1.33651039851545e-06
19968 19.5 1.38529781005517e-06 1.38529781005774e-06 1.38529781005064e-06
20480 20 1.3714046833637e-06 1.37140468335962e-06 1.37140468336034e-06
20992 20.5 1.32880873000487e-06 1.32880873000532e-06 1.3288087300024e-06
21504 21 1.30347194697173e-06 1.3034719469679e-06 1.30347194696042e-06
22016 21.5 1.31455987157031e-06 1.31455987157059e-06 1.31455987156967e-06
22528 22 1.33796790790045e-06 1.33796790791511e-06 1.33796790791763e-06
23040 22.5 1.32944092784592e-06 1.32944092784037e-06 1.3294409278256e-06
23552 23 1.32497438602364e-06 1.32497438601224e-06 1.32497438600302e-06
24064 23.5 1.35467736541417e-06 1.35467736540004e-06 1.35467736541299e-06
24576 24 1.37882296878932e-06 1.37882296878844e-06 1.37882296879228e-06
25088 24.5 1.36785049650309e-06 1.36785049649206e-06 1.36785049649845e-06
25600 25 1.41734684065028e-06 1.41734684062987e-06 1.41734684064111e-06
26112 25.5 1.43658454908514e-06 1.43658454908875e-06 1.43658454909028e-06
26624 26 1.36017394874844e-06 1.36017394873529e-06 1.36017394873497e-06
27136 26.5 1.30524872466071e-06 1.3052487246463e-06 1.30524872464696e-06
27648 27 1.27149879391516e-06 1.27149879392856e-06 1.27149879390423e-06
28160 27.5 1.22114205742621e-06 1.22114205741674e-06 1.22114205740959e-06
28672 28 1.2084350019883e-06 1.20843500199592e-06 1.20843500198763e-06
29184 28.5 1.21511767770005e-06 1.21511767771264e-06 1.21511767769398e-06
29696 29 1.22549891362976e-06 1.22549891363595e-06 1.22549891362073e-06
30208 29.5 1.23605563261752e-06 1.23605563262171e-06 1.23605563260972e-06
30720 30 1.22780353091953e-06 1.22780353091531e-06 1.22780353091773e-06
31232 30.5 1.26293507764085e-06 1.26293507763285e-06 1.26293507763227e-06
31744 31 1.29521440142892e-06 1.29521440143549e-06 1.29521440141475e-06
32256 31.5 1.29271794875615e-06 1.29271794875459e-06 1.29271794874104e-06
32768 32 1.30086668560439e-06 1.30086668559121e-06 1.30086668560452e-06
33280 32.5 1.32198411889976e-06 1.32198411888281e-06 1.3219841188771e-06
33792 33 1.32252437229671e-06 1.32252437229903e-06 1.32252437228535e-06
34304 33.5 1.32975020829452e-06 1.32975020828609e-06 1.32975020830421e-06
34816 34 1.32630523720362e-06 1.32630523719058e-06 1.32630523719708e-06
35328 34.5 1.30327133546248e-06 1.30327133546613e-06 1.3032713354715e-06
35840 35 1.29239937576174e-06 1.29239937575261e-06 1.29239937574993e-06
36352 35.5 1.29941385843344e-06 1.29941385842477e-06 1.29941385842085e-06
36864 36 1.30737321595521e-06 1.30737321594006e-06 1.30737321593635e-06
37376 36.5 1.30276890053952e-06 1.30276890054044e-06 1.30276890054546e-06
37888 37 1.30543412299112e-06 1.30543412298491e-06 1.30543412297393e-06
38400 37.5 1.32186628105283e-06 1.32186628101987e-06 1.32186628102436e-06
38912 38 1.32034981289376e-06 1.32034981287666e-06 1.3203498128737e-06
39424 38.5 1.32405930874002e-06 1.32405930873637e-06 1.32405930873791e-06
39936 39 1.33645427260251e-06 1.33645427257939e-06 1.33645427259552e-06
40448 39.5 1.33500164052053e-06 1.33500164050497e-06 1.33500164050581e-06
40960 40 1.32759798981009e-06 1.32759798979512e-06 1.32759798979335e-06
41472 40.5 1.31421252258505e-06 1.31421252255292e-06 1.31421252254296e-06
41984 41 1.29258078359194e-06 1.29258078358644e-06 1.2925807835933e-06
42496 41.5 1.29307301206421e-06 1.29307301205671e-06 1.29307301206049e-06
43008 42 1.29243343753939e-06 1.29243343751907e-06 1.29243343752495e-06
43520 42.5 1.29137064804629e-06 1.29137064803444e-06 1.29137064802659e-06
44032 43 1.27969617686746e-06 1.27969617685122e-06 1.2796961768498e-06
44544 43.5 1.28692328273281e-06 1.28692328274619e-06 1.28692328274468e-06
45056 44 1.29033310440606e-06 1.29033310440128e-06 1.29033310439953e-06
45568 44.5 1.27002123518271e-06 1.27002123516912e-06 1.27002123516606e-06
46080 45 1.26765019537811e-06 1.26765019535482e-06 1.26765019535914e-06
46592 45.5 1.2331907353476e-06 1.2331907353377e-06 1.2331907353337e-06
47104 46 1.18707136319444e-06 1.18707136317842e-06 1.18707136318252e-06
47616 46.5 1.19331960125197e-06 1.19331960122707e-06 1.193319601211e-06
48128 47 1.22951657293731e-06 1.22951657290699e-06 1.22951657291454e-06
48640 47.5 1.21471717022983e-06 1.21471717021845e-06 1.21471717022256e-06
49152 48 1.18303777274683e-06 1.18303777273393e-06 1.1830377727317e-06
49664 48.5 1.1589795592023e-06 1.15897955918407e-06 1.15897955917434e-06
50176 49 1.14581278008738e-06 1.14581278007041e-06 1.14581278007765e-06
50688 49.5 1.14752302775682e-06 1.14752302774543e-06 1.14752302773758e-06
51200 50 1.10269549808823e-06 1.1026954980649e-06 1.10269549806466e-06
51712 50.5 1.09989531461823e-06 1.09989531459908e-06 1.0998953146312e-06
52224 51 1.13843907339572e-06 1.13843907336362e-06 1.13843907336714e-06
52736 51.5 1.13271259728481e-06 1.13271259726109e-06 1.13271259727128e-06
53248 52 1.07380397096242e-06 1.07380397094654e-06 1.0738039709656e-06
53760 52.5 1.06569744048673e-06 1.06569744046989e-06 1.06569744046479e-06
54272 53 1.08276982220691e-06 1.08276982219108e-06 1.08276982219234e-06
54784 53.5 1.10307445632885e-06 1.10307445629647e-06 1.10307445630523e-06
55296 54 1.09871487201078e-06 1.09871487199093e-06 1.09871487200252e-06
55808 54.5 1.10436876523845e-06 1.10436876521072e-06 1.10436876520357e-06
56320 55 1.10625068967668e-06 1.10625068964483e-06 1.10625068964905e-06
56832 55.5 1.03595691672128e-06 1.0359569167094e-06 1.03595691669515e-06
57344 56 1.00371272831955e-06 1.00371272829508e-06 1.00371272828849e-06
57856 56.5 1.0424976832307e-06 1.0424976832252e-06 1.04249768319701e-06
58368 57 1.06895866792215e-06 1.06895866792534e-06 1.06895866789446e-06
58880 57.5 1.00630540366727e-06 1.00630540364721e-06 1.00630540363348e-06
59392 58 9.76831826477469e-07 9.7683182648088e-07 9.76831826476585e-07
59904 58.5 1.01077114931719e-06 1.01077114931172e-06 1.01077114929552e-06
60416 59 1.00837620961046e-06 1.00837620958328e-06 1.00837620957645e-06
60928 59.5 9.56576430446428e-07 9.5657643042063e-07 9.5657643042902e-07
61440 60 9.44528517329006e-07 9.44528517326879e-07 9.44528517320664e-07
61952 60.5 9.7085416361834e-07 9.70854163611075e-07 9.70854163609532e-07
62464 61 9.57778101648093e-07 9.57778101629568e-07 9.57778101616151e-07
62976 61.5 9.17220474048639e-07 9.17220474046904e-07 9.17220474025413e-07
63488 62 9.49323125253914e-07 9.49323125235974e-07 9.49323125231147e-07
64000 62.5 9.70519086502722e-07 9.70519086482648e-07 9.70519086453938e-07
64512 63 9.38337953180497e-07 9.38337953152566e-07 9.38337953129184e-07
65024 63.5 9.20595706461369e-07 9.20595706445198e-07 9.20595706432313e-07
65536 64 9.22339367548071e-07 9.22339367543712e-07 9.22339367540112e-07
66048 64.5 9.36401089768619e-07 9.36401089755542e-07 9.36401089732735e-07
66560 65 9.49550288011059e-07 9.49550287999628e-07 9.49550288009525e-07
67072 65.5 9.49449150839682e-07 9.49449150845761e-07 9.49449150830419e-07
67584 66 9.50025341304409e-07 9.50025341293741e-07 9.50025341281565e-07
68096 66.5 9.40530078443156e-07 9.40530078428886e-07 9.40530078429933e-07
68608 67 9.51148296904989e-07 9.51148296899699e-07 9.5114829689526e-07
69120 67.5 9.55826425958939e-07 9.55826425953802e-07 9.55826425960488e-07
69632 68 9.71273688994663e-07 9.71273688974881e-07 9.71273688974951e-07
70144 68.5 9.71558995851661e-07 9.71558995838246e-07 9.71558995838475e-07
70656 69 9.71234070324717e-07 9.71234070311159e-07 9.71234070322021e-07
71168 69.5 9.71040562149966e-07 9.71040562142551e-07 9.71040562126173e-07
71680 70 9.70336009777275e-07 9.70336009763457e-07 9.70336009760063e-07
72192 70.5 9.72325225302673e-07 9.72325225297971e-07 9.72325225290161e-07
72704 71 9.85927695221171e-07 9.85927695225043e-07 9.85927695245181e-07
73216 71.5 9.90119977565407e-07 9.90119977565517e-07 9.9011997757949e-07
73728 72 9.84491006656111e-07 9.84491006639559e-07 9.84491006643264e-07
74240 72.5 9.74980682297612e-07 9.74980682278422e-07 9.74980682284758e-07
74752 73 9.66496847898331e-07 9.66496847893488e-07 9.66496847903543e-07
75264 73.5 9.73705156341291e-07 9.73705156348673e-07 9.73705156331428e-07
75776 74 9.7977015643003e-07 9.79770156438342e-07 9.79770156440572e-07
76288 74.5 9.54355720577175e-07 9.54355720542284e-07 9.54355720551532e-07
76800 75 9.52199021842668e-07 9.52199021837512e-07 9.52199021831491e-07
77312 75.5 9.65320171342939e-07 9.65320171364376e-07 9.65320171351076e-07
77824 76 9.64613740692757e-07 9.64613740680401e-07 9.64613740689918e-07
78336 76.5 9.42387448177873e-07 9.42387448175709e-07 9.42387448175916e-07
78848 77 9.34226315057932e-07 9.34226315066298e-07 9.34226315036337e-07
79360 77.5 9.42721287118022e-07 9.42721287122587e-07 9.42721287102934e-07
79872 78 9.47256423754094e-07 9.47256423725104e-07 9.47256423721998e-07
80384 78.5 9.25056168140048e-07 9.25056168126608e-07 9.25056168110555e-07
80896 79 9.169522483233e-07 9.16952248331155e-07 9.16952248308115e-07
81408 79.5 9.11671988574327e-07 9.11671988578426e-07 9.11671988563889e-07
81920 80 9.04567315058007e-07 9.04567315040578e-07 9.04567315050985e-07
82432 80.5 8.92288698296197e-07 8.92288698296314e-07 8.92288698276552e-07
82944 81 8.87162757646427e-07 8.87162757664492e-07 8.87162757637347e-07
83456 81.5 8.75944631861193e-07 8.75944631848886e-07 8.75944631846588e-07
83968 82 8.50549246350733e-07 8.50549246350976e-07 8.50549246340854e-07
84480 82.5 8.33363478142943e-07 8.33363478159999e-07 8.3336347815084e-07
84992 83 8.35133756230167e-07 8.35133756240238e-07 8.35133756234767e-07
85504 83.5 8.16242003441989e-07 8.16242003444164e-07 8.16242003433844e-07
86016 84 7.97792068794555e-07 7.97792068807349e-07 7.97792068795466e-07
86528 84.5 7.82881735251036e-07 7.82881735230272e-07 7.82881735246409e-07
87040 85 7.90164742040915e-07 7.90164742041805e-07 7.90164742048486e-07
87552 85.5 7.77326246484771e-07 7.7732624649878e-07 7.77326246491303e-07
88064 86 7.58054886189672e-07 7.58054886188286e-07 7.58054886176082e-07
88576 86.5 7.45546115347542e-07 7.45546115343634e-07 7.45546115339585e-07
89088 87 7.35104234159971e-07 7.35104234164157e-07 7.35104234171022e-07
89600 87.5 7.12350365031463e-07 7.12350365017618e-07 7.1235036501364e-07
90112 88 6.99852314419417e-07 6.99852314421437e-07 6.99852314398775e-07
90624 88.5 6.97247674420538e-07 6.97247674424131e-07 6.97247674412785e-07
91136 89 6.85357642725542e-07 6.85357642729735e-07 6.85357642744648e-07
91648 89.5 6.63702407972778e-07 6.63702407977466e-07 6.63702407977735e-07
92160 90 6.52459442891987e-07 6.52459442886567e-07 6.52459442874301e-07
92672 90.5 6.51056052475487e-07 6.5105605247975e-07 6.51056052468002e-07
93184 91 6.34479839417312e-07 6.34479839410304e-07 6.34479839434053e-07
93696 91.5 6.28340822268677e-07 6.28340822272589e-07 6.28340822282087e-07
94208 92 6.18153463263222e-07 6.181534632747e-07 6.18153463248564e-07
94720 92.5 6.0296325790222e-07 6.02963257898607e-07 6.02963257890698e-07
95232 93 5.98208523438728e-07 5.98208523431639e-07 5.98208523425688e-07
95744 93.5 5.90133077527529e-07 5.90133077556136e-07 5.90133077518489e-07
96256 94 5.79391935336588e-07 5.79391935372043e-07 5.79391935337592e-07
96768 94.5 5.7770605540162e-07 5.77706055438709e-07 5.77706055411337e-07
97280 95 5.64660323625342e-07 5.6466032363792e-07 5.64660323642878e-07
97792 95.5 5.52489966349482e-07 5.52489966363893e-07 5.52489966343941e-07
98304 96 5.57131521009065e-07 5.57131521026726e-07 5.57131521006724e-07
98816 96.5 5.52099536764544e-07 5.52099536780471e-07 5.52099536778971e-07
99328 97 5.37992305888171e-07 5.37992305918245e-07 5.37992305892712e-07
99840 97.5 5.28003035623347e-07 5.28003035651927e-07 5.28003035625729e-07
100352 98 5.3162159318047e-07 5.31621593219895e-07 5.31621593214384e-07
100864 98.5 5.27200775487939e-07 5.27200775500422e-07 5.27200775515428e-07
101376 99 5.19299119377604e-07 5.19299119367528e-07 5.19299119374811e-07
101888 99.5 5.10726665168936e-07 5.10726665170963e-07 5.10726665160502e-07
102400 100 5.14617624001357e-07 5.14617624021908e-07 5.14617624014414e-07
102912 100.5 5.29350485701986e-07 5.29350485714759e-07 5.29350485703682e-07
103424 101 5.22174502190121e-07 5.22174502178038e-07 5.2217450218149e-07
103936 101.5 5.15308187424469e-07 5.15308187437463e-07 5.15308187418932e-07
104448 102 5.12687481618079e-07 5.12687481633926e-07 5.12687481630746e-07
104960 102.5 5.03614522612787e-07 5.03614522620551e-07 5.03614522598926e-07
105472 103 5.03592797812447e-07 5.03592797837149e-07 5.03592797814623e-07
105984 103.5 5.03463720909162e-07 5.03463720919419e-07 5.03463720915458e-07
106496 104 4.98498432149051e-07 4.98498432157834e-07 4.98498432149226e-07
107008 104.5 4.95084956042001e-07 4.95084956065413e-07 4.95084956031659e-07
107520 105 4.9013720066756e-07 4.90137200689224e-07 4.90137200649675e-07
108032 105.5 4.94040879767782e-07 4.94040879782285e-07 4.94040879770381e-07
108544 106 4.93121753323056e-07 4.93121753327159e-07 4.93121753307368e-07
109056 106.5 4.85915709429225e-07 4.85915709444916e-07 4.85915709409293e-07
109568 107 4.80857648186879e-07 4.80857648195712e-07 4.80857648185554e-07
110080 107.5 4.83840763905362e-07 4.83840763903313e-07 4.83840763897943e-07
110592 108 4.86578593642089e-07 4.86578593638969e-07 4.86578593632287e-07
111104 108.5 4.88934952605439e-07 4.88934952600584e-07 4.88934952580635e-07
111616 109 4.83557575588105e-07 4.83557575578369e-07 4.83557575571735e-07
112128 109.5 4.84917021162779e-07 4.84917021138781e-07 4.84917021140057e-07
112640 110 4.89358666905536e-07 4.89358666909177e-07 4.89358666889002e-07
113152 110.5 4.89984550244146e-07 4.89984550233063e-07 4.89984550221561e-07
113664 111 4.86854770213074e-07 4.86854770223594e-07 4.86854770218058e-07
114176 111.5 4.83214037978777e-07 4.83214037990376e-07 4.83214037986057e-07
114688 112 4.82035275389942e-07 4.82035275392715e-07 4.82035275401991e-07
115200 112.5 4.84586144291524e-07 4.8458614429218e-07 4.845861442859e-07
115712 113 4.75680891167028e-07 4.75680891158175e-07 4.75680891173178e-07
116224 113.5 4.76481067481183e-07 4.76481067513553e-07 4.76481067513243e-07
116736 114 4.76382742872948e-07 4.7638274286636e-07 4.76382742878329e-07
117248 114.5 4.81495726013895e-07 4.81495726021025e-07 4.8149572603122e-07
117760 115 4.73111600738609e-07 4.73111600734114e-07 4.73111600746218e-07
118272 115.5 4.68577546244148e-07 4.68577546224857e-07 4.68577546236581e-07
118784 116 4.70836323565363e-07 4.70836323550149e-07 4.70836323562105e-07
119296 116.5 4.70502994620084e-07 4.70502994628026e-07 4.70502994633294e-07
119808 117 4.65746798247459e-07 4.65746798246003e-07 4.65746798239356e-07
120320 117.5 4.71814417507357e-07 4.7181441750049e-07 4.71814417500587e-07
120832 118 4.76921184811254e-07 4.76921184808961e-07 4.76921184824644e-07
121344 118.5 4.73694605609285e-07 4.73694605586477e-07 4.73694605583511e-07
121856 119 4.7329875769315e-07 4.73298757692405e-07 4.73298757679754e-07
122368 119.5 4.76588826050459e-07 4.7658882602436e-07 4.76588826047121e-07
122880 120 4.74095440200134e-07 4.7409544017002e-07 4.74095440190503e-07
123392 120.5 4.69804796874251e-07 4.69804796857813e-07 4.69804796858997e-07
123904 121 4.68755438122082e-07 4.68755438130904e-07 4.68755438136396e-07
124416 121.5 4.70608023470808e-07 4.70608023449056e-07 4.70608023460795e-07
124928 122 4.7039886376471e-07 4.70398863761036e-07 4.703988637669e-07
125440 122.5 4.68460140760953e-07 4.68460140756915e-07 4.68460140745708e-07
125952 123 4.66339015060035e-07 4.66339015042385e-07 4.66339015036385e-07
126464 123.5 4.65012285221937e-07 4.65012285211999e-07 4.65012285228636e-07
126976 124 4.58152100206001e-07 4.5815210019197e-07 4.58152100205807e-07
127488 124.5 4.59191388535395e-07 4.59191388502095e-07 4.59191388519005e-07
128000 125 4.60163906776627e-07 4.60163906756611e-07 4.60163906754207e-07
128512 125.5 4.59522874605269e-07 4.59522874570647e-07 4.59522874602982e-07
129024 126 4.55308456621168e-07 4.55308456619384e-07 4.55308456632997e-07
129536 126.5 4.52657541848309e-07 4.52657541830687e-07 4.52657541823869e-07
130048 127 4.47821860847309e-07 4.47821860821655e-07 4.47821860817029e-07
130560 127.5 4.44705915811616e-07 4.44705915788647e-07 4.44705915805247e-07
131072 128 4.41571626780782e-07 4.41571626803525e-07 4.41571626791562e-07
131584 128.5 4.38034916124532e-07 4.38034916134547e-07 4.38034916125976e-07
132096 129 4.4099498940313e-07 4.40994989374252e-07 4.4099498938939e-07
132608 129.5 4.3592251378343e-07 4.35922513764944e-07 4.35922513779346e-07
133120 130 4.29040017807524e-07 4.29040017794869e-07 4.29040017805117e-07
133632 130.5 4.2895843330368e-07 4.28958433280349e-07 4.28958433295177e-07
134144 131 4.30082111213615e-07 4.3008211119725e-07 4.30082111196129e-07
134656 131.5 4.1714192804189e-07 4.17141928025886e-07 4.17141928033106e-07
135168 132 4.07009586430084e-07 4.07009586391295e-07 4.0700958640567e-07
135680 132.5 4.10502138792644e-07 4.10502138771264e-07 4.10502138803704e-07
136192 133 4.11505929194632e-07 4.11505929191578e-07 4.11505929215209e-07
136704 133.5 4.0118708133785e-07 4.01187081327306e-07 4.01187081359501e-07
137216 134 3.94215976536758e-07 3.94215976505364e-07 3.94215976511968e-07
137728 134.5 3.96619295203764e-07 3.96619295171097e-07 3.96619295195322e-07
138240 135 3.96480720821126e-07 3.96480720815311e-07 3.96480720851839e-07
138752 135.5 3.87986677388276e-07 3.87986677361382e-07 3.879866773775e-07
139264 136 3.85254194636575e-07 3.85254194619206e-07 3.85254194635569e-07
139776 136.5 3.8625061330675e-07 3.86250613283618e-07 3.86250613313089e-07
140288 137 3.8360727981582e-07 3.83607279777875e-07 3.83607279826795e-07
140800 137.5 3.75591503627228e-07 3.75591503595305e-07 3.75591503624804e-07
141312 138 3.71865412102453e-07 3.71865412089212e-07 3.71865412081086e-07
