# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
37888 37 4.44482353257494e-06 4.44482353276107e-06 4.44482353277448e-06
38400 37.5 4.44206615857393e-06 4.44206615881889e-06 4.4420661587895e-06
38912 38 4.27663998595215e-06 4.27663998625656e-06 4.27663998609775e-06
39424 38.5 4.03139825513746e-06 4.03139825491205e-06 4.03139825495792e-06
39936 39 3.81879995944839e-06 3.81879995913426e-06 3.81879995936308e-06
40448 39.5 3.64429043933363e-06 3.64429043936945e-06 3.64429043933651e-06
40960 40 3.48240927209477e-06 3.48240927240535e-06 3.48240927214546e-06
41472 40.5 3.31684124179394e-06 3.31684124206083e-06 3.31684124186973e-06
41984 41 3.07096920331076e-06 3.07096920315019e-06 3.07096920329247e-06
42496 41.5 2.68652213167486e-06 2.68652213126355e-06 2.68652213136557e-06
43008 42 2.25762876945261e-06 2.25762876954507e-06 2.25762876987736e-06
43520 42.5 1.94279334071545e-06 1.94279334132178e-06 1.94279334132692e-06
44032 43 1.75716927017436e-06 1.75716927018626e-06 1.75716927030666e-06
44544 43.5 1.55417164663419e-06 1.55417164618717e-06 1.55417164604774e-06
45056 44 1.2041085121106e-06 1.20410851200479e-06 1.20410851228535e-06
45568 44.5 7.40163139922477e-07 7.40163140432258e-07 7.40163140342626e-07
46080 45 6.0673128925476e-07 6.06731289320365e-07 6.06731288891519e-07
46592 45.5 4.55097922658157e-07 4.55097922549384e-07 4.55097922705173e-07
47104 46 2.7695114008188e-07 2.76951139742889e-07 2.76951139891256e-07
47616 46.5 2.90292505276597e-07 2.90292505398173e-07 2.90292505273809e-07
48128 47 1.34699323130949e-07 1.34699322911342e-07 1.34699322885387e-07
48640 47.5 7.95804427500454e-08 7.95804426089847e-08 7.95804425401101e-08
49152 48 2.20751068419291e-07 2.20751068405538e-07 2.20751068400933e-07
49664 48.5 1.48800448240747e-07 1.48800448201075e-07 1.48800448195713e-07
50176 49 1.09037279387849e-07 1.09037279165885e-07 1.09037279494143e-07
50688 49.5 1.66441865151801e-07 1.66441865184886e-07 1.66441865052e-07
51200 50 9.5915940389475e-08 9.59159405429826e-08 9.59159400323067e-08
51712 50.5 6.24646915260766e-08 6.24646913024804e-08 6.24646910104989e-08
52224 51 8.80193244377759e-08 8.80193245690231e-08 8.8019324435179e-08
52736 51.5 5.81398205975573e-08 5.81398207335562e-08 5.81398205594498e-08
53248 52 1.19365728562018e-07 1.19365728638775e-07 1.19365728503528e-07
53760 52.5 1.38848541706471e-07 1.38848542086446e-07 1.38848542045935e-07
54272 53 1.67493568480572e-08 1.67493566484835e-08 1.67493567512716e-08
54784 53.5 2.0345459918721e-06 2.03454599246812e-06 2.03454599220557e-06
55296 54 4.3347014391261e-06 4.33470143963616e-06 4.33470143973634e-06
55808 54.5 6.51354336851491e-06 6.51354336858999e-06 6.51354336851366e-06
56320 55 9.24077389395996e-06 9.24077389368107e-06 9.24077389367383e-06
56832 55.5 1.26183381034298e-05 1.26183381027695e-05 1.26183381030955e-05
57344 56 1.61391456312003e-05 1.61391456309329e-05 1.61391456308915e-05
57856 56.5 1.94865716042523e-05 1.94865716048227e-05 1.94865716046431e-05
58368 57 2.28184455044651e-05 2.28184455047754e-05 2.28184455052106e-05
58880 57.5 2.61703713087507e-05 2.61703713081801e-05 2.6170371308476e-05
59392 58 2.91904684655049e-05 2.9190468465263e-05 2.91904684647219e-05
59904 58.5 3.18048978853828e-05 3.18048978861413e-05 3.18048978854758e-05
60416 59 3.46643303441667e-05 3.46643303447411e-05 3.46643303446788e-05
60928 59.5 3.84123542199052e-05 3.84123542195146e-05 3.84123542200203e-05
61440 60 4.27460428784179e-05 4.27460428779001e-05 4.27460428783719e-05
61952 60.5 4.67250678045049e-05 4.67250678046012e-05 4.67250678044613e-05
62464 61 4.99562438168904e-05 4.99562438170804e-05 4.99562438168432e-05
62976 61.5 5.29759075238159e-05 5.29759075234744e-05 5.29759075238596e-05
63488 62 5.63814814186945e-05 5.63814814182882e-05 5.63814814185279e-05
64000 62.5 6.00983333866125e-05 6.00983333867175e-05 6.00983333863068e-05
64512 63 6.37765063320088e-05 6.37765063322437e-05 6.37765063320981e-05
65024 63.5 6.74292926554631e-05 6.74292926553666e-05 6.74292926557765e-05
65536 64 7.12109805376224e-05 7.12109805373379e-05 7.12109805374773e-05
66048 64.5 7.49380334684258e-05 7.49380334684164e-05 7.49380334678334e-05
66560 65 7.84123533541988e-05 7.84123533545688e-05 7.84123533541067e-05
67072 65.5 8.19582221786969e-05 8.19582221786538e-05 8.19582221795205e-05
67584 66 8.59860333976763e-05 8.5986033396991e-05 8.59860333981331e-05
68096 66.5 9.01417501305817e-05 9.01417501304296e-05 9.01417501298129e-05
68608 67 9.35903655798767e-05 9.35903655805241e-05 9.35903655793225e-05
69120 67.5 9.62636329844329e-05 9.62636329847716e-05 9.62636329850968e-05
69632 68 9.94020890124867e-05 9.94020890127454e-05 9.94020890121224e-05
70144 68.5 0.000104402558368095 0.00010440255836761 0.000104402558368293
70656 69 0.000108676236884295 0.000108676236883835 0.00010867623688457
71168 69.5 0.00011256009017996 0.000112560090180188 0.000112560090180001
71680 70 0.000116734429630268 0.000116734429630644 0.000116734429630412
72192 70.5 0.000121189734601838 0.000121189734601537 0.000121189734602044
72704 71 0.000125400960859025 0.000125400960858657 0.000125400960858963
73216 71.5 0.000129279075592454 0.000129279075593173 0.000129279075592366
73728 72 0.000133236934315479 0.000133236934316322 0.00013323693431565
74240 72.5 0.000137368725090397 0.000137368725089722 0.000137368725090587
74752 73 0.000141287631203769 0.000141287631202575 0.000141287631203425
75264 73.5 0.00014489874620509 0.000144898746205124 0.00014489874620431
75776 74 0.000148638771099227 0.000148638771099781 0.000148638771099039
76288 74.5 0.000152679243526074 0.000152679243526025 0.000152679243526838
76800 75 0.000156524833061903 0.000156524833061779 0.000156524833062514
77312 75.5 0.00015979253511687 0.000159792535117134 0.000159792535116673
77824 76 0.00016286474902657 0.000162864749026637 0.000162864749026093
78336 76.5 0.000166303537752624 0.000166303537752353 0.000166303537752268
78848 77 0.000169988068177102 0.000169988068176999 0.0001699880681771
79360 77.5 0.000173326716414114 0.000173326716414251 0.000173326716414728
79872 78 0.000176152009606976 0.000176152009606908 0.00017615200960722
80384 78.5 0.000178942992241804 0.000178942992241513 0.000178942992241018
80896 79 0.000182112152834128 0.00018211215283393 0.000182112152833741
81408 79.5 0.000185419850600673 0.00018541985060062 0.000185419850601198
81920 80 0.000188307639075684 0.00018830763907572 0.000188307639075716
82432 80.5 0.000190631203957896 0.000190631203958247 0.000190631203957633
82944 81 0.000192792270145996 0.000192792270146546 0.000192792270146587
83456 81.5 0.000195188665209762 0.000195188665209625 0.000195188665210188
83968 82 0.000197798025362495 0.00019779802536171 0.000197798025361871
84480 82.5 0.000200349963252635 0.000200349963252612 0.000200349963252353
84992 83 0.000202670686554324 0.000202670686555182 0.000202670686554961
85504 83.5 0.000204732318340335 0.000204732318340592 0.000204732318340696
86016 84 0.000206546037310625 0.000206546037310029 0.000206546037310416
86528 84.5 0.000208213145929822 0.000208213145929517 0.000208213145929661
87040 85 0.000210002536559796 0.000210002536560097 0.000210002536559607
87552 85.5 0.000212122017948635 0.00021212201794896 0.000212122017948397
88064 86 0.00021435956740471 0.000214359567404592 0.000214359567404749
88576 86.5 0.000216196074409713 0.000216196074409254 0.000216196074409948
89088 87 0.000217430027003273 0.000217430027003112 0.000217430027003653
89600 87.5 0.000218497018964904 0.000218497018965371 0.000218497018965412
90112 88 0.000219964876571973 0.000219964876572431 0.000219964876572099
90624 88.5 0.000221840031310326 0.000221840031309981 0.000221840031309754
91136 89 0.000223588387841176 0.000223588387840408 0.000223588387840432
91648 89.5 0.000224789475288703 0.000224789475288675 0.000224789475288698
92160 90 0.000225571309386276 0.000225571309386869 0.000225571309387136
92672 90.5 0.000226362625157033 0.000226362625157084 0.000226362625157562
93184 91 0.00022737277795474 0.000227372777954323 0.000227372777953899
93696 91.5 0.000228460596156066 0.000228460596156052 0.000228460596155025
