# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669863193281614
1024 1 0.669874499150091
1536 1.5 0.66990112550316
2048 2 0.669937581702583
2560 2.5 0.669972307114521
3072 3 0.669996583588839
3584 3.5 0.67001005047856
4096 4 0.670018935268309
4608 4.5 0.670030019296404
5120 5 0.670044677008222
5632 5.5 0.670057550730696
6144 6 0.670060761815117
6656 6.5 0.670050126630513
7168 7 0.670028642534151
7680 7.5 0.670005503345393
8192 8 0.669992498910094
8704 8.5 0.669999417811895
9216 9 0.670027601946862
9728 9.5 0.670063170255723
10240 10 0.670078931008126
10752 10.5 0.670052861374084
11264 11 0.669991678375361
11776 11.5 0.669931013280974
12288 12 0.66990247227326
12800 12.5 0.66990151266806
13312 13 0.669897573808528
13824 13.5 0.6698750760584
14336 14 0.669849668690182
14848 14.5 0.669839083984942
15360 15 0.669835358560975
15872 15.5 0.669820913230756
16384 16 0.669800415404317
16896 16.5 0.66979594856842
17408 17 0.669812995290564
17920 17.5 0.669831008408571
18432 18 0.669832491567653
18944 18.5 0.669825940275833
19456 19 0.669831342443275
19968 19.5 0.66985384343323
20480 20 0.669882766189644
20992 20.5 0.669911607279212
21504 21 0.669948729153575
22016 21.5 0.670008683958984
22528 22 0.670100315675409
23040 22.5 0.670224640576807
23552 23 0.670377942648862
24064 23.5 0.670551369834441
24576 24 0.670728184126681
25088 24.5 0.670886908847457
25600 25 0.671013650147064
26112 25.5 0.671114622481895
26624 26 0.671214176901133
27136 26.5 0.671335288147452
27648 27 0.671479550285789
28160 27.5 0.67162721446677
28672 28 0.671756646500271
29184 28.5 0.671862128673387
29696 29 0.67195433269024
30208 29.5 0.672048256000763
30720 30 0.672151564022157
31232 30.5 0.672259437934573
31744 31 0.672357273653953
32256 31.5 0.67243207041585
32768 32 0.67248606239471
33280 32.5 0.672538036886144
33792 33 0.672606910186707
34304 33.5 0.672693159706394
34816 34 0.672778616194144
35328 34.5 0.672845084836712
35840 35 0.672892083918799
36352 35.5 0.672936708866332
36864 36 0.672997427548151
37376 36.5 0.673077340425408
37888 37 0.673161450606149
38400 37.5 0.673230550645548
38912 38 0.673279839797151
39424 38.5 0.673324401256008
39936 39 0.673384474722308
40448 39.5 0.673464041122247
40960 40 0.673545455372048
41472 40.5 0.673607669699436
41984 41 0.673649430422489
42496 41.5 0.673691025761192
43008 42 0.673751100508694
43520 42.5 0.673824918135202
44032 43 0.673890453479636
44544 43.5 0.673935302633389
45056 44 0.673970893570059
45568 44.5 0.674016401398684
46080 45 0.674074089680045
46592 45.5 0.674128357332412
47104 46 0.674168075989552
47616 46.5 0.674200724600984
48128 47 0.674239879437964
48640 47.5 0.674285324091299
49152 48 0.67432407097707
49664 48.5 0.674349707274636
50176 49 0.674371828485677
50688 49.5 0.674402430428389
51200 50 0.674438809396739
51712 50.5 0.674466758379801
52224 51 0.674479508039161
52736 51.5 0.674486840396906
53248 52 0.674502452775297
53760 52.5 0.674526348150558
54272 53 0.674545046321131
54784 53.5 0.674548868965281
55296 54 0.674543596349184
55808 54.5 0.674541955285583
56320 55 0.674547407380333
56832 55.5 0.67455192189707
57344 56 0.674548751494289
57856 56.5 0.674540693891613
58368 57 0.674533136423743
58880 57.5 0.674524707919711
59392 58 0.674510495376804
59904 58.5 0.674491507052434
60416 59 0.674473971807787
60928 59.5 0.674459169161497
61440 60 0.674440723237175
61952 60.5 0.674414780640337
62464 61 0.674387239020901
62976 61.5 0.67436574475593
63488 62 0.674347959030789
64000 62.5 0.674324203934812
64512 63 0.674290986037373
65024 63.5 0.674255410621878
65536 64 0.674224674635236
66048 64.5 0.67419727407545
66560 65 0.67416852933134
67072 65.5 0.674139970649614
67584 66 0.674116825046799
68096 66.5 0.674097791917266
68608 67 0.674074001847064
69120 67.5 0.674039734924371
69632 68 0.673999485914169
70144 68.5 0.673962008838831
70656 69 0.673930917225571
71168 69.5 0.67390384178318
71680 70 0.673877443657234
72192 70.5 0.673849060973274
72704 71 0.67381541307537
73216 71.5 0.673775010041375
73728 72 0.673732539991512
74240 72.5 0.673696477436857
74752 73 0.67366981604973
75264 73.5 0.673645505250342
75776 74 0.673613657519708
76288 74.5 0.673572352266291
76800 75 0.673529371231133
77312 75.5 0.673493666556561
77824 76 0.673466584842495
78336 76.5 0.673441330108266
78848 77 0.673409994187699
79360 77.5 0.673371219385287
79872 78 0.673331560952687
80384 78.5 0.673298778369501
80896 79 0.673273181602466
81408 79.5 0.673246809791926
81920 80 0.67321268776388
82432 80.5 0.673173694976168
82944 81 0.673139345141089
83456 81.5 0.673113605655055
83968 82 0.673089464249883
84480 82.5 0.67305800509775
84992 83 0.673020358008909
85504 83.5 0.672986410112065
86016 84 0.672961695890203
86528 84.5 0.672939919662224
87040 85 0.672911090125456
87552 85.5 0.672874411427774
88064 86 0.672839050909994
88576 86.5 0.672812202565947
89088 87 0.672790152484542
89600 87.5 0.672763372429071
90112 88 0.67272847358634
90624 88.5 0.672691928884697
91136 89 0.672661639146114
91648 89.5 0.672637385569808
92160 90 0.672611666146728
92672 90.5 0.672579107942788
93184 91 0.672542578635522
93696 91.5 0.672509047584811
94208 92 0.672481089360121
94720 92.5 0.672454500786765
95232 93 0.672423970997454
95744 93.5 0.672388960201224
96256 94 0.672353137809718
96768 94.5 0.672319646991787
97280 95 0.672288472956057
97792 95.5 0.67225758590249
98304 96 0.672224888263998
98816 96.5 0.672189304136918
99328 97 0.672151745725746
99840 97.5 0.672115174437781
100352 98 0.672081882408664
100864 98.5 0.672050102196286
101376 99 0.672015183488566
101888 99.5 0.671975379623563
102400 100 0.671934775428336
102912 100.5 0.67189848682481
103424 101 0.671866023880946
103936 101.5 0.671831889914941
104448 102 0.671792629920056
104960 102.5 0.671750827988666
105472 103 0.671711352997481
105984 103.5 0.671675611321446
106496 104 0.671640832545705
107008 104.5 0.671603762429986
107520 105 0.671563602932714
108032 105.5 0.671521958464889
108544 106 0.671481207792596
109056 106.5 0.671442761963593
109568 107 0.671405952967927
110080 107.5 0.671368578054963
110592 108 0.671329071006557
111104 108.5 0.671288053173182
111616 109 0.671247404780478
112128 109.5 0.671208161145647
112640 110 0.671169815938338
113152 110.5 0.671131287501066
113664 111 0.671091848602917
114176 111.5 0.671051361421966
114688 112 0.671010473702769
115200 112.5 0.670970582000624
115712 113 0.670932652024327
116224 113.5 0.67089571588699
116736 114 0.670857381399228
117248 114.5 0.670816560639087
117760 115 0.67077518205252
118272 115.5 0.670736265495038
118784 116 0.670700375484585
119296 116.5 0.670664892716192
119808 117 0.67062712439663
120320 117.5 0.670587406656224
120832 118 0.670548459915718
121344 118.5 0.670512049470244
121856 119 0.670477175962549
122368 119.5 0.670441771126602
122880 120 0.670405426954666
123392 120.5 0.670369661248248
123904 121 0.670335629719192
124416 121.5 0.67030253389923
124928 122 0.670268929820539
125440 122.5 0.670235052731112
125952 123 0.670202695924729
126464 123.5 0.670172594466316
