# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.80139729190203e-06
512 0.5 1.02349622555173e-05
1024 1 1.52363799072899e-05
1536 1.5 1.76174123614236e-05
2048 2 1.78714582842242e-05
2560 2.5 1.76767505488102e-05
3072 3 1.84139276829117e-05
3584 3.5 1.94513650704813e-05
4096 4 1.97417308785549e-05
4608 4.5 1.95598218336056e-05
5120 5 1.96074782315927e-05
5632 5.5 2.03524810278287e-05
6144 6 2.07138799674668e-05
6656 6.5 2.0665414819065e-05
7168 7 2.0629409425906e-05
7680 7.5 2.09974607096116e-05
8192 8 2.13711340844588e-05
8704 8.5 2.14122038799164e-05
9216 9 2.13855554901364e-05
9728 9.5 2.15370997635828e-05
10240 10 2.19185091026485e-05
10752 10.5 2.19626887724162e-05
11264 11 2.20177263151704e-05
11776 11.5 2.2117107648923e-05
12288 12 2.23662289604188e-05
12800 12.5 2.25270343341955e-05
13312 13 2.25657876347553e-05
13824 13.5 2.26788343694886e-05
14336 14 2.29117005463186e-05
14848 14.5 2.30610506986496e-05
15360 15 2.31936209433677e-05
15872 15.5 2.33110312006518e-05
16384 16 2.34748573359681e-05
16896 16.5 2.36625501241936e-05
17408 17 2.37654188524291e-05
17920 17.5 2.39900254411593e-05
18432 18 2.41189766831954e-05
18944 18.5 2.43468870675059e-05
19456 19 2.44407938705769e-05
19968 19.5 2.45385319236882e-05
20480 20 2.4771847572891e-05
20992 20.5 2.49335658485836e-05
21504 21 2.51798737859117e-05
22016 21.5 2.53053329354821e-05
22528 22 2.54168870824783e-05
23040 22.5 2.56380860153436e-05
23552 23 2.57847116950147e-05
24064 23.5 2.60611911308674e-05
24576 24 2.61868219713756e-05
25088 24.5 2.63508457139681e-05
25600 25 2.65115235799254e-05
26112 25.5 2.66839029528519e-05
26624 26 2.69594988636158e-05
27136 26.5 2.71151120495736e-05
27648 27 2.73267266921155e-05
28160 27.5 2.74200035113797e-05
28672 28 2.76436768146234e-05
29184 28.5 2.78636062269324e-05
29696 29 2.8075691928122e-05
30208 29.5 2.82518286392436e-05
30720 30 2.84032674732982e-05
31232 30.5 2.86032352796836e-05
31744 31 2.87991674827244e-05
32256 31.5 2.90383522750228e-05
32768 32 2.92331918204214e-05
33280 32.5 2.94384729928084e-05
33792 33 2.96137870781477e-05
34304 33.5 2.97936341265329e-05
34816 34 2.9980474548748e-05
35328 34.5 3.02150126933375e-05
35840 35 3.04725914497411e-05
36352 35.5 3.07371856453154e-05
36864 36 3.09486155846315e-05
37376 36.5 3.11112498089616e-05
37888 37 3.13046956387199e-05
38400 37.5 3.1545758907415e-05
38912 38 3.18465462055809e-05
39424 38.5 3.20912246178897e-05
39936 39 3.22538653212384e-05
40448 39.5 3.24409915233186e-05
40960 40 3.26099826324323e-05
41472 40.5 3.28961010792917e-05
41984 41 3.309112524403e-05
42496 41.5 3.3258026420505e-05
43008 42 3.3453071807256e-05
43520 42.5 3.36407960350207e-05
44032 43 3.39703874336605e-05
44544 43.5 3.41369628077331e-05
45056 44 3.43521837373259e-05
45568 44.5 3.45036607105972e-05
46080 45 3.47274213489089e-05
46592 45.5 3.50447219459535e-05
47104 46 3.52253347427551e-05
47616 46.5 3.5457529124763e-05
48128 47 3.55886740451724e-05
48640 47.5 3.58515732358299e-05
49152 48 3.6116689186083e-05
49664 48.5 3.6324656195611e-05
50176 49 3.65892791728142e-05
50688 49.5 3.67506416657957e-05
51200 50 3.70173149954302e-05
51712 50.5 3.72278126477267e-05
52224 51 3.74653375657849e-05
52736 51.5 3.77122169372197e-05
53248 52 3.79171001114907e-05
53760 52.5 3.81637737670959e-05
54272 53 3.8355887349642e-05
54784 53.5 3.86361034280649e-05
55296 54 3.88326260497688e-05
55808 54.5 3.90614022363463e-05
56320 55 3.92635892217991e-05
56832 55.5 3.95010064350317e-05
57344 56 3.9749878612281e-05
57856 56.5 3.99437464634347e-05
58368 57 4.01726983539175e-05
58880 57.5 4.03593767005662e-05
59392 58 4.06242202534317e-05
59904 58.5 4.08378381802835e-05
60416 59 4.10360232201423e-05
60928 59.5 4.12520234336452e-05
61440 60 4.14539144085207e-05
61952 60.5 4.17039081153057e-05
62464 61 4.19088959235936e-05
62976 61.5 4.20966749194231e-05
63488 62 4.23242280166092e-05
64000 62.5 4.25156850105637e-05
64512 63 4.27679706746157e-05
65024 63.5 4.29546345177134e-05
65536 64 4.31754696123025e-05
66048 64.5 4.33728070485229e-05
66560 65 4.35702962772245e-05
67072 65.5 4.37899718389667e-05
67584 66 4.39947644945927e-05
68096 66.5 4.42347631888382e-05
68608 67 4.44313788398708e-05
69120 67.5 4.46330920256117e-05
69632 68 4.48379292770875e-05
70144 68.5 4.50482753703553e-05
70656 69 4.52820257975521e-05
71168 69.5 4.54966821167107e-05
71680 70 4.57023185624909e-05
72192 70.5 4.59272539111932e-05
72704 71 4.61447661769613e-05
73216 71.5 4.63803912228777e-05
73728 72 4.65819298519244e-05
74240 72.5 4.68100213139864e-05
74752 73 4.70224857462683e-05
75264 73.5 4.72716411339605e-05
75776 74 4.74992341115391e-05
76288 74.5 4.7727072895003e-05
76800 75 4.79413124492442e-05
77312 75.5 4.81467444139057e-05
77824 76 4.83857606465698e-05
78336 76.5 4.85970509785021e-05
78848 77 4.88568107683038e-05
79360 77.5 4.90508473645061e-05
79872 78 4.92912972795838e-05
80384 78.5 4.94991050630955e-05
80896 79 4.97423872459664e-05
81408 79.5 4.99732575700566e-05
81920 80 5.01970264312162e-05
82432 80.5 5.04396652102075e-05
82944 81 5.06654080562561e-05
83456 81.5 5.09169507507625e-05
83968 82 5.11357021667167e-05
84480 82.5 5.13690312988416e-05
84992 83 5.16098083125936e-05
85504 83.5 5.18613176586144e-05
