# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 9.60890392252792e-07 9.60890392252792e-07 9.6089039225279e-07
1024 1 1.65982233586461e-06 1.6598223358646e-06 1.65982233586457e-06
1536 1.5 2.40509959583285e-06 2.40509959583287e-06 2.40509959583287e-06
2048 2 2.58298794834155e-06 2.58298794834158e-06 2.58298794834161e-06
2560 2.5 2.51827400872259e-06 2.51827400872258e-06 2.51827400872255e-06
3072 3 2.68568375101832e-06 2.68568375101825e-06 2.6856837510183e-06
3584 3.5 2.62404992986193e-06 2.62404992986189e-06 2.6240499298619e-06
4096 4 2.48846770966071e-06 2.48846770966059e-06 2.48846770966103e-06
4608 4.5 2.50777754552746e-06 2.50777754552692e-06 2.50777754552743e-06
5120 5 2.50741936375718e-06 2.50741936375716e-06 2.50741936375683e-06
5632 5.5 2.49576329822828e-06 2.49576329822884e-06 2.49576329822824e-06
6144 6 2.49969042161929e-06 2.49969042161924e-06 2.49969042161872e-06
6656 6.5 2.4696309779366e-06 2.4696309779321e-06 2.46963097793333e-06
7168 7 2.36352229690644e-06 2.36352229690073e-06 2.36352229689915e-06
7680 7.5 2.27090184551716e-06 2.27090184551366e-06 2.27090184551467e-06
8192 8 2.25725760628812e-06 2.25725760628819e-06 2.25725760628996e-06
8704 8.5 2.31207048659516e-06 2.31207048659511e-06 2.3120704865988e-06
9216 9 2.37727330141433e-06 2.37727330141205e-06 2.37727330141332e-06
9728 9.5 2.432674405313e-06 2.43267440530759e-06 2.43267440530843e-06
10240 10 2.4727904598155e-06 2.47279045981865e-06 2.47279045981809e-06
10752 10.5 2.4881684293435e-06 2.48816842934619e-06 2.48816842934457e-06
11264 11 2.51514651389935e-06 2.51514651389779e-06 2.51514651389712e-06
11776 11.5 2.59992409616577e-06 2.59992409616162e-06 2.59992409617024e-06
12288 12 2.63624426715386e-06 2.6362442671466e-06 2.63624426714777e-06
12800 12.5 2.55127736078666e-06 2.55127736077789e-06 2.55127736077398e-06
13312 13 2.49282064633028e-06 2.49282064633028e-06 2.49282064632815e-06
13824 13.5 2.46431936984392e-06 2.46431936983793e-06 2.46431936984176e-06
14336 14 2.36067446315669e-06 2.3606744631474e-06 2.36067446315079e-06
14848 14.5 2.25423416066925e-06 2.25423416066753e-06 2.25423416066663e-06
15360 15 2.25656530518635e-06 2.25656530518496e-06 2.25656530518263e-06
15872 15.5 2.33427431313713e-06 2.33427431312864e-06 2.33427431312836e-06
16384 16 2.4154741753739e-06 2.41547417535697e-06 2.41547417536658e-06
16896 16.5 2.4639542391511e-06 2.46395423913801e-06 2.46395423913936e-06
